question,answer,wrong1,wrong2,wrong3
This structure tends to vanish always during meiosis and mitosis,Nucleolus and nuclear membrane,Plastid,Plasma membrane,All of these
Centrosome duplication takes place in this phase,S phase,G1 phase,G0 phase,M phase
The __________ checkpoint is also known as restriction point,G1 checkpoint,G2 checkpoint,M checkpoint,None of these
The characteristic of this stage of mitosis is the separation of the sister chromatids,Anaphase,Telophase,Metaphase,Prometaphase
This condition is necessary for a cell to qualify through the G2 checkpoint,Complete and accurate DNA replication,Cell should be of a size sufficient enough,Sufficient stockpile of nucleotides,Complete attachment of mitotic spindle fibers to kinetochores
Individual chromosomes become distinct through a light microscope during this mitotic stage,Prophase,Prometaphase,Anaphase,Metaphase
The division of cytoplasm is known as,Cytokinesis,Mitosis,Synapsis,Karyokinesis
The stage in which chromosomes align on the equator of spindle fiber is,Metaphase,Telophase,Anaphase,Prophase
The best stage at which the total number of chromosomes can be counted in any species is,Metaphase,Telophase,Late anaphase,Late prophase
Coiling of chromatids in mitotic and meiotic division is,Plectonemic in mitosis and paranemic in meiosis,Paranemic in both,Plectonemic in both,Paranemic in mitosis and plectonemic in meiosis
"As there occurs more and more condensation of chromatin during cell division, there occurs",Differentiation of heterochromatin and euchromatin decreases,Increase in heterochromatin,Increase in euchromatin,Differentiation of heterochromatin and euchromatin increases
Condensation of chromosomes occurs in,Prophase I,Prophase II,Anaphase,Metaphase
The replication of nuclear DNA occurs in,S phase,G1 phase,G2 phase,M phase
G0 state of cells in eukaryotic cell cycle denotes,Exit of cells from cell cycle,Check point before entering the next phase,Pausing in the middle of a cycle to cope with a temporary delay,Death of a cell
Synapsis is pairing of,Homologous chromosomes,Any two chromosomes,Non homologous chromosomes,Acentric chromosomes
Mitosis occurs in,Both (a) and (b),Haploid individuals,Diploid individuals,In bacteria only
Spindle apparatus is formed during which stage of mitosis,Metaphase,Prophase,Anaphase,Telophase
For viewing diakinesis which one of the following would be a suitable material,Flower bud,Onion root tip,Leaf of Dichanthium,Rat tail
Which is not the character of mitosis,All of the above,Leptotene,Zygotene,Pachytene
Synaptonemal complex is formed during,Meiosis,Amitosis,Mitosis,Cytokinesis
Four daughter cells formed after meiosis are,Genetically different,Genetically similar,Anucleate,Multinucleate
Repulsion of homologous chromosomes takes place in,Diplotene,Zygotene,Leptotene,Diakinesis
Which cell division is found during cleavage,Closed mitosis,Amitosis,Mitosis,Meiosis
Mitosis is the process by which eukaryotic cells,Multiply,Expose the genes for protein synthesis,Become specialized in structure and function,Grow
In pachytene stage of meiosis the chromosomes appear,Four stranded,Single stranded,Double stranded,Three stranded
The second division in meiosis is called,Equational division,Reduction division,Multiplied division,None of the above
The meiotic process by which homologous chromosomes are paired during prophase I is called,Synapsis,Interkinesis,Crossing over,Chiasma
In which type of cell division spindle formation does not occur,Endomitosis,Mitosis,Meiosis,None of the above
Cytokinesis in plants takes place by the formation of,Equatorial cell plate,Sphaeroblasts,Idioblasts,Cell budding
"During interphase, RNA and proteins are synthesized in",In both G1 and G2 phases,S phase,G1 phase,G2 phase
The significance of meiosis lies in,All the above,Reduction of the diploid number of chromosomes to haploid,Maintaining constancy in the number of diploid chromosomes during sexual reproduction,Production of genetic variability in the population of a species
Mitosis results in,Constant chromosome number,Reduction in chromosome number,Doubling of chromosome number,Increase in cell volume
In which phase of mitosis the chromosomes are  arranged around the equator of the spindle,Metaphase,Prophase,Anaphase,Telophase
Chromosome number is halved in meiosis during,Anaphase-I,Metaphase-I,Metaphase-II,Telophase-I
Chromosome start separating at which stage of mitosis,Early anaphase,Early metaphase,Late metaphase,Early telophase
"Normal cellular activities, such as protein synthesis occur primarily during",Interphase,Anaphase,Metaphase,Prophase
At G1 stage which phenomenon takes place,RNA synthesis,DNA synthesis,Reverse transcription,All of the above
DNA replication occurs  during,Interphase,Prophase,Metaphase,Anaphase
Terminalization occurs in which stage,Diakinesis,Pachytene,Diplotene,Zygotene
Chiasmata formation occurs during,Diplotene,Leptotene,Pachytene,Diakinesis
In mitosis the duplication of chromosomes occurs during,Interphase,Early prophase,Late prophase,Late telophase
