question,answer,wrong1,wrong2,wrong3
Mg burns in air to form,both a and c,Mgo,MgCO3,Mg3N2
Dolomite is,MgCO3.CaCoз,MgSo4.7H20,MgCO3,none
The setting of plaster of Paris is accompanied with,hydration,Hydrolysis,Chlorine absorber,none
Antichlor is,chlorine absorber,chlorine releaser,bleaching,none
"Bleaching powder is prepared by action of chlorine
on",Staked lime,"Quick lime
b.
d.",soda lime,Milk of lime
Slaked lime is,"Ca(OH)2
c.",Cao,CaCO3,none
"In the manufacture of Bleaching powder, Chlorine is
used with",slaked lime,quick lime,soda lime,milk of lime
Anhydrous calcium chloride can be used as,dehydrating agent,oxidizing agent,reducing angent,bleaching powder
Which of the following reagent is used as purgative?,MgSo4,CaSo4,(NH4)2So4,FeSo4
".Which of the following is the correct molecular
representation?",Mg(NO3)2,Mg3(NO3)2,Mg2(NO3)2,Mg(NO3)
Bordeaux mixture is,"lime + CuS04
c.",lime +Cuo,lime + CaC03,Cuo +CuSo4
What is the product when CaSo4. 2H2O is heated at 300 degree,CaSo4,1/2 H2O,So3,none
Bleaching powder looses its powder large time.,"Changes to calcium chloride and calcium hypo
chlorate.",Because it absorbs moisture,Change to calcium carbonate,Changes to calcium hypochlorite
Dead burnt plaster is,CaS04. 1/2H2O,CaS04. 2H2O,MgSo4,CaS04
Epsom salt is,MgSO4.7H2O c.,MgSO4.2H2O,2CaSO4.H2O,BaSo4.H2O
Thomas slag is,Ca3(PO4)2,CaCo3,CaSiO3,Mg3(PO4)2
Hydrolith is,calcium hydride,calcium carbonate,calcium chloride,calcium sulphate
Nitrolion is,CaCN2+ C,Ca(CH)3 + C,Calcium Chloride,Calcium sulphate
Which of the following pair of salts are isomorphous,"MgSO4, ZnSo,","ZnSO4, CaS04","CaSo, FeS04","FeSO4, CaSo,"
The formula of plaster of paris is,CaSo4. 1/2 H2O,CaSO4. H2O,CaSO4. 2H2O,CaSO4
MgO is used as,Laxative,Antiseptic,tpnic,sedative
Which of the following is true peroxide.,Sr02,"BeO2
c.",MgO2,CaH2O2
Which is not constitute of Bleaching powder?,Ca(ClO3)2,Ca(OH)2,CaCl2,Ca(ClO)2
CaSo4. 2H2O is...........,Gypsum,Epsom salt,Anhydrite,Plaster of paris
Calcium is obtained by,Electrolysis of solution of CaO2 is water.,Electrolysis of molten CaCl2,Reduction of CaCl2 with Carbon.,Roasting of lime stone
Ca(OH)2 is used in the crop field.,to decrease acidity of soil,to increase PH,to increase productivity,dehydration
Colour gives by Barium in flame test is,green,Colourless,White,blue
