question,answer,wrong1,wrong2,wrong3
Ribosomes are synthesized in:,Nucleolus,Nucleus,Cell membrane,Cytoplasm
Nucleus has maximum size during,Interphase,Prophase,Metaphase,Telophase
"Conjoint, collateral and open vascular bundle are present in",Dicot stem,Dicot root,Monocot stem,Monocot root
"Plant cells are interconnected with each other by
means of",Plasmodesmata,Tight junction,Gap junction,Desmoneme
Bicollateral vascular bundle is present in:,Cucurbitaceae,Cruciferae,Malvaceae,Leguminosae
Vascular bundle in root of plants is,Radial,Conjoint,Bicollateral,Collateral
Vascular bundle surrounded by sclerenchymatous sheath is present in,Monocot stem,Dicot stem,Dicot root,Monocot stem
. Xylem is living due to presence of,Xylem parenchyma,Tracheids,Xylem vessels,Xylem fibres
Most advanced type of thickening in xylem vessel,Pitted,Reticulate,Annular,Scalariform
Fibres of Hemp is predominantly:,Cellulose,Carbohydrate,Protein,Sucrose
Botanical name of Sunflower is,Helianthus annus,Allium cepa,Tagetes patula,Brassica rapa
Plants living in salty soil are called:,Halophytes,Oxylophytes,Lithophytes,Psammophytes
"Decreasing order of Biomass of an ecosystem follows: Tertiary consumer > secondary consumer > primary consumer > producers.
Such type of ecosystem is found in:",Pond,Desert,Forest,Grassland
Which is dissimilar in a pair of homologous chromosome?,Alleles,Position of centromere,Size of chromosome,Gene sequence
Star shaped crystals of Calcium oxalate as in Colocasia are actually,Sphaeroraphides,Raphides,Cystoliths,Inulin
Which is incorrect?,t-RNA is the largest among all the types of RNA,m-RNA has linear structure with codon,t-RNA consists of anticodon,r-RNA helps in protein synthesis
Which forest is the most abundant in tropical region in Nepal?,Sal forest,Schima-castanopsis forest,Pine forest,Rhododendron forest
Which is correct in reference to cytokinin?,Cell division,Internodal growth,Root initiation,Cell elongation in shoot
Opening of flower involves ..........movement.,Epinasty,Cleistogamy,Hyponasty,Aestivation
Which is correct for gametophyte of Fern?,Independent plant body.,Partial parasite on sporophyte,Dependent on sporophyte,None of above
Which is incorrect feature of Spirogyra?,Branched filamentous structure,Partial parasite on sporophytes,Dependent on sporophyte,None of the above
"Root and shoot elongation in callus can be done by
altering the ratio of",Auxin to cytokinin,Auxin to gibberellin,Cytokinin to gibberellin,Auxin to ethylene
Number of ATP produced in aerobic respiration in higher plants is:,36,38,30,24
Winged pollen of Pinus develops from,Exine,Intine,Ex-intine,Ex-intine
Which one is recessive trait of Pea plant on Mendel's experiment?,Green seed,Green pod,Round seed,Axial position
"If the source of gametes of parental generation is reversed in the offspring, then the cross is:",Reciprocal cross,Reverse cross.,Test cross,Dihybrid Cross
Edible part of Coconut is,Endosperm,Pericarp,Mesocarp,Endocarp
Sickle cell anaemic person is,Less prone to Malaria,More prone to Malaria,More prone to Typhoid,Less prone to Typhoid
Agar is obtained from:,Rhodophyta,Chlorophyta,Myxophyta,Cyanophyta
"Corolla having 5 unequal petal with large posterior petal, two lateral free petals and 2 small petals fused anteriorly is a type of:",Descending imbricate,Ascending imbricate,Twisted,Valvate
A woman whose father was hemophilic marries a normal man the progeny will be,Some sons are hemophilic,All offspring hemophilicv,Some daughter hemophilic,All offspring normal
Gymnosperms are characterized by,Naked ovule,No seed,Ovary,Vascular bundle
The smallest segment of DNA that takes part in recombination is:,Recon,Cistron,Muton,Codon
The gene causing colour blindness is,X-chromosome recessive,X-chromosome dominant,Y-chromosome dominant,X & Y chromosome recessive
Genetic drift is due to,Change in frequency of allele from one generation to another,High no of alleles in gene pool,High order of frequency of allele,Transfer of allele from one to another
Xerophytic plants lack:,Aerenchyma,Well developed roots,Well developed conducting tissue,Spiny leaves
Water is absorbed from soil to root hairs through the phenomena of:,Suction pressure,Atmospheric pressure,Diffusion pressure,Transpiration
Which gas is not involved in the depletion of ozone layer?,Chlorofluorocarbon,Carbon tetrachloride,Ammonia,Bromochloromethane
