question,answer,wrong1,wrong2,wrong3
"A cyclist moving on a circular tarck of radius 4o m completes half a revolution in 40 sec, then average velocity is",2 m/s,0 m/s,1 m/s,8 m/s
"For what minimum height h, a body is released on s smooth inclined plane so that it revolve in a vertical circle of radius R after reaching the ground?",h=5/2R,h=3/2R,h=2R,h=3R
Circular motion is,Perodic but not SHM,Periodic and SHM,Only SHM,not perodic motion
"The angular accleration of a body, moving along the circumference of a circle, is",along the axis of rotation,along the radius towards the centre,along the tangent to its position,"along the radius, away from centre"
The angular speed of a fly wheel moving with uniform angular acceleration changes from 1200 rmp to 3120 rmp in 16s. The angular acceleration in rad/s^2 is,4π,2π,12π,104π
The angle turned by a body undergoing circular motion depends on time as θ = θ0 + θ1t + θ2t^2. Then the angular acceleration of the body is,2θ2,θ1,θ2,2θ1
"A body is moving with uniform velocity in circular path then, centripetal acceleration is;",directed towards radius,zero,along tangent,along the axis perpendicular to plane
A stone of mass m is tied to a string of length I and rotated in a circle at constant speed v. If the string is released the stone flies.,Tangentially outward,Radially inward,Radially outward,With an acceleration mv^2/I
"A road of 50 m radius is banked at correct angle for a given speed. If the speed is to be doubled, keeping the same banking angle, the radius of the road should be changed to",200 m,25 m,100 m,150 m
"In a death well, a motorcyclist performs his race on circular path of radius(r) then minimum velocity at lowest point is",√rg,√5rg,√7rg,√3rg
A body of mass m is moving in a vertical circle with constant speed of V. The tension on the mass at the bootom of the circle is,mg + mrω^2,mg - mrω^2,mg * mrω^2,mg/mrω^2
A can filled with water is revolved in a vertical circle of radius 4 m so that water does not spill down. The maximum period of revolution will be,4 sec,2 sec,3 sec,5 sec
A body of mass 2kg us attached to one end of string of length 1m & rotated in vertical circle such that velocity athighest point is 4m/s. Heretension is,12N,18N,45N,0
"If an object of mass 10kg is whirled round a horizontal circle of radius 4m by revolving string inclined at 30 to vertical. If the uniform speed of the object is 5 m/s, the tension of the string (approx) is",144N,720N,960N,128N
A particle of mass m is moving along a circular path of radius R with a frequency n and period T. Its centripetal accleration can be expressed as,4π^2Rn,4π^2R^2n,4π^2rT,4π^2R^2T^2
The radius of circular path is 1m. A particle makes 10 revolutions is 6 sec. The linear velocity of the particle is,10,0.5,2,4
"A cyclist turns around a curve at 20 km/hr. If he turns at the double of this speed, the tendency to overturn is",quadrupled,Double,halved,unchanged
"A body  is describing circular motion with constant speed v along circular path of radius r. then its tangentialaccleration will be,",0,v^2/2πr,v^2/πr,v^2/r
"A particle is moving in a circle of radius r with a uniform speed. Its angular acceleration is,",zero,v/r directed towards centre,v^2/r directed towards centre,v^2/r directed along the axis
"For a particle in circular motion, the centriprtal acceleration is",may be more or less thab its tangential acceleration,less than its tangential acceleration,equal to its tangential acceleration,more than its tangential acceleration
The speed of revolution of a particle going around a circle is doubled and its angular speed is halved. What happens to the centripetal acceleration,Unchanged,Doubled,Halved,Becomes four times
"A block released at the top of a smooth hemispherical bowl of radius R slips tangentially after falling a vertical height h. Then,",h = R/3,h = 2R/3,h = 3R/4,h + R/2
Two racing cars of masses m1 and m2 are moving in circles of radii r1 and r2 respectively. Their speed are such that each makes a complete circle in the same duration of time t. The ratio of the angular speed of the first to the second car is,1:1,m1:m2,r1:r2,m1r1:m2r2
A car moving on a horizontal eoad may be thrown out of the road in taking a turn,Due to lack of sufficent centripetal force,By the gravitational force,Due to rolling friction force between tyre and road,Due to the reaction of the ground
When a body moves with a constant speed along a circle,No work is done on it,No acceleration is produced in the body,No force acts on the body,Its velocity remains constant
A body of mass m moves in a circular path with uniform angular velocity. The motion of the body has constrant,Kinetic energy,Acceleration,Velocity,Momentum
"A car sometimes ovrturns while taking a turn. When it overturns, it is",The inner wheel which leaves the ground first,The outer wheel leaves the ground first,Both the wheels leave the ground simultaneously,Either wheel leaves the ground fisrt
A particle moves in a circle of radius 25 cm at two revoltion per second. The acceleration of the particle in m/s^2 is,4v^2,π^2,8v^2,2v^2
The angular speed of seconds needle in a mechanical watch is,π/30 rad/s,2π rad/s,π rad/s,60/π rad/s
What is the angular velocity of earth,2π/86400 rad/sec,2π/3600 rad/sec,2π/24 rad/sec,2π/6400 rad/sec
Find the maximum velocity for skidding for a car moved on a circular track of radius 100 m. The coefficient of frictiopn between the road and tyre is 0.2,14 m/s,0.14 m/s,140 m/s,1.4 m/s
"A car is moving with speed 30 m/s on a circular path of radius 500 m. Its speed is increasing at the rate of 2m/s^2, What is the acceleration of the car",2.7 m/s^2,2 m/s^2,1.8 m/s^2,9.8 m/s^2
Figure shows a body of mass m moving with a uniform speed v along a circle of radius r. The change in velocity in going from A to B is,v√ 2,v√ 3,v,0
