question,answer,wrong1,wrong2,wrong3
Heredity and Variation was postulated by:,Darwin,Hugo De Vries,Lamarck,Oparin
Charles Darwin's Thewory Of Evolution is based on:,Natural selection,Environment,Chromosome Pairing,Mutation
Most accepted theory is:,Abiogenesis,Biogenesis,Cosmic theory,Special creation theory
The organs which have same basic structure and origin but different in function are called as:,Homologous organs,Analogous organs,Vestigeal organs,None
Wings of birds and insects are:,Analogous,Homologous,Vestigeal,None
The fins of fishes and flipper of whale are:,Analogous,Homologous,Vestigeal,None
The inheritance of acquired character is given by the concept of:,Lamarckism,Darwinism,Mendelism,Neo lamarckism
Theory of continuit of Germ Plasm was proposed by:,Weismann,Mendel,Lamarck,Haeckel
"Postulation of the ""Theory Of natural selection""published in 1858 was given by:",Charles Darwin and Wallace,Charles Darwin,Malthus,Alfred Russell Wallace
The organs having similar function and different in structure or origin:,Analogous,Homologous,Vestigial,Parallel
The mutation theory of evolution was purposed by:,Hugo De Vries,Darwin,lamarck,Hutchingson
Which of the following is a living fossil?,Ginkgo,Limulus,Archaeopteryx,Peripatus
Which of the following is connecting link between animals and plant kingdom?,Euglena,Amoeba,Dinoflagelllates,Diatoms
Founder of paleontology is:,George cuvier,G.curner,Errasmus Darwin,Empedocles
The main drawback of Darwin's theory is:,variation,Natural selection,Survival of the fittest,Struggle for existence
Earlier organisms were:,Chemoheterotrophs,Chemoautotrophs,Saprophytes,Protists
3 stages of evolution was given by:,Modern Biologists,Earlier microscopists,Darwin,Haeckel
"The sun, the earth, the stars are reformed from:",Division of pre-existing planets,Aggregates of uranium,Clouds of gas and cosmic dust,Collision of meteors
"Correct sequence among the following is:

(a) Proterozoic - Palaezoic - coenozoic

(b) Mesozoic - Archaezoic - Proterozoic

(c) Palaeozoic - archaeozoic- coenozoic

(d) Archaezoic - palaeozoic - proterozoic",a,b,c,d
Coacervates are the clusters of:,Proteins,Fats,Sugars,Sugars and Fats
"The organism, which depend on the organic molecules present in the birth of ocean are referred as:",Chemoheterotrophs,Aerobic chemoheterotrophs,Anaerobic heterotrophs,Autotrophs
The study of fossils are called:,Paleontology,Taxonomy,Physiology,Anatomy
"Wings of mosquito, bat and sparrow exhibit the phenomenon called:",Convergent evolution,Homolous organ,Atavism,Divergent evolution
Phylogeny represents,Evolutionary history of animals,Embryological history of animal,Comparative anatomy of animal,Fossilization of animal
Which is not the universal character of protoplasm:,HNO3,Lipids,Proteins,Nucleic acids
Protoplasm is,Colloid,Sol,Gel,Water
Peripatus is a connecting link between,Annelida and arthropoda,Reptilia and aves,Arthropoda and mollusca,Reptilia and mammals
According to neo darwinism evolution is due to,Change in gene frequency,Gene flow,Change in gene structure,Change in size of gene pool
Two sets of muscle responsible for ear movement are,Vestigial,Analogous,Homologous,Phlyogenetical
During vertebrate brain evolution the part which shows greatest evolution by acquiring the large size:,Fore brain,Mid brain,Hind brain,Rhombencephalon
Philosophie zoolique was written by:,Lamarck,Hugo de vries,Mendel,Spencer
The study of evidence of the origin of evolutionary branches according to the phylogentic tree is called:,Cladistics,Phenetics,Euthenics,Classical evolutionary taxonomy
Fossils are mostly found in,sedimentary rocks,Igneous rock,Clay rock,lava rock
Natural selectio  affects the organism:,Combined genotype,Homozygous recessive,Dominance,Phenotype
Evolution of photosynthettic ability resulted division of living world into:,Autotrophic and heterotrophic,Unicellular and multicellular,Prokaryotes and eukaryotes,Fungi and plants
Allopatric speciation is caused by,Geographic isolation,Temporal isolation,Adaprive radiation,Reproductive isolation
what is connecting link between arthropoda and annelida?,Peripatus,Neopilina,Balanoglossus,Coeloeanthus
Who gave the principle of biogenetic law?,Ernst Haeckel,Hugo de vries,Lamarck,Weismann
During the evolution of earth the first compound formed was:,Amino acid,Nucleoprotein,Glycoprotein,None
Which was the most abundant during earth formation?,Hydrogen,Methane,Oxygen,Water
Sudden appearance of tail in small baby is the best example of:,Atavism,Convergent evolution,Divergent evolution,Mutation
Connecting link between animal and plant:,Euglena,Amoeba,Virus,Paramecium
Which of the following is close to man:,Chimpanzee,Gorilla,Orangutan,Monkey
The main strong evidence for the evolution is:,Fossils,Embryo,Vestigial organs,Atavism
The most basic substance of origin of life is:,Nucleic acids,Carbohydrate,Protein,Nucleoprotein
Harold C. Urey while conducting laboratory experiment found large number of complex organic compounds in which the constituents of life was:,Amino acids,Ascorbic acids,Acetic acids,Carbonic acids
Stout running forelegs of horse and fore arms of human used for catching are:,Homologous organs,Analogous organs,Atavistic organs,Vestigial organs
Canine teeth in man is:,Vestigeal organ,Homologous organ,Atavism,Analogous organ
Gill slits present in embryogenic stage of vertebrate represents:,Recapitulation theory,Metamorphosis,Biogenesis,Organic evolution
The word Coacervate was first used by:,Oparin,Sydney,S.L Miller,Harold Urey
Modern human beings wre originated from:,Homo sapiens,Homo habilis,Homo erectus,Homo javanicus
Origin of species is postulated by:,Charles Darwin,Robert Wallace,Lamarck,Spencer
Which of the following were first formed?,Coacervates,Eobionts,Genes,Cells
The concept of survival of the fittest was advanced by:,Herbert Spencer,Charles Lyell,Charles Darwin,Wallace
Homo sapiens term coined by:,Linnaeus,Lamarck,Roxburgh,Huxley
Recapitulation theory means that:,Life history of an animal reflects its evolutionary history,Progeny of an organism resembles its parents,All animals starts as an egg,Body part once lost are regenerated
By the statement survival of the fittest Darwin means that:,The most adaptable of the species to change survives,The strongest of all species survives,The most intelligent of the species survives,The cleaverest of the species survives
The process of inheritance of character in living beings is called:,Heredity,Evolution,Variation,Migration
The principle of inheritance of acquired characters was given by:,Lamarck,Weismann,Darwin,Hugo De Vries
Oparin's Theory is based on:,Spontaneous generation,Biogenesis,Artificial synthesis,God's will
Coacervates were,Large colloidal aggregates,First living cell,Organic molecules,Microbes
Most accepted theory of origin of life is:,Oparin-Haldane Theory,Theory of spontaneous generation,Theory of special creation,Biogenesis
Most accepted theory of origin of life is:,Abiogenesis,Biogenesis,Cosmic Theory,Special creation thoery
Presence of NaCl in body fluid indicate that life originated in:,Primitive ocean,Rain water lakes,Salt solution,All of these
Coacervates were named by:,Oparin,Haldane,Fox,Miller
"According to Oparin, which absent in primitive atmosphere?",Oxygen,Water,Nitrogen,Carbon
Origin of life occured in:,Pre-cambrian era,Carboniferous,Cambrian,Ordovician
Lamarck fails to explain:,Presence of tail in mouse,Long neck of giraffe,Loss of limbs of snake,Webbed feet in swimming bird
Presence of vestigial organs support:,Evolution but not lamarck's theory,Natural selection,Germplasm theory,Neo-darwinism
Phenomenon of Industrial melanism demonstrates:,Natural selection,Induced mutation,Geographical isolation,Reproductive isolation
Survival of fittest was used by,Spencer,Darwin,Lamarck,Vries
Initating force of evolution is:,Mutation,Natural selection,Adaptation,None
Origin of species by Natural selection was published in:,1859,1856,1869,1867
Wallace was the co-worker of:,Darwin,Lamarck,Bateson,Mendel
Phylogeny is,Evolutionary history,Life history,Castes of flies,Group of phyla
There is more competition for survival between:,Same animals of same niche,Different animals of same niche,Different animals of different niche,Same animals of different niche
The presence of giraffe has a long neck as compared to its ancestors. It could be due to:,Speciation,Natural selection,Isolation,Inheritance of acquired character
Long neck of giraffe is due to:,Increase in length of cervical vertebrae,Due to bony plates between two vertebrae,Due to muscles between two vertebrae,None of the above
Mutation theory does not explain,Mimicry,Connecting link,Adaptive radiation,Origin of new species
Neo-Darwinism believes that new species develop through:,Mutations with natural selection,Hybridization,Mutation,Continuous variation with natural selection
Units of natural selection of:,Individual,Family,Population,Species
Mimcry denotes the character of:,Defence,Offence,Isolation,All
"According to Neo-Darwinism , evolution is due to:",Change in gene frequency,Gene flow,Change in gene structure,Change in size of gene pool
Natural selection affects the organisms:,Phenotype,Homozygous recessive,Dominance,Combined genotype
The name of ship in which Darwin toured for five years is:,HMS Beagle,Alexander,Elizabeth,Philips
Galapagos finches are associated with:,Darwin,Lamarck,Cuvier,Malthus
According to Haeckel's Biogenetic law:,Ontogeny repeats phylogeny,Germplasm is immortal,Every organism is produced by its parents,Development of individual metazoa shows embryonic characters of ancestors
Darwin's finches are,Birds,Turtles,Seals,Islands
Genetic dirft is the elimination of:,Genes of some original characteristics of species due to epidemic,Individuals,Chromosomes,Species
Neo-Darwnisim means:,Modern theory of origin of species,Mutation,Nuclear heredity,None of these
Which of the followiing has been basic to origin of life:,Nucleic acids,Carbohydrates,Protein,Nucleoproteins
