question,answer,wrong1,wrong2,wrong3
Sodium is commercially obtained by the electrolysis of its fused sodium chloride. The process is called,Down's process,Castner process,Kellner process,Solvay process
Which of the following metals gives golden yellow colour on flame test,Na,Ca,Ba,K
Borax is,\(Na_2B_4O_7.10H₂O\),\(Na_3BO_3.4H₂O\),\(Na_2B_4O_4.7H₂O\),\(Na_2B_4O_7.5H₂O\)
What happens when \(ZnCl_2\) is treated with NaOH,White ppt. is formed which is soluble in excess of NaOH,Black ppt. is formed,No ppt. is formed,White ppt. is formed which is insoluble in excess of NaOH
Sodium reacts more vigorously with water than lithium because sodium is,More electropositive than lithium,Heavier than lithium,Less electropositive than lithium,A non metal
Alkali metals are good reducing agents because,Their ionization potential is low,They are metal,They are monovalent,They have small atomic radii
When conc. solution of NaCl in water is saturated with \(NH_3\) and then \(CO_2\) is passed through the liquid NaCl is converted into,\(NaHCO_3\),\(Na_2CO_3\),\(NH_4Cl\),\(NH_4CO_3\)
"The electronic configuration of an element is 2, 8, 1. Which of the following statement is true ?",It forms basic oxide,It is diatomic,It is a non metal,It is a transitional metal
Metallic lusture of sodium metal can be explained on the basic of,Oscillation of loose electrons,Diffusion of sodium ions,Existence of free protons,Existence of body centred latice
A solution of sodium metal in liquid ammonia is strongly reducing due to the presence of,Solvated electrons,Sodium atoms,Sodium hydride,Sodium amide
Sodium and potassium are kept under,Kerosene,Alcohol,Water,Aqua regia
Fire extinguisher contains \(H_{2}SO_{4}\) and,\(NaHCO_3 + Na_2CO_3\),\(Na_{2}CO_{3}\),\(NaHCO_3\) solution,\(CaCO_3\)
Electrolytic reduction method is used in the extraction of,Highly electropositive element,Highly electronegative element,Inert metals,Transitional metals
The best material used in photo emission is,Cs,K,Na,Li
Excess of NaOH when reacts with zinc produces,\(Na_{2}ZnO_{2} + H_{2}\),NaOH+ ZnO,ZnH,\(Zn (OH)_2\)
The chemicals that are consumed during the manufacture of sodium carbonate by Solvay's process are,Ammonium bicarbonate and sodium chloride,Calcium carbonate and sodium chloride,Calcium hydroxide an ammonia,Calcium chloride and sodium chloride
In the manufacture of washing soda \(Na_{2}CO_{3}\) the compound formed after the treatment of ammonical brine solution with \(CO_{2}\) is,\(NaHCO_3\),\(Na_{2}CO_{3}\),\((NH_{4})_2 CO_3\),None
Sodium is made by electrolysis of molten mixture of about 40% NaCl and 60% \(CaCl_2\) because,This mixture has lower melting point of NaCl solution,\(CaCl_2\) helps in conduction of electricity,\(C a^{ ++}\)can displace \(Na^+\) from NaCl,\(C a^ {++}\) can reduce NaCl to Na
Caustic soda can be manufactured by,Castner-kellner process,Solvay-ammonia soda process,Down's process,Cyanide process
How many water of crystallization (WOC) is present in a molecule of washing soda?,10,9,11,8
In Down's process for the extraction of sodium,C is anode and Fe is cathode,C is cathode and Fe is anode,Pt is anode and Fe is cathode,C is anode and Pt is cathode
"The alkali metals can easily be detected by the flame test, because the have",Low ionization energy,Low density,Low electron affinity,High conductance
The hydride of an element E reacts with water producing hydrogen and an alkali solution . The element 'E' is probably,An alkali metal,A transitional metal,A metal low in activity series,A metal in group IV
Which of the following elements exists in only one oxidation state in most of its compound ?,Potassium,Chloride,Lead,Tin
Sodium nitrate decomposes above 800°C to give,\(O_2\),N₂,NO₂,\(Na_2O\)
NaOH is manufactured by the electrolysis of brine solution. The products of reaction are,Cl₂ and H₂,Cl₂ and Na-Hg,Cl₂ and Na,\(Cl_2 and O_2\)
Squashes are stored by adding,Sodium metabisulphite,Citric acid,KCI,\(Na₂SO_3\)
Soda ash is,\(Na_2CO_3\),\(Na_2CO_3.H₂O\),NaOH,\(NaHCO_3\)
What is the product formed when \(CO_2\) is bubbled into aqueous solution of \(Na_2CO_3\),\(NaHCO_3\),NaOH,N₂O,\(OH^-\)
Which of the following are recycled in the manufacture of \(Na_2CO_3\),CO₂ and \(NH_3\),CO₂ and \(NH_4Cl\),NaCl and CaO,\(CaCl_2\) and CaO
The correct sequence of the alkali metals in the group is,"Li, Na, K, Rb, Cs, Fr","Fr, Na, K, Rb, Cs, Li","Na, K, Rb, Cs, Fr, Li","Rb, Cs, Li, Na, K, Fr"
Which one of the following is the electronic configuration of an alkali metal ?,\([Ne]  3s ^ 1\),\([Ar] 3d ^ {10} 4s ^ 1\),"\([Kr] 4d ^ {10}, 5s ^ 1\)",\([Xe]  4f ^ {14 }5d ^ {10 }6s ^ 1\)
"The increasing order of atomic radius for the elements Na, K, Rb and Mg is",Mg < Na < K < Rb,Na < K < Mg < Rb,K < Na < Mg < Rb,Na < Mg < K < Rb
Smallest among these species is,lithide ion,hydrogen,helium,lithium
