question,answer,wrong1,wrong2,wrong3
Most important character of all sponges is,Choanocytes,Coelentreta,Herbivorous nutrition,Only sexual reproduction
Which of the following cells is found in porifera only?,Choancytes,Cnidoblasts,Sensory Cells,Gland cells
Sponges are,Sessile,Pelagic,Free swimming,Plankotic
Organisation in sponges is,Cellular grade,Protoplasmic grade,Organ orgaan,Tissue grade
Members of the phylum porifera is,mostly marine but few are fresh water,Exclusively marine,Exclusively freshwater,Mostly freshwater but few are marine
The animals of phylum porifera are,Both b and c,Acellular,Diploblastic,Multicellular with cellular grade of organisation
Special features of sponges are,Water canal system,All are marine,Water vascular system,Ambulacral system
Which of the following is found in porifera?,Paragrastric cavity,Coelentreta,Pseudocoelem,Gastro vascular cavity
Which of the following is found in porifera?,Paragrastric cavity,Coelentreta,Pseudocoelem,Gastro vascular cavity
Which of the following structure is similar o anus in porifera?,Osculum,Ostia,Prostonis,Cytopyge
The choanocytes lining the spongocoel are embryologicallly,Endoderm in origin,Ectoderm in origin,Mesoderm in oriigin,Cuticular in origin
Universally present in all sponges is,Presence of spongocoel,Marine habitat,Presence of spicules,Presence of spongin fibres
Spongocoel is known as,Paragastric cavity,Gastrovascular cavity,Water vascular cavity,Coelentron
Sponges have,Both of these,Radial symmetry,Asymmetry,None
Gemmules are formed by the aggregation of,Archaeocytes cells,Pinacocyte cells,Thesocytes cells,Trophocytes cells
Gemmule formation in sponges is helpful in,Asexual reproduction,Sexual reproduction,Only dissemination,None of these
Sponges are,Both a and b,Aquatic,Suspension feeder,Detritiveros
most sponges are,Asymmetrical,Bilaterally symmetrical,Verically symmetrical,Radially symmetrical
In sponges thereis,A single exit and a number of mouthlets,Radial symmetry,A true coelom,A single mouthlet and number of exists
Sponges are also known as,All,Republic of cells,Parazoans,Poriferans
Sponges are also known as,All,Republc of cells,Parazoans,Poriferans
Digestion in sponges are,Only intracellular,First intracellular then extracellular,Only extracellular,First extracellular and then intracellular
The chief nitrogenous waste of the sponges is,Ammonia,Urea,Uric acid,Carbondioxide
Flagellated cells which create water current and ingest food in Leucosolenia and other sponges are,Choanocytes,Trophocytes,Pinacocytes,Nematocytes
The middle layer of body wall of porifera is,Mesenchyme,Mesoderm,Mesoglea,Mesentry
In sponge food is stored in,Thesocytes,Trophocytes,Desmocytes,Archaeocytes
In sponge food is stored in,Thesocytes,Trophocytes,Desmocytes,Archaeocytes
Totipotent cells capable of giving rise to other types of cells in sponges are,Scleroblasts,Collencytes,Pinacocytes,Porocytes
"Sycon,Leucosolenia belongs to which class?`",Calcarea,Hexactinellida,Demospongiae,None
A freshwater sponge is,Spongilla,Euplectella,Sycon,Euspongia
Boring sponge is,Cliona,Euplectella,Chalina,Hyalonems
Spongin fibres are present in class,Demospongia,Calcarea,Hexactinellida,None
Parenchymula is the larva of,Leucosolenia,Hydra,Ascaris,Sycon
The simplest type of canal system in porifera is,Ascon,sycon,Leucon,Radial
Freshwater sponges form internal asexual products called,Gemmule,Planula,Buds,Branches
