question,answer,wrong1,wrong2,wrong3
"The formula of metallic hydroxide (eq. wt. =150) is M(OH)2. x H₂O. If the atomic weight of the metal is 176 then, the value of x will be",5,2,3,6
The equivalent weight of calcium phosphate Ca3(PO4)2 is (Mol. wt. = 310),310/6,310/2,310/3,310
The percentage of P2O5 in diammonium phosphate (NH4)2HPO4 is,53.78,23.48,46.96,71.00
The amount of zinc (atomic weight 65) required to produce 224 ml of H2 at STP on treatment with dilute H2SO4 will be,0.65 gm,6.5 gm,65 gm,0.065 gm
"Two elements, X (at. wt. 75) and Y (at. wt. 16) combine to give a compound having 75.8% of X. The formula of the compound is",X2Y3,XY,X2Y,X2Y2
The weight of quicklime obtained by strongly heating 25 gm of marble is,14 gm,28 gm,42 gm,56 gm
How much quick lime can be obtained from 25 gm of CaCO3 ?,14 g,28 g,56 g,None of these
4.4 g of an unknown gas occupies 2.24 litres of volume at standard temperature and pressure.The gas may be,CO2,SO2,CO,O2
The amount of barium sulphate precipitated from 200 ml of N/10 sulphuric acid is,2.33 g,23.3 g,233 g,1000 g
"When the same amount of zinc is treated separately with excess of H2SO4 and excess of NaOH, the ratio of volumes of H2 evolved is",1:1,1:2,2:1,9:4
"If 30 g of Mg and 30 g of oxygen are reacted, then the residual mixture contains",50g Mg0 + 10g O2,40g MgO + 20g O2,45g MgO + 15g 02,60g MgO only
Vapour density of a volatile substance is 4 in comparison to methane (CH4 = 1). Its molecular weight will be,64,8,12,128
The formula of metal chloride is MCI3. It contains 20% of the metal. The atomic weight of the metal is,27,56,127,48
The hydrogen phosphate of certain metal has formula MHPO4. The formula of metal chloride would be,MCI2,MCI,M2CI2,MCI3
How many litres of CO2 at STP will be formed when 100 ml of 0.1 M H2SO4 reacts with excess of Na2CO3 ?,0.224,22.4,2.24,5.6
The maximum amount of BaSO4 precipitated on mixing BaCl2 (0.5 M) with H2SO4 (1M) will correspond to,0.5 M,1.0 M,1.5 M,2.0 M
3 g of carbon is completely burnt in large excess of oxygen. The weight of CO2 formed is,11 g,32 g,22 g,44 g
The decomposition of a certain mass of CaCO3 gave 11.2 dm³ of CO2 gas at STP. The mass of KOH required to completely neutralise the gas is,56 g,28 g,42 g,20 g
26 cc of CO2 are passed over red hot coke. The volume of CO evolved is,none of these,15 cc,10 cc,32 cc
The number of moles of KCl in 1000 ml of 3 molar solution is,3,1,2,1.5
The trivalent metal having equivalent weight 20 forms an oxide. Then find the molecular weight of that oxide.,168,56,81,60
The volume occupied by 1.008 mg of Hydrogen at STP is,11.2 cc,22.4 cc,22.4 l,11.2 l
"When 8 gm of H2 and 8 gm of O2 combines, the amount of water formed is",9 gm,8 gm,27 gm,4.5 gm
Of the following the only empirical formula is,C6H5O6,C6H6,C2H4O2,C6H12O6
Which has highest mass?,5 mole N2,50 gm Fe,0.1 g atom of Ag,\(10^{23}\) atoms of carbon
100 ml of gaseous hydrocarbon consumes 300 ml of oxygen for the complete combustion. The hydrocarbon is l,C2H4,C2H2,C3H8,C2H6
