question,answer,wrong1,wrong2,wrong3
The height up to which water will rise in a capillary tube will be,Minimum when water at 4•c,Maximum when water at 0•c,Maximum when water at 4•c,Minimum when water at 0•c
What is the shape of capillary tube of mercury glass when cohesive force is greater than adhesive force?,Liquid meniscus is convex upward,Liquid meniscus is convex downward,Liquid meniscus is concave downward,Liquid meniscus is concave upward
"When liquid doesnot wet the surface, angle of contact is",>90•,90•,<90•,180•
Capillary tube A and B having diameter of A>B is dipped vertically in a beaker then rise of water will be maximum in,B,A,Equal in both,Water doesn't rise up
Water proofing agent changes the angle of contact,From acute to obtuse value,From obtuse to acute value,From obtuse to π/2,From acute to π/2
"Water rises in a capillary tube to a height of 3 cm. If the tube is inclined to the liquid surface at 30• angle, the liquid will rise into the tube up to:",6cm,3cm,1.5cm,0.5cm
How high does water rise in a capillary tube whose inner diameter is 0.44mm? ( the surface tension of water is 73 dynes/cm),6.7 cm,7.3cm,5.6cm,4.3cm
Rise of oil in wick of lamp is due to,Capillarity,Surface tension,Viscosity,Elasticity
Water makes a glass wet because the force of cohesion between two molecules of water is........the force of adhesion between a molecule of water and a molecule of glass:,Less than,Greater than,Equal,None
When drop of water is mixed with another to form a big drop then,Energy is released,Energy is absorbed,Some mass is converted into energy in accordance with Einstein's relation e=mc²,Neither energy is released nor absorbed
Surface tension......... with rise of temperature,Decrease,Increase,Remain constant,None
A small and irregular camphor in water dances due to:,Both physical and chemical action,Chemical action of it on water,Physical action of water,Cohesion
At critical temperature surface tension is,0,>1,1,Infinity
The surface tension of soap solution is 25×10-³ N/m² inside the soap bubble of diameter 1 cm is,20,25,10,5
Mosquito can float on the surface of water due to,Surface tension,Viscosity,Compressibility,Diffusion
When a big drops splits into number of small drops then its total,Surface area increase,Volume increase,Volume decrease,Surface area decrease
Surface tension of a liquid will ........ with rise in temperature,Decrease,Increase,Remains constant,Stop
Two bubbles of radius r coalesce into one bubble of radius R. Which of the following is true?,R=1.4r,R=1.8r,R=1.6r,R=1.2r
"In capillary tube action, the level of liquid decreases when the angle of contact is",Obtuse,Acute,90•,None
"Ratio of the radius of the soap bubble is 1:2, then the work done by the soap bubble is in the ratio",1:4,1:2,2:1,4:1
A soap bubble ( surface tension = 30×10-³ N/m) has radius 2cm. The work done in doubling the radius is;,9.34×10-⁴J,0,1.1355×10-⁴,2.261×10-⁴J
Two capillary tube mate of same material but of different radius were dipped into water,Liquid rise more in smaller radius capillary tube,Liquid rise more in larger radius capillary tube,Liquid rise equal in both,No effect
What is the reason for the water droplet to be spherical?,Surface tension,Viscosity,Terminal velocity,Pressure
The surface energy of a soap bubble is proportional to its radius as,R²,R,R³,R½
The surface energy of a soap bubble is proportional to its radius as,R²,R,R³,R½
The surface energy of a soap bubble is proportional to its radius as,R²,R,R³,R½
The surface energy of a soap bubble is proportional to its radius as,R²,R,R³,R½
Oil kept in frying pan spreads more easily when it is hot. It is due to,Decrease in surface tension of oil,Decrease in viscosity of oil,Increase in viscosity of oil,Decrease in angle of contact
If two soap bubbles of different radii are in contact then,"Air flows from smaller to the larger bubble, and it becomes still larger",Air flows from larger to smaller bubble till their radii become equal,The size of the bubble remains same,Both the bubbles are brust
A soap bubble having radius R then the work done to double the radius,24πRT²,8πRT,32πRT²,16πRT²
"When the temperature of a liquid rises, its surface tension",Decrease,Remains constant,Increase,Disappears
Detergents in hot water enable grease to be removed from plates by,Decreasing the contact angle between the grease and the plate,Decreasing the density of the liquid,Increasing the temperature of the liquid,Raising the surface tension of water
A thin flim of water is formed between two straight parallel wires each 10cm long and 0.5cm apart. Calculate the work required  to increase 1mm distance between the wires(surface tension= 72×10-³ N/m),143×10-⁷J,34×10-⁸ J,5×10-⁵J,288×10-⁷J
"A vessel of the radius r and height h contains a liquid upto height h such that (h/2<h') if the length of the vessel is halved, then the liquid will be raise up to height",H/2,H,H+H'/2,H/3
The force necessary to pull a circular plate of radius 5cm from the surface of water (surface tension 75 dynes/cm),750πdynes,375dynes,375πdynes,750dynes
"If the work done in blowing a bubble of volume V is w, then the work done in blowing a bubble of volume 2V will be",4^(1/3) w,W,2W,(2)^1/3W
Rain drops assume spherical surface,To attain minimum surface area due to surface tension,Due to viscosity,Due to frictional force,Due to adhesion
"When two capillary tubes of different diameters are dipped vertically in a liquid, the height of the liquid is",More in the tube of smaller diameter,More in the tube of larger diameter,Less in the tube of smaller diameter,Same in the both tubes
With the rise of temperature surface tension,Decrease,Increase,Remains unchanged,Becomes zero
The surface tension of liquid ........ on increasing temperature,Decreases,Increases,May increase or decrease,Remains same
If two drops are combined to form a big drop then ratio of surface energy of 2 drops to the surface energy of big drops is,2¹/³,1/2¹/³,1:1,2²/³
Two ballons are blown into spherical shape of unequal size and are connected through a narrow tube then,Bigger ballon becomes smaller,Smaller ballon becomes larger,No change in their sizes,Bigger ballon becomes bigger
"A vessel, whose bottom has round holes with diameter 0.1mm is filled with water. The maximum height up to which water can be filled without leakage is ( surface tension =7.5×10-³ N/m and g= 10m/s²",50cm,100cm,75cm,30cm
"A capillary tube when immersed vertically in a liquid records a rise of 2cm. If the tube is held immersed in a liquid at an angle of 60• with the vertical , the length of the liquid column along the tube will be",4cm,1cm,2cm,4/√3cm
