question,answer,wrong1,wrong2,wrong3
The gas obtained by adding water on aluminium carbide is,Methane,Ethyne,Ethane,Ethene
Hydrolysis of calcium carbide yeild,Ethyne,Methane,Ethane,Acetic acid
"A metallic carbide on reaction with water gives a hydrocarbon which readily burns in oxygen and it gives Tollen's test, the hydrocarbon is",Ethyne,Methane,Ethane,Ethene
"Carbide of metal on hydrolysis form hydrocarbon, also give test with Tollen's reagent is:",Ethyne,Methane,Ethane,Ethene
"A mixture of methane, ethylene and acetylene is passed through ammonical Cu2Cl2 solution in a tube. Then the mixture of gases coming out of the tube is",Methane and ethylene,Methane and acetylene,Ethylene and acetylene,Acetylene
Which of the following has more acidic character?,Acetylene,Methane,Ethylene,Ethane
The no. of isomer of C6H14,5,6,7,4
Which of the following is unsaturated in nature?,C4H8,C6H14,C2H5OH,CH4
Alkanes are represented by general formula.,CnH2n+2,CnH2n,CnH2n-1,CnHn+1
,CaO,B2H6,Red Phosphorus,DIBAL-H
Alcholic solution of KOH is used for,Dehydrohalogenation,Dehydrogenation,Dehalogenation,Dehydration
Isoproyl bromide on treatment with ethanol and KOH gives,Propene,Propyne,Propanol,Propane
............... is obtained when ethyl chloride is heated in presence of alcoholic KOH,Ethylene,Butane,Ethyne,Acetylene
Chlorobutane on reaction with alcoholic potash,1-butene,1-butanol,2-butene,2-butanol
,Propene,Propane,Propanal,Propyne
,NCCH2CH2CN,CH3CH2CN,BrCH2CH2CN,BrCH=CHCN
Cracking of hydrocarbon is the process in which,Higher boiling hydrocarbons are changed into lower boiling hydrocarbons by the application of heat,Lower boiling hydrocarbons are changed into higher boiling hydrocarbon,Production of petroleum from crude oil,Separation of small hydrocarbon from their mixture
Liquid hydrocarbons can be converted to a mixture of gaseous hydrocarbons by,cracking,oxidation,distillation under reduced pressure,hydrolysis
Propane on strong heating will yield,Methane and ethene,2 Molecules of CH4,Ethane and Methane,Methane and ethane
Which of the following substances is used as an antiknock compound?,TEL,Lead acetate,Ethyl acetate,All of these
