question,answer,wrong1,wrong2,wrong3
1. COMMONLY USED BLOOD AGAR-MEDIUM IS,B. ENRICHED MEDIA,A. ENRICHMENT MEDIA,C. SELECTIVE MEDIA,DIFFERENTIAL MEDIA
2. MYCOBACTERIUM TUBERCULOSIS IS GROWN IN:,A. L.J MEDIA,B. WILSON AND BLAIR MEDIA,C. NUTRIENT AGAR MEDIA,D. NONE OF THE ABOVE
"3. ""ACUTE STORE THROAT CAN BE CAUSED BY:",A. B-HAMEMOLYTIC STREPTOCOCCID,B. CANDILA ALBICANS,C. DIPTHEIRA,D. SERRATIA SPA
4. THE BACTERIAL SPORE ARE KILLED BY:,A. 121°C MOIST HEAT,B. 120°C MOIST HEAT,C. 160° DRY HEAT,D. BOILING FOR 5 min
5. LOCOMOTORY ORGANS OF SPIROCHATEIS:,D. AXIAL FILAMENT IN THE BODY,A. FLAGELL,B. CILIA,C. FIMBRAE
6. FATHER OF MODERN MICRO BIOLOGY IS:,B. LOUISE PASTEUR,A. ROBERT KONCH,C. JOSHEPH LISTER,D. METCHKINOFF
7. ENDOTOXINS ARE CHEMICALLY :,C. LIPOPOLYSACCHARIDES,A. MUCOPEPTIDE,B. POLYSACCHARIDES,D. LIPOPROTEIN
8. LARGE AMOUNT OF TEICHONICE ACID IS PRESENI IN,B. GRAM +VE BACTERIAL CELL WALL,A. GRAM -VE BACTERIAL CELL WALL,C. MYCOPLASMA,D. BACTERIOPHAGE
9. WHICH ONE OF THE FOLLOWING IS NOT PROKARYOTE?,D. VIRUS,A. BACTERIAL,B. CHLAMYDYAE,C. FUNGI
10. WHICH MEDIA ISPREFERRED FOR ANTIBIOTIC TESTING:,B. MULLER HINTON AGAR,A. NUTRIENT AGAR,C. BLOOD AGER,D. MAC CONKEY AGAR
37. SCHICK TEST IS USED IN INDENTIFICATION OF:,B. DIPTHERIAL BACTERIA,A. MYCOBACTERIUM TUBERCULOSIS,C.STAPHYLOCOCCUS,D. ß. HEMOLYTIC STREPTOCOCCI
36. TPHA IS USEFUL IN:,B. SYPHILIS,A. GONORRHOEA,C. AIDS,D. MENINGITIS
35. ORGANELLES WITH HYDROLYTIC  BODIES IS:,D. LYSOSOME,A. MITOCHONDRIA,B. RIBOSOME,C. GOLGIBODIES
34. BACTERIAL VITAMINS X &V ARE REQUIRED FOR GROWTH OF:,HAEMOPHILLUS SPP.,A. E. COIL,B. BRUCULLA SPP.,D. KLEBSIELLA OXYTOCA
33. THE EXACT DEFINITION OF THE TERM 'DESINFECTION' IS:,D. DESTRUCTION OF ALL PATHOGENIC BACTERIA,A. WHEN AN ARITICLE IS FREE FROM MICROORGANISMS.,B. PREVENTION OF INFECTION,C. INHIBITING GROWTH OF BACTERIA
32. STERILIZATION IS WELL DONE IN ONE FO THE FOLLOWING:,B. STEAM UNDER PRESSURE,A. BOILING,STEAM,D. HOT AIR
31. GLASS VESSELS AND TUBES ARE BEST STERILIZED BY:,A. HOT AIR OVEN,B. AUTOCLAVE,C. IRRADIATION,D. SIMPLE BOILING
30. BEST METHODE OF SKIN DISINFECTIONS:,C. TINCTURE IODINE,A. SPRIT,B. 100% ALCOHOL,D. CETRIMIDE
29.  OPERATION THREATS ARE STERILIZED BY:,C. FORMALDEHYDE FUMIGATION,A. CARBOLIC ACID  SPRAYING,B. WASHING WITH SOAP & WATER,D. ETHYLENE OXIDE GAS
28. CIDEX IS:,A. 2 % GLUTERALDEHYDE,B. HEXACHLOROPHENE,C. 2% CETRIMIDE,D. 5% IODINE
27. VACCINES ARE STERILLIZED BY:,D. TYNDALLISATION,A. SEITZ FILTRATION,B. HOT AIR OVEN,C. FILTRATION
26. THE USUAL CONCENTRATION OF BLOOD USED FOR BLOOD AGAR MEDIUM IS:,A. 10%,B. 20%,C. 40%,D. 50%
25. WILSON AND BLAIR MEDIUM IS USED FRO:,B. SALAMONELLA THYPHI,A. STAPHYLOCOCCUS AUREUS,C. VIBRIO CHOLERAE,D. E. COIL
24. STRING OF PEARL COLONIES ON NA MEDIUM IS GIVEN BY:,C. BACILLUS SP,A. KLEBSIELLA SPA,B. PROTEUS APS,D. SALMONELLA SPA
23. A GRAM POSITIVE ORGANISM WHICH PRODUCE SWARMING AN CULTURE MEDIUM IS:,A. PROTEUS VULGARIS,B. CLOSTRIDIUM TETANI,C. SALMONELLA PARATYPHI,D. CLOSTRIDIUM WELCHII
22. ZIEHL- NEELSEN STAIN IS:,D. ACID FAST STAIN,A. METALOCHROMATIC STAIN,B. RELIEF STAIN,C. NUCLEAR STAIN
21.  SEPTICEMIA IS:,D. MULTIPLICATION OF BACTERIA AN TOXIN IN BLOOD,A. BACTERIA IN BLOOD,B. TOXIN IN BLOOD,C. PUS IN BLOOD
20. ENTEROTOXINS ARE PRODUCED BY ALL EXCEPT:,D. STAPHYLOCACCUS PYOGENES,A. CLOSTRIDIUM PERFRINGENES,B. BACILLUS CEREUS,C. STAPHYLOCOCCUS AUREUS
19. RESTRICTION ENDONUCLEASE ARE DERIVED FROM:,B. BACTERIA,A. HUMAN,C. VIRUS,D. PLANTS
18. O-FEVER IS CAUSED BY:,C. COXIELLA BURNETII,A. SALMONELLA TYPHI,B. SALMONELLA PARATYPHI,D. PROTEUS MIRABILIS
17. COAGULOSE TEST IS USED FOR:,B. STAPHYLOCOCCUS AUREUS,A. SALMONELLA SPP,C. BORDETELLA SPP,D. PNEUMOCOCCUS SPP
16. GRAM NEGATIVE COCCI ARE:,C. GONOCOCCI,A. STAPHYLOCOCCI,B. ENTEROCOCCI,D. PNEUMOCOCCI
15. swarming type of  growth is producted by,a. proteus,E. COLI,C. SALMONELLA,D. PSEUDOMONAS
15.  WHICH OF THE TRUE ABOUT E. COIL.,B. IMVC ++--,A. GRAM +VE BACILLI,C. GRAM -VE COCCI,D. IMVC - - ++
13. wasserman test is a:,B. COMPLEMENT FIXATION,A. FLOCCULATION TEST,C. AGGLUTINATION,D. PRECIPITATION TEST
12.  ALL FOLLOWING PRODUCE UREASE EXCEPT:,D. SALMONELA,A. PROTEUS,B. KEBISELLA,C. CITROBACTERIA
11. PLASMIDS ASSOCIATED WITH RESISTANCE TO ANTIBIOTICS ARE:,B. R PLASMID,A. HFR PLASMID,C. D PLASMI,D. NONE OF THE ABOVE
