question,answer,wrong1,wrong2,wrong3
At what height from the earth surface the value of g will become one fourth of its value at earth surface (R = radius of the earth)?,R,2R,R/2,3/4R
"The escape velocity of body projected from the surface of earth vertically upward is 11 km/s. If the body is projected in a direction making an angle of 45° with vertical, the new escape velocity will be",11 km/s,11√2 km/s,22 km/s,11/√2 km/s
Escape velocity of body on earth surface is,11.2 km/s,22.4 km/s,80 km/s,11.2 m/s
The value of 'g' decreases in going from surface to deep down inside the earth. What happens to the value of 'g' in going to height H from the earth surface?,Decrease,Increase,Remains constant,Zero
Which statement among the following is correct with respect to 'g'?,g is maximum at poles and minimum at equator,g is same at all surface of earth,g is maximum at equator and minimum at poles,g is minimum at both poles and equator
When angular velocity of earth is increased then weigh of body is,Decreases at equator and constant at poles,Increases at equator and constant at poles,Increases at both poles and equator,Decreases at both poles and equator
Escape velocity for a satellite launched vertically from earth's surface is 11 km/s. Satellite is launched at 60° vertical. Escape velocity would be?,11 km/s,11√3,11/√3 km/s,22 km/s
"Two bodies of mass m and 9m are placed at a distance R. The gravitational potential on the line joining the bodies where the gravitational field equals zero, will be",-16 Gm/R,-12Gm/R,- 20Gm/R,-8Gm/R
"A satellite is orbiting just above the surface of the earth with period T. If d is the density of the earth and G is the universal constant of gravitation, the quantity 3π/Gd represents",T²,T³,√T,T
"A body of mass 60 g experience a gravitational force of 3.0 N, when placed at a particular point. The magnitude of the gravitational field intensity at that point is",50 N/kg,0.05 N/kg,20 N/kg,180 N/kg
"The escape velocity from the earth's surface is V. The escape velocity from the surface of another planet having a radius, four times that of Earth and same mass density is",4V,V,2V,3V
"A particle of mass 'm' is projected with a velocity v=kVe(k<1) from the surface of the earth. (Ve = escape velocity)

The maximum height above the surface reached by the particle is",Rk²/1-k²,R(k/1-k)²,R(k/1+k)²,R²k/1+k
"A satellite is orbiting a planet of radius 'R' and mass 'M' with a velocity 'V'. If the radius of the planet is double keeping the density unchanged the final velocity of satellite, he would be ?",2V,V,V/2,3/2 V
When earth doesn't rotate about its axis then what effect can be seen in its gravity?(Except at pole),Will increase,Will decrease,Remain same,None
What is true for a satellite orbiting around the earth,Speed in maximum when it is near the earth because of constant angular momentum,Sweeps out equal mass in equal interval as energy is constant,Sweeps out maximum when it is near because angular momentum is variable,Constant linear momentum
The earth satellite is 4 times higher than the communication satellite from surface of the earth. Then time period of earth satellite is,192 hrs,186 hrs,372 hrs,384 hrs
Work done in raising a body of mass 'm' from surface of earth height equal to radius of the earth is given by,MgR/2,2 mgR,MgR,mgR²
"The mass of the earth is 80 times that of the moon and their diameter are 12800 km and 32oo km respectively. The value of the acceleration due to gravity on earth is 9.8 m/s, the value on the moon will be",1.66 m/s²,16.6 m/s²,9.8 m/s²,0
If 'A' is the areal velocity of the planet of mass 'M' then angular momentum is,2AM,M,A²M,AM²
The escape velocity of the planet is Ve. If the mass of the planet is increased four times keeping the radius same. The escape velocity becomes,2Ve,4Ve,2√2Ve,√2Ve
A satellite is moving round the earth in a circular orbit of radius 8000km with a velocity of 809m/s. The acceleration due to gravity on the satellite is nearly,0.08 m/s²,0.04 m/s²,0.06 m/s²,0.01 m/s²
"Let G be the gravitational constant and R be the radius of the earth becomes half, the new value of the gravitational constant will be",G,G/2,2G,RG
An astronaut feels weightlessness when,In an orbit,It is leaving earth,It is provided with escape velocity,In certain orbit
The satellite of mass M and 9M are orbiting a planet in a circular orbit or revolution will be in the ratio of,1:1,9:1,3:1,1:3
"The earth radius is 'R', acceleration due to gravity at its surface is 'g'. If the body of mass 'M' falls from height H = R/5 from earth surface its potential energy decrease by",5/6Mgh,Mgh,4/5 Mgh,6/7 Mgh
A small particle is held inside an isolated hollow sphere at distance x from the centre of the sphere. The gravitational force on that particle by the sphere is,Zero,Directly proportional to x,Inversely proportional to x²,Inversely proportional to x
"At what depth below earth surface, value of acceleration due to. Gravity becomes g/4(If R= radius of the earth)",3R/4,2/3R,R/2,R/4
How fast the earth would rotates so that particles at its equator fly off,1.25 x 10–³ rad/s,1.25 x 10–⁵ rad/s,1.5 x 10_⁴ rad/s,1.25 x 10³
"A satellite of the earth is revolving in a circular orbit with a uniform speed v. If the gravitational force suddenly disappears, the satellite will","Move with a velocity v, tangentially to the original orbit",Continue to move with velocity V along the original orbit,Fall down with increasing velocity,Ultimately come to rest somewhere on the original orbit
The weight of a body at the centre of the earth is,Zero,Infinite,Same as on the surface of earth,None of the above
Two particles of equal mass go round a circle of radius R under the action id their mutual gravitational attraction. The speed of each particle is,v = 1/2 √Gm/R,v = 1/ 2R √ 1/Gm,v = √Gm/2R,v = √ 4Gm/R
Reason of weightlessness in a satellite is,Zero reaction force by satellite surface,Zero gravity,Centre of mass,None
"Weightlessness experienced while orbiting the earth in space-ship, is the result of",Free fall towards earth,Inertia,Acceleration,Zero gravity
Where will it be profitable to purchase 1 kilogram sugar,At equator,At poles,At 45° latitude,At 40° latitude
"If radius of the earth contracts 2% and it's mass remains the same, then weight of the body at the earth surface",Will increase,Will decrease,Will remain the same,None of these
"If mass of the body is M on the earth surface, then the mass of the same body on the moon surface is",M,M/6,Zero,None of these
"A body of mass m kg. Starts falling from a point 2R above the Earth's surface. It's kinetic energy when it has fallen to a point 'R' above the Earth's surface [ R- Radius of Earth, M- Mass of Earth, G- Gravitational constant]",1/6 GMm/R,1/2 GMm/R,2/3 GMm/R,1/3 GMm/R
"The escape velocity from the earth is about 11 km/s. The escape velocity from a planet having twice the radius and the same mean density as the earth, is",22 km/sec,11 km/sec,5.5 km/sec,15.5 km/sec
The escape velocity of a particle of mass m varies as,m⁰,m²,m,m–¹
Escape velocity on the earth,Depends upon the height from which it is projected,Is less than that on the moon,Depends upon the mass of the body,Depends upon the direction of projection
"If Ve and V0 represent the escape velocity and orbital velocity of a satellite corresponding to a circular orbit of radius R, then",√2V0 = Ve,Ve = V0,Ve = V0√2,Ve and V0 are not related
Two satellite of masses m1 and m2 ( m1>m2 ) are revolving round the earth in circular orbits of radius r1 and r2 (r1 > r2) respectively. Which of the following statements is true regarding their speeds v1 and v2 ?,v1 < v2,v1 = v2,v1 > v2,v1/r1 = v2/r2
A small satellite us revolving near earth's surface. It's orbital velocity will be nearly,8 Km/sec,11.2 km/sec,4 km/sec,6 km/sec
A ball is dropped from a spacecraft revolving around the earth at a height of 120 km. What will happen to the ball,It will continue to move with velocity V along the original orbit of spacecraft,It will move with the same speed tangentially to the spacecraft,It will fall down to the earth gradually,It will go very far in the space
"A geo stationary satellite is orbiting the earth at a height of 6R above the surface of earth, R being the radius of earth. The time period of another satellite at a height of 2.5 R from the surface of earth is",6√2 hr,10 hr,(6/√2)hr,6 hr
"A satellite of mass m is circulating around the earth with constant angular velocity. If radius of the orbit is R0 and mass of the earth M, the angular momentum about the centre of the earth is",m√ GMR0,M√GmR0,m√GM/R0,M√GM/R0
"In an elliptical orbit under Gravitational force, in general",Aerial velocity is constant,Tangential velocity is constant,Angular velocity is constant,Radial velocity is constant
