question,answer,wrong1,wrong2,wrong3
"A body of mass m is resting on a horizontal surface. If the angle of friction is 8, the maximum force required to just slide the body is",mg sine,mg cose,mg tane,mg sece
"A uniform rope of length x lies on a table. If the coefficient of static friction is μ, the maximum length of this part of the rope which can overhang from the edge of the table without sliding down is:",μX(μ+1),X,X/(μ+1),μX/(μ-1)
"Starting from rest, a body slides down a 45° inclined plane in twice the time it takes to slide down the same distance in the absence of friction. The coefficient of friction between the body and the inclined plane is",0.75,025,0.33,0.80
"A box weighing 30 kg is pushed along the floor at a constant speed by applying a horizontal force. If the coefficient of friction is 0.2, then force applied  IA",60 N,6N,12 N,240 N
A weight w rest on rough horizontal plane. If the angle of friction is e then the least force that will move the body along the plane will be,W sine,W cose,W tane,W cote
"A rectangular block of side 'a' and height 'h' is moving on a horizontal surface. It will topple down
when",μ≥a/h,μ≥a/2h,μ≥h/2a,μ≤h/2a
A cart of mass 1000 kg is pulled by the horse of 200 kg. The coefficient of friction between them and ground is 0.2. Calculate the force required to produce the acceleration of 2 m/s2 in the cart.,4800 N,1200 N,2400 N,3600 N
"A weight W rest on rough horizontal plane. If the angle of friction be 0, then the least force that will move the body along the plane will b",W sin e,W cos e,W tan e,W cot e
"A car is moving towards east. Neglecting air resistance, the friction on the car offered by the ground will be",Act towards east,Act towards west,Zero when moving constant velocity,Act on vertical direction
.A car is moving along a straight horizontal road with velocity v. If coefficient of friction between tyres and road is equal to μ. The minimum distance required to stop car is,V^2/2μG,V/μG,V^2/μG,V^2/μ
The force of friction is 50 N in a body weighing 50 kg. Find the coefficient of friction,0.102,0.5,2.5,0.201
A person takes short steps while walking on ice surface because of,less friction,more friction,increased normal reaction,decreased normal reaction
