question,answer,wrong1,wrong2,wrong3
All of the following wave can be polarized except,Sound wave,Light Wave,X-ray,Radio Wave
In the diffraction graffing d=24 um and wave length is 6000 Armstrong find the number of graffing.,20,60,80,30
What happens if torch light is used instead of monochromatic light in interference experiment?,Interference occurs with multiple overlapped fringes,Interference doesn't occur,Normal interference occurs,Interference occurs but with reduced intensity
When the light changed from red to Voilet  in interference then,Fringes get closer,Brightness is increased,Fringes become dark,Fringes become bright
Soap bubble shine colorful due to,Interference,Refraction,Diffraction,Polarization
The polarizing angle between reflected and refracted rays is,90°,0°,45°,180°
"In Young's double slit experiment 12 fringes are obtained in a certain fragment of the screen when light of wave length 600 nm is used .If the wavelength of light is changed to 400 nm , number of fringes obtained in the same segment of the screen will be",18,12,24,30
The fringe width interference of monochromatic light produced by double slit experiment is Beta. The wavelength of light is lamda . Then the ratio of the slit separation to the distance between slits and the screen is,Lambda/ beta,Beta* lambda,1/lambda*beta,Betta^2/ lambda
"A beam of light is passed through two parallely placed tourmaline plates . Now when one of the  plate is rotated, brightness is changed due to",Polarization,Dispersion,Diffraction,Interference
If Young's experiment is performed inside water the fringe width will,Decrease,Remain same,Increase,None of the above
Two sources of light are said to be coherent if they emit waves,Of the same wavelength having a constant phase difference,Of the same velocity,Of the same intensity,Of the same wavelength
"In the formula u = tan θ , θ stands for",Polarising angle,Brewster angle,Refracting angle,None of the above
The waves of frequency having diiferent amplitude and constant phase difference of 90° the waves are,Elliptically polarised,Circularly polarized,Linearly polarised,Linearly partially polarized
"In Young's double slit experiment, the separation of slits  is 1.9 mm and fringe spacing is 0.31 mm at a distance 1m from slit. The wavelength of light used is",5890A°,6129A°,3100A°,1631A°
The width of the third fringe in YDSE is 0.1 mm . The width of the fifth fringe will be,0.1 mm,0.17 mm,0.06 mm,1.5 mm
Light of 600 nm is incident on slit of width 0.5 mm. Diffraction pattern is observed on the screen placed at distance  of D from slit. The linear width of the first principal maximum is equal to width of slit D will be equal to,D^2/ lambda,d^2/2 lambda,Lambda/2d^2,Lambda/d^2
