question,answer,wrong1,wrong2,wrong3
Which of the following is absent in algae,Embryo,Chlorophyll,Reserve food material,Sexual reproduction
Algae are characterized by,Unicelled sex organs,Thalloid plant body,Aquatic habit,Pyrenoid
An epizoic algae attached to snails shell is,Cladophora,Oedogonium,Zoochlorella,Nostoc
An endophytic algae which remains in symbiotic association with azolla is,Anabaena,Sprirulina,Nostoc,Rhizobium
Nostoc species are endophytic BGA in,All,Lemna,Coralloid root of cycas,Anthoceros
Parasitic algae is,Cephaleuros,Volvox,Vaucheria,Oedogonium
'Red Snow' is caused by,Chlamydomonas nivalis,Trichodesmium erythrium,Dinoflagellates,Kelps
'Red Sea' is red due to,Trichodesmium erythrium,Diatoms,Dinoflagellates,Blue green algae
A group of autotrophic thallophyte is,Algae,Fungi,Virus,Bacteria
Largest unicellular algae is,Acetabularia,Microcystis,Macrocystis,Dictyota
Ground becomes slippery during rainy season because of,Blue-green algae,Brown algae,Green algae,Mosses
Which one of the following is generally found in coal seas,Brown algae,Red algae,Green algae,Blue-green algae
Which of the following is used to remove water bloom?,Cyanophage,Bacteriophages,DDT,None
'Frog's Spawn' alga is,Bactrachospermum,Macrocystis,Sargassum,None
Cup shaped chloroplast is found in,Chlamydomonas,Spirogyra,Ulothrix,Cladophora
The shape of chloroplast found in Ulothrix is,Girdle shape,Discoid shape,Reticulate shape,Star shape
A thick - walled spore meant for perennation is called,Hypnospore,Akinete,Zoospore,Alpanospore
"Non-flagellated, thin walled spores are called",Alpanospore,Zygospores,Zoospores,Hypnospore
The only motile spore which helps in asexual reproduction in algae is,Zoospore,Zygospore,Azygospore,Hypnospore
The characteristic pigment of cynobacteria is,Phycocyanin,Fucoxanthin,Chlorophyll-b,Anthocyanin
Fucoxanthin is the pigment which occurs only in,Brown algae,Red algae,Blue-green algae,Green algae
Red colour of red algae is due to,r-phycoerythrin,Trichodesmium erythrium,r-phycocyanin,Xanthophylls
Red rust of tea is caused by,Cephaleurous virescence,Cephaleurous arabica,Both a & b,None of these
Reserve food material in algae is found in,Pyrenoid,Chloroplast,Vacuole,Cytoplasm
Pyrenoids are for the storage of,Starch,Protein,Fats,Lipoprotein
Core of pyrenoid is made up of,Protein,Starch,Fats,Amino acids
Pyrenoids are absent in which group of algae,Blue green algae,Green algae,Brown algae,Red algae
An algae with no flagellate phase or non-motile gametes is,Spirogyra,Ulothrix,Anabaena,Cladophora
Spirogyra occurs in,Stagnant fresh water,Running salt water,Running fresh water,Stagnant salt water
"Spirogyra is named so, because",Chloroplast is spirally arranged,Pyrenoids are spirally arranged,Plasma membrane is spiral,All of the above
Spirogyra differs from moss protonema in having,Pyrenoid,Branched filament,Discoid chloroplast,Rhizodial branches
The cell wall of spirogyra is made up of,Cellulose,Pectine,Lignin,Chitin
Spirogyra has a,Haplontic life cycle,Diplontic life cycle,Haplobiontic life cycle,Diplobiontic life cycle
Which of the following is known as pond silk?,Spirogyra,Ulothrix,Nostoc,Anabaena
Spirogyra is also called,All,Water silk,Pond silk,Pond scum
No of chloroplasts per cell in spirogyra is,1-16,1,5-20,Numerous
Chloroplast of spirogyra have,Wavy margin,smooth or wavy margin,smooth margin,None
The most common method of reproduction in spirogyra is,Fragmentation,Scalariform conjugatin,Lateral conjugation,All of these
Zoospores of spirogyra are,None,Uniflagellated,Biflagellated,Multiflagellated
Gametes of spirogyra are,Aplanogametes,Planogametes,Biflagellate,Quadriflagellate
Sexual reproduction is spirogyra is by,Conjugation,Fragmentation,Isogamy,Oogamy
