question,answer,wrong1,wrong2,wrong3
Quark combination of anti-neuron is:,a,b,c,d
"Planet A is r distance away from earth and another planet B double the distance between A and Earth. According, to Hubble's law velocity is:",Double,Same,Tripled,Quadrupled
"The mass ration of nucleus is 1:3, find ratio density of nucleus?",1:1,3:1,2:1,"1""2"
Minimum PN junction diode used in full wave rectifier:,2,3,4,1
What percentage of universe is dark matter?,70%,75%,80%,85%
"Proton and electron has same de-broglie wavelength, the ln K.E. of electron?",More than proton,Less than proton,Same as proton,None
Hard X-ray differs from Soft X-ray in having:,Low wavelength,Low frequency,Low energy,D
P-type semiconductor is obtained by doing of intrinsic semiconductor with:,Trivalent,Pentavalent,Tetravalent,Bivalent
Depletion layer in PN junction is caused by:,Diffusion layers,Diffusion of charge carriers,C,D
"Ce = 5.88 mA , Cc = 5.4 A, β = ?",A,B,C,D
"In a common-base mode of a transistor, the collector current is 5.488 Ma for an emitter current of 5.60 mA . The value of the base current amplification factor β will be:",48,50,51,48
Which of the following is true for graph?,h/e,Planks constant,C,D
Photoelectric effect of saturation current depend on:,Intensity,Frequency,Stopping potential,Work function
"The mass of proton is 1840 times the mass of electron, then the K.E. gained by a proton when accelerated by 1 V is:",1 eV,1840 eV,1/1840 eV,1 KeV
