question,answer,wrong1,wrong2,wrong3
1. WHICH OF THE FOLLOWING MEDIA ARE USED TO ISOLATE FUNGI,B. SABOURAD'S AGENT,A. NUTRIENT AGAR,C. BLOOD AGAR,D. CHOCOLATE AGAR
2. THE CELL WAL OF FUNGUS:,D. ALL,A. PROVIDES RIGIDITY AND STRENGTH,B. MADE UP FROM CHITIN,C. ABSENCE OF CELLULOSE
3. CANDIDA ALBICANS IS NOTEWORTHY AS THE ETIOLOGICAL AGENT OF :,D. THRUSH,A. VALLEY FEVER,B. DESERT FEVER,C. DESERT RHEUMATISM
"4. THE HOST IN WHICH SEXUAL CYCLE OF PARASITE OCCURS IS CALLED,",A. DEFINITIVE HOST,B. INTERMEDIATE HOST,C. INFECTIVE HOST,D. RESERVOIR HOST
5. 'RINGWORM' IS THE DISEASE  CAUSE BY,A. T. RUBRUM,B. C. ALBICANS,C. C. NEOFORMASNS,D. H. CAPSULATIUM
6. DERMATOPHYTIDES IS CAUSED BY:,D. TRICHOPHYTON,A. HERPES SIMPLEX,B. PAPILLANA VIRUS,C. CANDIDA SPP
7. ONE OF THE FOLLOWING CAUSED OPPORTUNISTIC INFECTIONS,B. CANDIDA ALBICANS,A. NOCARDIA,C. EPIDERMOPHYTON,D. ALL OF THE ABOVE
8. ACTINOMYCETES IS:,A. GRAM POSITIVE BACTERIA,B. GRAM NEGATIVE BACTERIA,FUNGUS,D. A YEAST LIKE FORM
9. FARMERS LUNGS CAUSED BY:,C. HISTOPLASMA CAPSULATUM,A. MICROMONSPORE FAENI,B. ASPERGILLOSIS,D. ALL
10. 'DARLING DISEASE' THE TERM ASSOCIATED WITH:,A. HISTOPLASMA CAPSULATUM,B. BATS,C. CANDIDA ALBICANS,D. NONE
