question,answer,wrong1,wrong2,wrong3
Ozone is,An allotrope of oxygen,An isomer of oxygen,An isotope of oxygen,Isostructural with H2O2
Bleaching property is shown by all except:,O2,Cl2,SO2,H2O2
Oxygen has a positive oxidation state in,F2O,H2O2,Cl2O,NaOCl
The compound that gives off oxygen on moderate heating is,mercuric oxide,cupric oxide,zinc oxide,aluminium oxide
What is the product formed when ozone reacts with mercury ?,Hg2O,HgO,Hg2O2,HgO2
Transition temperature for 'α' and β- Sulphur is,96°C,101°C,95°C,92°C
"A solution of SO2 in water reacts with H2S precipitating sulphur. Here, SO2 acts as",An oxidising agent,A reducing agent,An acid,A catalyst
Which of the following gas changes lead acetate paper black?,H2S,H2SO4,SO2,SO3
In contact process the arsenic impurity is removed by,Fe(OH)3,Pt,V2O5,FeO
What is consumed during discharge of lead storage battery?,H2SO4,PbSO4,Pb,H2O
Which of the following hydrides shows the highest b.pt.?,H2O,H2S,H2Se,H2Te
"In Kipp's apparatus, H2S is prepared",by the action of dil.H2SO4 on iron sulphide,by the action of dil. HCl on iron sulphide,by the action of conc. H2SO4 on iron sulphide,continuously
Oxallic acid when heated with conc.H2SO4 gives out,CO and CO2,H2O and CO2,oxalic sulphate,CO2 and H2S
Which one is known as oleum?,H2S2O7,H2S2O3,H2SO5,H2S2O8
"When hypo is treated with iodine, the ion formed is",tetrathionate,sulphate ion,thionate ion,sulphide ion
Hypo is used in photography because of its,complex forming behaviour,reducing behaviour,oxidising behaviour,reaction with light
"When H2S gas is passed through nitric acid, the product is",colloidal S,prismatic S,monoclinic S,rhombic S
O22- is the symbol of ....................... ion,peroxide,oxide,superoxide,monoxide
Which of the following oxides do not react with NaOH?,CaO,BeO,B2O3,SiO2
"Bond length order:-

H2O2, O2, O3",H2O2>O3>O2,O3>O2>H2O2,H2O2>O2>O3,H2
