question,answer,wrong1,wrong2,wrong3
"NH4CNO –> NH2CoNH2, This reaction is",Rearrangement reaction,Elimination reaction,Sublimation reaction,Condensation reaction
There are huge number of organic compounds in existence. This is due to,Both b and c,Tetracovalency of C atom,Catenation property of carbon,Isomerism exhibited by C - compounds
Which of the following is not true about homologous series?,Members of a group have same chemical and physical properties,Adjacent members of group differ by one -CH2 group,Adjacent members of group differ by a mass of 14 amu,Members of a group can be prepared by same general method
"In benzene, overlapping between carbon atom is",sp2 - sp2,sp3 - sp3,sp2 - sp3,sp - sp
The general molecular formula which represent the homologous series of alkanols is,CnH2n+2O,CnH2no2,CnH2nO,CnH2n+1o
Most acdic hydrogen is found in,CH ≡ CH,CH2 = CH2,CH3 - CH3,CH4
Which is an acidic hydrocarbon,CH3C≡CH,CH3CH2CH2CH3,CH3C≡CCH3,CH2=CH-CH=CH2
Acetylene molecules contains,3σ and 2π,5σ bond,4σ bond and 1π,3σ and 3π
The main source of most of the organic compounds is,Both,Coal tar,Petroleum,None
The enolic form of acetone contains,"9σ bonds, 1π bond and 2 lone pairs","8σ bonds, 2π bonds and 1 lone pair","9σ bonds, 2π bonds and 1 lone pairs","10σ bonds, 1π bonds and 1 lone pairs"
"The given compound

is an example of",allylic halide,Aryl haide,vinylic halide,benzylic halide
No. of α-hydrogen in 2 - butene is,6,4,8,12
Which of the following molecules does not contain any secondary hydrogen atom?,neo-Pentane,n-Pentane,neo-Hexane,iso-Pentane
Which has maximum C-C bond length?,Ethane,Benzene,Ethylene,Acetylene
Carbon atoms in the compound (CN)4C2 are,sp and sp2 hybridized,sp hybridized,sp2 hybridized,"sp, sp2 and sp3 hybridized"
Which carbon atom among the following is likely to posses tetrahedral geometry in,3,4,2,1
"The number of σ bonds, π bonds and lone pair of","11, 3 , 1","12, 3 , 0","12, 2 , 1","11, 2 , 0"
Self-linkage property of carbon is called,Catenation,Pyroysis,Reforming,Isomerism
The function of boiling the sodium extract with concentrated nitric acid before testing halogens is,To destroy CN- and S2- ion,To make solution clear,To make the solution acidic,To bring common ion effect
"In Lassaigne's extract of an organic compound, bothnitrogen and sulphur are present, which gives blood red colour with Fe3+ due to the formation of",[Fe(SCN)]2+,NaSCN,[Fe(CN)5NOS]4-,Fe4[Fe(CN)6]3 . xH2O
"During N2 test, the blue colouration is due to",Fe4[Fe(CN)6]3,Fe3[Fe(CN)6]2,Na4[Fe(CN)6],Na2[Fe(CN)5NO]
"The green/prussian blue color is formed in Lassaigne's test if nitrogen is present in an organic compound, the green/ prussian blue color is due to the formation of",Fe4[Fe(CN)6]3,Na4[Fe(CN)6],Fe4[Fe(CN)6],Fe(CNS)3
In Lassiagne's test the violet colouration is due to,Na4[Fe(CN)5NOS],Fe4[Fe(CN)6]3,Na2[Fe(CN)3],Na2[Fe(CN)5NO]
In which of the following N can't be detected by N2 test?,NH2NH2,C6H5NH2,CH3NO2,NH2CONH2
Chromatography is based upon,Selective adsorption,Absorption,Solubility,Colour change
Absolute alcohol is prepared by,Azeotropic distillation,Fractional distillation,Kabe's method,None
Essential oil can be extracted by,Steam distillation,Sublimation,Simple distillation,Fractional distillation
During the detection of organic compound sodium extract is prepared to,Convert it intoionic form,Dissolve it in water,Make it more reactive,Make the reaction slow
Fractional crystalization is based on difference between,Solubility,MP,BP,VP
Separation of two sbstances by fractional crystallisation depends upon their difference in,solubility,densities,volatility,crystalline shape
Mixture of NH4CL and NaCL can be separated by,Sublimation,Filtration,Distillation,Evaporation
A mixture of camphor and benzoic acid can be easily separated by,Chemical method,Sublimation,Extraction with solvent,Fractional crystallisation
Positive Beilstein test shows that,Halogen may be present,Halogen is surely present,Halogen is absent,None of these
A bottle containing 2 immiscible liquid is given to you. They may be separated by using,Separating funnel,Fractionating column,Vacuum distillation,Steam distillation
The Kjeldahl's method for the estimation of nitrogen can be used to estimate the amount of nitrogen in which one of the following compounds?,Amine,nitrobenzene,pyridine,azobenzene
A mixture of aniline and chlorobenzene can be separated by using,Dil. HCL,Ether,NaOH solution,Alcohol
Rectified spirit is converted into absolute alcohol by addition of,Benzene,Azo dye,None,All
