question,answer,wrong1,wrong2,wrong3
From a sphere 10^14 electrons are removed then charge on the sphere is:,16ʋc,-16ʋc,32ʋc,-32ʋc
Tap water is bent towards the rod due to:,Electrostatics charge,Magnetic field,Electro dynamic charge,None
Two ebonite rords A and B of radii 1.5 cm and 2 cm respectively,,,,
Two ebonite rods A and B of radii 1.5cm and 2cm respectively are rubbed together. the result will be:,A and B both remain neutral,the north pole of the magnet,charged with static electricity,any non magnetic substances
A thin stream of water from a tap is attracted by placing a rod near it. the rod is :,charged with static electricity,the  south pole of the magnet,the north pole of the magnet,any non magnetic substances
A sphere is charged with charge Q. A small test charge qo is placed at a distance x. from the surface of th sphere. The force experienced by the test charge is proportional to :,1/(R+X)^2,(R+X)^2,(R-X)^2,1/(R-X)^2
When two bodies are rubbed against each other they are electrified. Which one of the following are correct?,A glass rod becomes positively charged if rubbed ebonite.,A glass rod becomes negevatively chareged if rubbed with a metal.,A glasss rod becomes posotively charged if rubbed with a flannel.,A glass rod becomes negatively charged if rubbed with amber.
Divergence of gold leaf is used to study :,Charge,Potential,Energy,None
1eV is expressed in 1.602*10^-19 __.,joules,watt,volt,Ergs
"When a woolen sweater worn over a nylon shirt is removed, sparking is observed due to:-",static electricity,current electricity,none,both
The phenomenon of acquiring temporary electrification under the influence of a charged body is called ...,electrical induction,magnetic induction,capacitance,electrolysis
The electrophorus is a device :-,Which provide charge by friction,To measure charge,Which provide charge by electrophoresis,Which provide charge by conduction
An electrically nutral metal is rubbed with wool. It is found that the charge of 32μc is developed on the metal. The number of electrons transferred will be :,2*10^14,1.5*10^11,2.5*10^12,5*10^13
What is the force of attraction between electron and proton seperated by 0.53 Å?,8.2*10^-6 N,8.2*10^-4 N,8.2*10^-5 N,8.2*10^-3 N
Force between two charges 1μc is seperated by 1m is,9*10^-3,9*10^-4,9*10^-5,9*10^-2
The strength of electric repulsion between electrons is larger than the gravitational attraction between them by an order of,10^42,10^39,10^36,10^9
"The force between two charges in air is10N. On inserting dielectric, the force becomes 4N. Then dielectric constant of medium is",2.5,0.5,2,4
A charge q is placed at the middle of two equal charges Q. What should be the value of q so that the system is at equilibrium?,-Q/4,-Q/2,Q/4,Q/2
