question,answer,wrong1,wrong2,wrong3
Functional group of ester is,-RCOOR-,-COOH-,-CO-,-SH-
Fractional crystalization is based on difference between,Solubility,MP,BP,VP
No. of α-hydrogen in 2-butene is,6,4,8,12
Self-linkage property of carbon is called,Catenation,Pyrolysis,Reforming,Isomerism
"In the separation by fractional crystallization, there is difference in their",Solubility,Density,Voltality,Boiling point
"During the test for halogens, Sodium extract is first boiled with nitric acid as to",Decompose NaCN and Na2S,Increase the solubility of AgNO3,Make silver halides insoluble,Dissolve AgCN
"Chromatography, a method for the separation of mixture and purification of compound, is based on",selective adsorption,absorption,solubility,colour change
Separation of two substances by fractional crystallization depends upon their difference in,solubility,Crystalline shape,Vapor density,Density
Limit test is quantitative or semi-quantitative test when,to remove and control small quantities of medicinal impurity,to remove large quantity of organic impurity,to identify and control small quantities of organic impurity,to identify and separate medicinal substance
When ammonium cyanate is heated urea is formed. It is an example of,rearrangement,elimination,substitution,addition
Organic cyclic compounds possessing the properties of aliphatic compounds is,alicyclic,aromatic,cyclic,homocyclic
For the detection of sulphur in organic compound sodium nitroprusside is added to sodium extract. A violet colour is obtained due to formation of,Na4 [Fe (CN)5 NOS],Na3 [Fe(CN)6],Na2 [Fe(CN)5 S],Na4 [Fe (CN)6 NO]
The latest technique used for the purification of organic compound containing minute quantities is,chromatography,distillation,sublimation,crystallisation
In paper chromatography,the mobile phase is liquid and the stationary phase is solid,the mobile phase is solid and the stationary phase is also solid,there is an absence of mobile and stationary phases,both the phases are liquid
Chromatography is based upon,Selective adsorption,Absorption,Solubility,Colour change
"When Ammonium cyanate is heated, urea is formed. This is an example of",Rearrangement,Substitution reaction,Addition reaction,Elimination reaction
"When sodium nitroprusside is added to sodium extract for detection of sulphur, a violet color is formed due to formation of",Na4 [Fe(CN)5 NOS],Na4[Fe(CN)6],Na3[Fe(CN)6],K3 [Fe(CN)5 NOS]
Which of the following is most reactive towards nitration?,Toluene,Benzene,Benzoic acid,Nitrobenzene
Lassaigne's test is not applied for the detection of,phosphorous,halogens,nitrogen,sulphur
Which statement explains why the element carbon forms many compounds?,carbon readily forms covalent bonds with other carbon atoms,carbon combines readily with oxygen,carbon have high electronegativity,carbon readily forms ionic bond
"Sodium nitroprusside solution is added to sodium extract of a organic compound in alkaline medium. If a violet colour is obtained, it is due to the formation of",Na4[Fe(CN)5NOS],K3[Fe(CN)5 NS],Na4[Fe(CN)6],Fe3[Fe(CN)6]2
"In qualitative analysis of organic compound, the deep violet coloration is obtained by addition of freshly prepared sodium nitroprusside solution, sodium extract confirms the presence of",Sulphur,bromine,Chlorine,Nitrogen
The blood red colour which is obtained on the addition of ferric chloride solution to the acidified sodium extract solution in the Lassaigne's test is the indication of the presence,N and S,N,S,halogens
In which of the following compounds nitrogen can not be detected by the use of Lassaigne test,NH2NH2,C6H5NH2,CH3NO2,NH2CONH2
A green colour is formed in Lassaigne's test if nitrogen is present in an organic compound. This green colour is due to the formation of,Fe4[Fe(CN)6]3,Na4[Fe(CN)6],Fe4[Fe(CN)6],Fe (SCN)3
Which of the following statements regarding carbocation is not true?,It is very stable,It is an organic species which has positively charged carbon,It is very reactive,CH3+ is an example of carbocation
"In the Lassaigne's test, the violet colour is due to",Na4[Fe(CN)5NOS],Fe4[Fe(CN)6]3,Na₂[Fe(CN)3],Na2[Fe(CN)5NO]
Which of the following gives blood red ppt in sodium extract?,S,N,CI,C
"During the nitrogen test, the blue colouration is due to the formation of",Fe4[Fe(CN6)]3,Fe3[Fe(CN)6]2,Na4 [Fe(CN)6],Na2[Fe(CN)5NO]
On the homologous series of alcohol which of the following is not true,all the member is represented by same empirical formula,all the member contain oxygen,with oxygen they all produce CO2,their physical property differ slightly
Nitration of benzene is......type of reaction,Electrophilic substitution,Electrophilic addition,Nucleophilic substitution,Nucleophilic addition
The solution which breaks down at it's boiling point can be distilled by,decrease in pressure,increase in pressure,fractional distillation,Dinitrobenzene
