question,answer,wrong1,wrong2,wrong3
"The escape velocity of a planet, double the size of the earth is (is ρ is same).",22.4 km/s,11.2 km/s,44.8 km/s,5.6 km/s
"A satellite is orbiting a planet of radius 'R' and mass 'M' with a velocity 'V'. If the radius of the planet is double keeping the density unchanged the final velocity of satellite, he would be?",2V,V,V/2,3V/2
When earth doesn't rotate about its axis then what effect can be seen in its gravity? (Expect at poles),Will increase,Will decrease,Remain same,None
Orbital velocity of satellite depends upon,Mass of earth and radius of orbit.,Mass of earth only.,Radius of earth only.,Neither mass of nor radius of orbit.
What is true for a satellite orbiting around the earth,Speed in maximum when it is near the earth because of constant angular momentum.,Sweeps out equal mass in equal interval as energy is constant.,Sweeps out maximum when it is near because angular momentum variable.,Constant linear momentum.
Which is true?,The velocity of earth is greater near the sun is on account of momentum,The velocity of earth is greater near the sun is on account of repulsion,The velocity of earth is less the sun.,The velocity of earth is same everywhere around the sun.
A plane is moving with velocity 200 m/s and an observer is just below it. If shell is fired with 400 m/s by observe What is minimum height for plane so would escape?,6 km,8 km,4 km,3 km
The earth satellite is 4 times higher than communication satellite from surface of the earth. Then time periodd earth satellite is,192 hrs,186 hrs,372 hrs,384 hrs
The cause of day and night is due to,Rotation of earth around its axis,Revolution of earth around the sun,Effect of gravity of moon on earth,Effect of gravity of moon on earth
Work done in raising a body of mass' from surface of earth height equal radius of the earth is given by,mgR/2,2 mgR,mgR,\(mgR^2\)
The time period of communication satellite is,24 hours,12 hours,1 year,6 hours.
Two bodies of mass is 20 kg and 30 kg are 30 m apart. Then the gravitational force between the bodies is,\(4.4 × 10^{-11} N\),\(4.4 × 10^{11} N\),\(5.4 × 10^{-11} N\),\(5.4 × 10^{11} N\)
"Earth's escape velocity for a satellite launched vertically is 11km/s. If the satellite is launched at 600 with verticle, the escape velocity would be.",11km/s,11√3 km/s.,11/√3 km/s.,11.2km/s
An earth satellite revolves round a circular orbit at a height 300 km above the earth surface. If the radius of earth is 6400 km the velocity of the satellite will be nearly,7.7c km/s,8.1 km/s,3.5 km/s,1.2 km/s
"The mass of the earth is 80 times that of the moon and their diameters are 12800 km and 3200 km respectively. The value of the acceleration due to gravity on earth is 9.8 m/s2, the value on the moon will be:",\(1.66 m/s^2\),\(16.6 m/s^2\),\(9.8 m/s^2\),0
The escape velocity of moon of mass \(7.2 * 10^{22}\) kg and radius \(1.7 × 10^7\) m,2.4 km/s,1.2 km/s,11.62 km/s,10 km/s
If 'A' is the areal velocity of the planet of mass 'M' then angular momentum is:,2AM,M,\(A^2M\),\(AM^2\)
Two solid spheres of radii r' and '2r' made of same material are kept in contact; mutual gravitational force of attraction between them is proportional to,\(r^4\),\(1/r^4\),\(1/r^2\),\(r^2\)
