question,answer,wrong1,wrong2,wrong3
"When living organisms make changes according to their environment, it is called as———-.",Adaptation,Behavior,Both of these,None of these.
Adaptation can be ———-.,all of these.,Inherited,Structural,Reproductive
When living organisms make certain changes in their body parts is called as ——.,Structural adaptation,Behavioral adaptation,Both of these,None of these.
Which of the following are examples of structural adaptation?,Mimicry,Coloration,Sharp teeth,All of these.
Which of the following are examples of structural adaptation?,All of these.,Mimicry,Coloration,Sharp teeth
When living organism change their way to act in an environment for survival is called as—–.,Behavioral adaptation,Structural adaptation,Both of these,None of these.
Which of the following are examples of behavioral adaptation?,All of these.,Hibernation,Migration,Aestivation
Cold blooded animals undergo ———–.,Hibernation,Migration,Aestivation,All of these.
Summer sleep also called as———.,Aestivation,Hibernation,Migration,All of these.
When an animal copying the behavior or appearance of an another animal is called as—–.,Mimicry,Coloration,Migration,All of these.
Which of the following are types of mimicry?,Both of these,Monarch mimicry,Batesian mimicry,None of these.
Subterranean adaptation means,volant adaptation,fossorial adaptation,cursorial adaptation,desert adaptation
Adaptation for climbing is,Aerial,Arboreal,Cursorial,Aquatic
Saltatorial adaptation refers to adaptation for,Flying,Jumping,Running,Digging
Adaptation for storage of water is associated with,Arboreal adaptation,Xeric adaptation,cursorial adaptation,Burrowing adaptation
Adaptation in which animals live under soil inside holes,Fossorial,Saltatorial,Cursorial,Scansorial
Most animals are tree dwellers(arboreal) in a,Tropical rain forest,Thorn wood forest,Conferous forest,Temperate forest
The mouth with lips are suctorial pharynx in,Aerial adaptation,Parasitic adaptation,Burrowing adaptation,Arboreal adpatation
Mimicry is one of the adaptational features of,xerocles,fossorials,arborials,volants
External ear is reduced in,Desert animals,Arboreal adaptation,Fossorial animals,Cursorial adaptation
Streamlined body is an adaptational feature for,Cursorials,Arboreals,Fossorials,Scansorials
Osmoregulation is more important in,aquatic animals,flying animals,burrowing animals,running animals
Kangaroo shows,Cursorial adaptation,Saltatorial adaptation,Fossorial adaptation,Scansorial adaptation
The animal adapted for feeding on blood are of which adaptation,Scansorial,Sangivorous,Saltatorial,Volant
Body scales is covered with hard and horny scales in,Crawling animals,Desert animals,Fossorial animals,Arboreal animals
Intugement without hair and oil glands is related to,Xerocles,Aquatic animals,Terrestrial animals,Scansorials
Prrehensile tail helps in,Flying,Pierching,Climbing,Steering
Greatly enlarged eyelids are one of the adaptational features of,Aerial animals,Fossorial animals,Aquatic animals,Desert animals
Extremely fused vertebrae is found in,Birds,Reptiles,Pisces,Primates
Limb are modified into flippers in,Seahorse,Whale,Seasnake,Birds
Brain is provided with enlarged optic lobes for acute vision,Xerocles,Snakes,Aves,Primates
Claw and adhesive pads are related to,Saltatorial adaptation,Cursorial adaptation,Scansorial adaptation,Aerial adaptation
Hollow bones are characteristics of,Amphibian,Aquatic forms,Volant,Arboreal forms
The presence of beak is an adaptive feature of,Fossorial adaptation,Volant adaptation,Cursorial adaptation,Arboreal adaptation
Muscles of hindlimbs are highly developed and stronger in,Saltatorial animals,Cursorial animals,Arboreal animals,Volant animals
The aquatic birds have,Webbed feet,Long legs,Sharp claws,Oily feathers
Elaphant is an inhabitant of hot climate. This is suggested by,Huge size,Fleshy feet,Almost hairless skin,Small eyes
Most favourable land adaptation for reptile is,Pulmonary respiration,Moist skin,Scales on body,None
Birds fly with the help of,Feathers,Patagium,Wings,Limbs
Which of the following is best adapted in desert,Lizard,Leopard,Tiger,Hyla
Hygroscopic skin is provided in,Frog,Desert lizard,Rhacophorus,Exocoetus
Which of the following is not found in birds,Pectoral girdle,Pelvic girdle,Forelimb,Hindlimb
Birds have bipedal locomotion as it,Reduces body weight,Increases rate of locomotion,Provides more support to the body,Spares forelimbs for flight
Desert adaptation is found in,Sphenodon,Squirrels,HippopotamusP,Phrynosoma
Shortening of neck best fits to,Aquatic lives,Arboreal,Volants,Cursorials
Digits are reduced or absent in,Saltatorial animals,Scansorial animals,Cursorial animals,Volants
Presence of highly mobile neck is a feature of,Birds,Snakes,Primates,Lizards
Which of the following animals has both lungs and gills for respiration,Frog,Seahorse,Pilia,Exococetus
Bone marrow does not occur in,Fishes,Amphibian,Birds,Reptiles
Presence of fifth limb is a feture of,Chameleon,Kangaroo,Wall lizard,Ostrich
Ostrich and kiwi birds are adpted to,Aquatic adaptation,Cursorial adaptation,Areial or volant adaptation,Fossorial adaptation
Flightless birds are,Aerial,Volant,Both a & b,Cursorail
"The tail is a balancing organ and longer, sole or digit lamallae and bone or hip girdle is broad in",Desert animals,Areial animals,Arboreal animals,Cursorial animals
In vertebrates limb is pentadactyl but reduces to one or two and digit ends in hoof in,Desert adaptation,Aerial animals,Arboreal animals,Cursorials animals
Richest blood in the animal kingdom is found in,Mammals,Birds,Reptiles,Amphibia
Some reptiles show autonomy which means,Voluntary breaking tail to confuse enemy,Signal for charging,Signal for courtship,State for starvation prior to death
Ovary is absent in,Tadpole,Pigeon,Horse,Squirrel
Which of the ovary is absent in birda,Right ovary,Left ovary,Both,None
Which is not an aerial adaptation of birds,Gizzard,Single ovary,Pneumatic bone,Keeled sternum
Which of the following is adaptional features of birds,Forelimbs modified into wings,Absence of right ovary,Absence of urinary bladder,All
Urinary bladder in birds is absent because,Disturbs equilibrium of birds,Uric is absent,Solid excretory product,All of them
Air sacs of birds,Keep body warm,Facilitate blood circulation,Maintain body temperature,Reduce body weight
Primary locomotory organs of aquatic animals i.e. fishes are,Fins,Lateral undulations of body,Swim bladder,All of the above
Swim bladder are found in fishes which are,Hydrostatic in function,Homologous to lungs of terrestrial animals,Helpful in floatation,All
Primary respiratory organs in fishes is,Lungs,Gils,Swim bladder,skin
Turtles show,Primary aquatic adaptation,Secondary aquatic adaptation,Tertiary aquatic adaptation,Terrestrial adaptation
Secondary aquatic adapted animals are,Lung breather,Gill breather,Skin breather,None
Secondary adapted animals are,Penguins,Whales,Sea cow,All
In cursorial animals,Forelimbs are more developed then hidlimbs,Hindlimbs are more developed than forelimbs,Pectoral girdle are more developed than pelvic girdle,Both the limbs are equally developed
Strong pectoral girdle and wide pelvic girdle are characteristics of,Running animals,Climbing animals,Digging animals,Flying animals
Adaptational features of arboreal animlals are,Long and narrow slender body,Strong limbs and girdles,Tail as balancing organs,All of the above
Pectoral girdle is well developed than pelvic girdle in,Cursorial forms,Volant forms,Saltatorial forms,Arboreal forms
Lateral line sense organs are found in,Aquatic lives,Terrestrial lives,Volant lives,Both aquatic and volant lives
Lateral line sense organ possess,Chemo receptor,Galvano receptor,Rheo receptor,Photo receptor
Afish capable of gliding is,Anabas,Draco,Exocoetus,Rhacophorus
Rhacophorus is also known as,Flying frog,Tree frog,Flying lizard,Flying fish
Climbing fish or arboreal fish is,Draco,Anabas,Hyla,Exocoetus
"Hyla, also known as tree frog is adapted for",Swimming in water,Climbing,Jumping on land,Flying
The only mammal adapted for true flight,Kangaroo,Squirrel,Bats,Vulture
Adaptation of a species is its,Acquired character,Ecdysis,Hereditary character,Metamorphosis
