question,answer,wrong1,wrong2,wrong3
". Inspite of interspecific competition in nature, which mechanism the competing species might have evolved for their survival?",Resource partitioning,Competitive release,Mutualism,Predation
"During the purification process for recombinant DNA technology, addition of chilled ethanol precipitates out :",DNA,RNA,Histones,Polysaccharides
"The term used for transfer of pollen grains from anthers of one plant to stigma of a different plant which, during pollination, brings genetically different types of pollen grains to stigma, is :",Xenogamy,Geitonogamy,Chasmogamy,Cleistogamy
Gemmae are present in,Some Liverworts,Mosses,Pteridophytes,Some Gymnosperms
Which of the following stages of meiosis involves division of centromere?,Anaphase II,Metaphase I,Metaphase II,Telophase II
"The production of gametes by the parents, formation of zygotes, the F1 and F2 plants, can be understood from a diagram called :",Punnett square,Bullet square,Punch square,Net square
Which of the following is a correct sequence of steps in a PCR (Polymerase Chain Reaction)?,"Denaturation, Annealing, Extension","Denaturation, Extension, Annealing","Extension, Denaturation, Annealing","Annealing, Denaturation, Extension"
Genera like Selaginella and Salvinia produce two kinds of spores. Such plants are known as:,Heterosporous,Hmosorus,Heterosorus,Homosporous
Plants follow different pathways in response to environment or phases of life to form different kinds of structures. This ability is called,Plasticity,Elasticity,Flexibility,Maturity
. Which of the following are not secondary metabolites in plants?,"Amino acids, glucose","Morphine, codeine","Vinblastin, curcumin","Rubber, gums"
"When the centromere is situated in the middle of two equal arms of chromosomes, the chromosome is referred as :",Metacentric,Telocentric,Sub-metacentric,Acrocentric
"When gene targetting involving gene amplification is attempted in an individual's tissue to treat disease, it is known as :",Gene therapy,Biopiracy,Molecular diagnosis,Safety testing
Which of the following plants is monoecious?,Chara,Carica papaya,Marchantia polymorpha,Cycas circinalis
Which of the following is not an application of PCR (Polymerase Chain Reaction)?,Purification of isolated protein,Molecular diagnosis,Gene amplification,Detection of gene mutation
Diadelphous stamens are found in,(3) Pea,China rose,Citrus,China rose and citrus
