question,answer,wrong1,wrong2,wrong3
Name the type of Tissue that form gland,Epithelial,Muscular,Squamous,Cuboidal
Simple epithelium is,One cells thick,Two cells thick,Two or three cells thick,All are correct
"The cell junction called tight, adhering and gap junctions are found in",Epithelial tissue,Muscular tissue,Connective tissue,Neural tissue
In Which one of the following preparations are you likely to come across cell junctions Most frequently?,Ciliated epithelium,Thrombocytes,Tendon,Hyaline cartilage
"The secretion of tears, milk. Sweat and oil are functions of which of the following tissues",Epithelial,Nervous,Loose connective,Lymphoid
The internal lining of blood vessel is,Endothelium,Mesothelium,Pavement epithelium,Stratified epithelium
Cells of squamous epithelium are,Flat and tile like,Tall with elongated nuclei,Cube like,Coulmnar or cuboidal in shape
Cells of germinal epithelium ar,Cuboidal,Columnar,Glandular,Ciliated
Keratinised stratified squamous epithelium is found in,Epidermis,Trachae,Lining of blood vessel,Mouth cavity
Stereocilia occur in,Pseudostratified Coulmnar epithelium of epidydmis,Pseudo stratified Coulmnar epithelium of trachae,Coulmnar epithelium of stomach,Startified columnar epithelium of pharynx
