question,answer,wrong1,wrong2,wrong3
The study of development of ovary is known as:,Embryology,Oogenesis,Neurology,Endocrinology
The egg cell of humans is:,Alecithal,Microlecithal,Macrolecithal,Telolecithal
Graffian follicles are characteristically found in:,Ovary of mammal,Ovary of frog,Testes of mammal,Thyroid of mammal
Mullerian duct is found in the development of:,Female reproductive system,Respiratory system,Liver,Kidney
The mature follicle is called as:,Theca granulosa,Mesorchium,Zona radiata,Ovigerous lamella
Ovary is suspended from the dorsal body wall by:,Mesovarium,Mesorchium,Mesometrium,Mediastinum
The placenta in mammal is formed by:,Chorion,Allantois,Yolk sac,Amnion
"In most of the cases, fertilisation takes place in:",Falllopian tube,Uterus,Cervix,Ovary
"Usually, ovulation takes place in:",14 days,28 days,27 days,8days
Corpus luteum secrets:,All,Relaxin,Inhibin,Progesterone
Falllopian tube is lined by:,Ciliated columnar epithelium,Simple sqamous epithelium,Simple cuboidal epithelium,Simple columnar epithelium
Bleeding phase is the period between:,1-4 days,5-13 days,14 days,14-28 days
The developement of zygote in ampulla of fallopina tube referred as:,Ectopic pregnancy,Normal pregnancy,Lueteal phase,None
Inflammation of fallopina tube is:,Salphingitis,Oophoritis,Oophorectomy,Salphingectomy
The descent of uterus due to weak support of ligament is known as:,Uterine prolapse,Angina pectoris,Hysterectomy,None
Cervical cancer is caused by:,Human papiloma virus,Influenza virus,Parvo virus,Reo virus
Lactobacillus acidophilus bacteria is present in:,Vagina,Ovary,Uterus,Falllopian tube
Vagina is lined by:,Stratified non-keratinised squamous epithelium,Simple columnar epithelium,Simple cuboidal epithelium,Stratified keratinised squamous epithelium
Vulva consists of all the following except:,Greater vestibular gland,Labia majora and minora,Clitoris,Vestibule
The cleft between two labia minora is:,Vestibule,Vagina,Clitoris,Mono pubis
Cortical granules are associated with:,Fertilization,Oogenesis,Spermatogenesis,Cleavage
Double uterus is found in:,Marsupials,Whale,Elephant,Human
Release of seminal fluid in the vagina is:,Insemination,Ejaculation,Implantation,Copulation
Onset of menstruation is due to:,Fall in level of progesterone,Increase in level of progesterone,Increase in FSH level,None
Antrum is the cavity of:,Graffian follicle,Ovary,Blastula,Gastrula
The number of polar bodies during oo genesis in ovary is:,3,4,2,1
"At menopause, there is rise in urinary secretion of:",FSH,STH,LTH,MSH
Number of eggs released by women in her lifetime is approximately:,400,40,4000,40000
"In oogenesis, divisions are mitotic except during the formation of:",First polar body,Oogonia,Primary oocytes,Second polar body
The sign of virginity in female is:,Hymen,Clitoris,Barolins gland,Hilum
Bartholins gland in female corresponds to which glands of male?,Cowpers gland,Prostate gland,Coagulating gland,Inguinal canal
The ge station period of human beings is:,280 days,300 days,265 days,240 days
Identical twins are formed by the fusion of:,One sperm and one ovum,Two sperms and two ovum,One sperm and two ova,Two sperms and ine ovum
Normally placenta is impermeable to:,Antigens,Proteins,Virus,Drugs
Which one is primary sex organ of male?,Testis,Penis,Scrotum,Prostate
The testis of mammals are covered with a thick layer of connective tissue known as:,Tunica albuginea,Gubernaculum,Zona pellucida,Corona radiata
Gland penis is covered by fold of skin known as:,Both a and b,Prepuce,Foreskin,Tunica albuginea
Circumcision commonly practice in:,Muslim community,Hindu community,Buddhist community,Kirat community
Seminal fluid is composed of:,All,Frutose,Prostaglandin,Citrate
Pro static fluid is :,Acidic in nature,Alkaline in nature,Both,None
pH of semen is:,Alkaline,Acidic,Neutral,None
Volume of sperm per ejaculatuon is:,3 ml,300ml,3mm/min,None
A structure acrosome in sperm is derived from:,Golgi body,Mitochondria,Ribosome,ER
The abdominal passage which connects the abdominal cavity with the scrotal sac is known as:,Inguinal canal,Spermatic canal,Neurentic canal,Haversian canal
Impotence in male is analogous with....in female:,Frigidity,Infertility,Sterility,Nymphomania
Sperms are stored in:,Epididymis,Sccrotum,Testes,Cowper's gland
Middle piece of sperm contains:,Mitochondria,Mitochondria and golgi body,Centriole and golgi body,Axial filament and golgi body
How many secondary spermatocytes are required to form 400 spermatozoa?,200,40,400,100
Sertoli cells are found in test is and these cells are:,Nurse cells,Reproductive cells,Receptors cells,Effector cells
