question,answer,wrong1,wrong2,wrong3
The vascular cambium normally gives rise to?,Secondary xylem,Primary phloem,Periderm,Phelloderm
Root hair develop from the region of:,Maturation,Elongation,Root cap,Meristematic activity
Identify the wrong statement in context of heartwood ?,It conducts water and minerals efficiency,It is highly durable,It compress of dead elements with highly lignified walls,Organic compounds are deposited in it
The balloon shaped structure are called tyloses which?,Are extensions of xylem parenchyma cells into vessels,Originate in the lumen of vessels,Characterise the sapwood,Are linked to ascent of sap through xylem vessels
Vascular bunldes in monocot are considered close because?,Cambium is absent,There are no vessels with perforations,Xlem is surrounded all round by phloem,A bundle sheath surrounds each bundle
Tracheid's differ from other treachery elements in?,Being imperforate,Having casperian strips,Lacking nucleus,Being lignified
Gymnosperms are also called soft wood spermatophytes because they lack?,Xylem fibers,Cambium,Phloem fibers,Thick-walled tracheid's
Water containing cavities are found in vascular bundles of?,Maize,Sunflower,Cycas,Pinus
Companion cells are closely associated with?,Sieve elements,Vessel elements,Trichomes,Guard cells
"The cork cambium, cork and secondary cortex are collectively called?",Periderm,Phelloderm,Phellogen,Phellem
Ground tissue include?,All tissues except epidermis and vascular bundles,All tissues external to endodermis,Epidermis and cortex,All tissues internal to endodermis
A few drops of sap were collected by cutting across a plant stem by suitable methods. The sap was tested chemically. Which one of the following test results indicated that it is phleom sap?,Alkaline,Absence of sugar,Acidic,Low refractive index
Trees at sea do not have annual rings because?,There is no marked climatic variation,Soil is sandy and salty,There is climate variation,There is enough moisture in the atmosphere
The quiescent centre in root meristem is serving as a:,Reserve for replacement of damaged cells of meristem,"Site for storage of food, which is utilized during maturation",Reservoir of growth hormones,Region for absorption of water
Function of companion cells?,Loading of sucrose into sieve elements,Providing energy to sieve elements for active transport,Providing water to phloem,Loading of sucrose into sieve elements by passive transport
Heart differs from sapwood in?,Having dead and non-conducting elements,Presence of rays and fibers,Absence of vessels and parenchyma,Being susceptible to pets and pathogens
Which one of the following is not a lateral meristem?,Intercalary meristem,Intrafasicular cambium,Interfasicular cambium,Phelloem
Transport of food material in higher plants takes place through?,Seive elements,Campanion cells,Transfusion tissue,Tracheids
Palisade parenchyma is absent in leaves of:,Sorghum,Mustard,Soybean,Gram
"For a critical study of secondary growth in plants, which one of the following pairs is suitable?",Teak and pine,Deodar and Fern,Wheat and Maiden hair fern,Sugarcane and sunflower
A common structural feature of vessel elements and sieve tube elements is?,Enucleate condition,Thick secondary walls,Pores on lateral walls,Presence of p-protein
Chlorenchyma is known to develop in the?,Spore capsule of a moss,Cytoplasm of chlorella,Mycelium of a green mould such as Aspergillus,Pollen tube of pinus
The cells of quiescent centre are characterized by?,Having light cytoplasm and small nuclei,Having dense cytoplasm and prominent nuclei,Dividing regularly to add to tunica,Dividing regularly to add to carpus
Which of the following statements is true?,Tracheids are unicellular with wide lumen,Vessels are multicellular with wide lumen,Tracheids are multicellular with narrow lumen,Vessels are unicellular with narrow lumen
Four radial vascular bundle are found in?,Dicot root,Monocot root,Dicot stem,Monocot stem
Casparian strips are found in?,Endodermis,Epidermis,Hypodermis,Periderm
What happens when plants undergoes vascularization?,Differentiation of procambium followed by the formation of primary phloem and xylem simulatneously,"Differentiation of procambium, formation of primary phloem followed by formation of primary xylem","Formation of procambium, primary phloem and xylem simultaneously",Differentiation of procambium followed by formation of secondary xylem
"At maturity, which of the following is non-nucleated?",Sieve cell,Palisade cell,Cortical cell,Companion cell
Abnormal secondary growth occurs in:,Dracaena,Ginger,Wheat,Sunflower
Bordered pita are found in:,Vessel wall,Sieve cells,Companion cells,Sieve tube cell
For union of stock and scion in grafting  which one is first to occur ?,Formation of callus,Production of plasmodesmata,Differentiation of new vascular tissue,Regeneration of cortex and epidermis
"A nail is driven into trunk of a 30 year old tree at a point 1 meter above soil level. The tree grows in height at the rate of 0.5 meters a year. After 3 year, the nail will be?",1 m above soil,1.5 m above soil,2.5 m above soil,3m above soil
"If there is more than 1 tunica layer in a stem apex, which among the following is likely to happen?",Only outer layer will develop into the epidermal cells,All the layers will develop into epidermal cells,All the layers will develop into cortex,Inner layer develop into cortex
"Out of diffuse porous and ring porous woods, which is correct?",Ring porous wood carries more water when need is higher,Ring Porous wood carries more water for short period,Diffuse porous wood carries more water,Diffuse porous wood is less specialized but conducts water rapidly throughout
Sieve tubes are suited for trans location of food because they possess?,Broader lumen and perforated cross walls,Bordered pits,No end walls,No protoplasm
Death of protoplasm is a pre-requisite for a vital function like?,Transport of sap,Transport of food,Absorption of water,Adsorption of water and gaseous exchange
Death of protoplasm is a pre-requisite for a vital function like?,Transport of sap,Transport of food,Absorption of water,Adsorption of water and gaseous exchange
Functional xylem of dicot tree is?,Sap wood,Hard wood,Heart wood,Autumn wood
Which one will decay faster if exposed freely?,Soft wood,Heart wood,Sap wood,Wood with lots of fibers
The pores present in walls of plant stem is called?,Lenticles,Bark,Dolipore,All
Heart wood or duramen is?,Inner region of secondary xylem,Outer region of secondary xylem,Outer region of secondary phloem,Inner region of secondary phloem
One cannot age a tree by its rings if that tree is located in which of the following forests?,Tropical evergreen,Tropical deciduous,Temperate deciduous,Temperate evergreen
Commercial cork is obtained from?,Oak,Mango,Ficusreligiosa,Pinus
In the following how the sap wood is converted into heart wood?,All,By degeneration of protoplasm of living cells,Tylosis formation,By deposition of resins oils gums
"In summer, cambium ?",Is not active,Dies,Is more active,Is less active
The waxy substance associated with cell walls of cork cells is or cork are impervious to water because of the presence or what is deposited on cork cells?,Suberin,Cutin,Lignin,Hemi cellulose
