question,answer,wrong1,wrong2,wrong3
The basic physiological unit of the nervous system is,Action potential,Neuron,Astrocyte,Ependymal cells
The basic anatomical unit of the nervous system is,Neuron,Oligodendrocyte,Astrocyte,Ependymal cells
Constriction at intervals in a nerve fiber is called,Nodes of Ranveir,Nodes of Schwan,Schwann cells,Nisil's granules
Saltatory conduction occurs in,Myelinated fibres,Thin nerve fibres,Thick nerve fibres,Non-myelinated fibres
Node of Raniver occurs where,Myelin sheath is discontinuous,The nerve is covered by the myelin sheath,Neurilemma is discontinuous,The Neurilemma of the myelin sheath is discontinuous
Myelin Sheath in the central nervous system is secreted by,Oligodendrocytes,Schwann cells,Ependymal cells,Astrocytes
A bipolar neuron has,"One axon, one dendrite","One dendrite, two axons","One axon, two dendrites","Two dendrons, two axons"
A polarized neuron is,At resting potential,Conducting stimulus,Having action potential,None
"At the resting stage, nerve cell has",High K+ inside and high Na+ outside,Low K+ outside and high Na+ inside,High K+ inside and low Na+ outside,High K+ outside and high Na+ inside
The resting potential of a nerve cell is,- 70 mV,- 90 V,60 V,120 mV
The total change in potential on applying a stimulus to a neuron is called,Apike potential,Resting potential,Action potential,Both a & b
