question,answer,wrong1,wrong2,wrong3
Bacteria have been put in the kingdom monera because they are,Prokaryotic,Mesokaryotic,Eukaryotic,None
The chief components of a bacterial cell wall are,Amino acids and polysaccharides,Cellulose and chitin,Cellulose and pectin,Cellulose and carbohydrates
Bacterial nucleiod consists of,one ds-DNA,One ss-DNA,Two ds-DNA,Many ds-DNA
Plasmids are,Extra nuclear genetic material of bacteria,Virus,A part of Mycoplasma,Genetic material of plants
Plasmids which can get temporarily associated with nucleoids are known as,Episome,Nucleoid,Plasma nucleoid,Nucleosome
The nuclear material in bacterial cell is called,All,Nucleoid,Genophore,Chromatin body
The bacteria which grow best as aerobes in oxygen but can grow without oxygyen aslo are,Faculttive anaerobes,Facultative aerobes,Obligate aerobes,Obligate anaerobes
Folds of plasma membrane in bacteria cells are known as,Mesosomes,Episomes,Sphaerosomes,Acrosomes
In bacteria site of respiration is,Mesosome,Cytoplasm,Mitochondria,Pilli
The function of mesosome is,Both a and b,Respiration,Equal distribution of genetic maaterial,None
Bacteria which are smallest in size are,Cocci,vibrio,Bacilli,Spirilla
What is the general shape of the bacteria?,Rod shaped,Spherical,Spiral,Comma
Curved or comma shaped bacterium of cholera is termed,Vibrio,Coccus,Bacillus,Spirillum
Gram +ve bacteria have,All,Thick and homogenous cell walls,As much as 80% peptidoglycan molecules,Either no lipids or less than 20% lipids
The gram +ve bacteria,Lack pilli,Have thin cell wall,Do not retain colour,Are resistant to lysozyme
Pasteurization of milk occurs at,62.8°C for 30min,61.8°C for 20min,62.8°C for 1 hour,None
Pilli are essentially present in,Gram -ve bacteria,Gram +ve bacteria,Both,None
Common bacteria used in genetic engineering is,E.coli,Diplococcus,Rhizobium,Spirillum
Main source of antibiotics is which bacteria?,Streptomyces,Bacillus,Clostridium,Rhizobium
Archaebacteria are considered to be the ancient bacteria because they are,Able to survive in extreme conditions,Autotrophs,Heterotrophs,Unicellular
The flagella of bacteria is made up of,Protein,Amines,Lipids,Carbohydrates
The outermost limiting layer of mycoplasma is made up of,Cell membrane,Cell wall,Mucilaginous sheath,Slime layer
Bacteria cannot survive in salted prickles as,They get plasmolysed and killed,They do not get light for respiration,Salts inhibit reproduction,The pickles do not contain necessary nutrients for bacteria
Mycoplasma is not inhibited by penicillin as it lacks,Cell wall,Sexual reproduction,Ribosomes,Nucleus
The bacterial protoplasm is granular due to the presence of,Ribosomes,ER,Lysosomes,None
Some diseases caused by bacteria are,"Tetanus, typhoid, tuberculosis","Measles, Mumps, malaria","Smallpox, sleeping sickness, syphilis","Pneumonia, poliomyelitis, psittacosis"
Bacteria lacks,Mitochondria,Cell wall,Plasma membrane,Ribosomes
