question,answer,wrong1,wrong2,wrong3
"In the reaction, NH3 + H2O → \(NH4^{+} + OH^{-}\) which of the following constitutes conjugate acid-base pair?",H2O and \(OH^{-}\),NH3 and H2O,\(NH4^{+} and OH^{-}\),NH3 and \(OH^{-}\)
"According to Bronsted Lowry concept, an acid is said to be strong if",Conjugate base is weak,Conjugate base is strong,Conjugate base doesn't exist,None of above
Which of the following is strongest conjugate base?,\(CH3COO^{-}\),\(NO3^{-}\),\(SO4^{--}\),\(Cl^{-}\)
Alum is,Double salt,Mixed salt,Common salt,Potash salt
Water has pH = 7. A salt is added to it even through the pH of solution remains same. The salt is made up of,Strong acid + strong base,Strong acid + weak base,Strong base + weak acid,Weak acid + weak base
"In the following equilibrium: HCI + H2O →  \(H3O^{+} and  Cl^{-}\)  ,H2O is base according to",Bronsted-Lowery concept,Classical concept,Arrhenius concept,Lewis concept
"According to Arrhenius, acids are",Compounds which give hydrogen ion,proton acceptors,Proton donor,Compounds which give hydroxyl ion
"According to Lewis concept, an acid is a substance which",accepts a lone pair of electrons,accepts proton,donates proton,donates a lone pair of electrons
BF3 molecule is.,Lewis acid,Lewis base,Neutral salt,None of these
Water is a,amphiprotic solvent,protophobic solvent,protophilic solvent,aprotic solvent
Which of the following is not a protonic acid?,B(OH)3,PO(OH)3,SO(OH)2,SO2(OH)2
According to Lewis concept which one of the following is not a base?,\(Ag^{+}\),\(OH^{-}\),H2O,NH3
An example of Lewis acid is,AICI3,PCI3,NCI3,CCI4
"In the reaction SnCl₂ + \(2Cl^{-}\)

→ SnCl4 , Lewis acid is",SnCl2,\(Cl^{-}\),SnCl4,None of the three
\(Cl^{-}\) is a conjugate base of which acid?,HCI,HOCI,HCIO3,\(H3O^{+}\)
The conjugate acid of \(H2PO4^{-}\) is,H3PO4,\(H2PO4^{-}\),\(PO4^{3-}\),\(H3O^{+}\)
The conjugate acid of \(HPO4^{2-}\) is,\(H2PO4^{-}\),\(PO4^{3-}\),H3PO4,H3PO3
"Ammonia gas dissolves in water to give NH4OH. In this reaction, water acts as",An acid,A base,A salt,A conjugate base
Which of the following species is an acid and also a conjugate base of another acid?,\(HSO4^{-}\),H2SO4,\(OH^{-}\),\(H3O^{+}\)
Which of the following is the strongest acid?,H2SO4,H3PO4,HNO2,CH3COOH
"With reference to pro tonic acids, which of the following statements is correct?",PH3 is less basic than NH3,PH3 is more basic than NH3,PH3 is equally basic as NH3,PH3 is amphoteric while NH3 is basic
Which of the following has highest proton affinity?,NH3,H2O,H2S,PH3
The strongest Lewis base among the following is,\(CH3^{-}\),\(F^{-}\),\(NH2^{-}\),\(OH^{-}\)
The strongest Bronsted base in the following anion is,\(ClO^{-}\),\(ClO2^{-}\),\(ClO3^{-}\),\(ClO4^{-}\)
Boron compounds behave as Lewis acid because of their,electron deficiency,acidic nature,covalent nature,ionization property
Ionization of HCl in water results in the formation of,\(H3O^{+}\) ion and \(Cl^{-}\) ion,\(H^{+} ion \) and \(Cl^{-} ion\),"\(H^{+}\) ion, \(OH^{-}\) ion and \(Cl^{-}\) ion",\(HCIO^{-}\) ion
Conjugate base of \(HCO3^{-}\) is,\(CO3^{2-}\),H2CO3,H2O,CO2
Which of the following is the weakest base?,Zn(OH)2,NaOH,Ca(OH)2,KOH
Which of the following is the strongest acid?,CIO3(OH),CIO2(OH),SO(OH)2,SO2(OH)2
Which of the following is the strongest acid?,HCIO4,HCIO2,HCIO3,HCIO
Which is the strongest base among the following?,KOH,Mg(OH)2,Al(OH)3,NaOH
"In the reaction I2 + \(I^{-}\)→\(I3^{-}\), the Lewis base is",\(I^{-}\),I2,\(I3^{-}\),None of these
Which of the following can act both as Bronsted acid and a Bronsted base?,\(HCO3^{-}\),Na2CO3,\(OH^{-}\),NH3
BF3 is acid according to,Lewis,Arrhenius,Bronsted and Lowry,All of these
"When rain is accompanied by a thunderstorm, the collected rain water will have pH value",slightly lower than that of rain water without thunderstorm,slightly higher than that when the thunderstorm is not there,uninfluenced by occurence of thunderstorm,depending upon the amount of dust in air
Which one is not a Lewis acid?,SnCl4,BeF2,AICI3,BF3
"For every diprotic acid of the type H2X , which of the following is true?",Ka2 < Ka1,Ka1 < Ka2,Ka1 = Ka2,Data is insufficient
