question,answer,wrong1,wrong2,wrong3
Which of the following is correct for the partial pressure of oxygen in alveoli?,more than the blood,less than carbon dioxide,less than the blood,equal to that of the blood
Covering of the lungs is called :,Pleura,Pericardium,Peri chondrium,peritoneum
"What is the location of the respiratory centre, which regulates respiration?",Medulla oblongata,Cerebral Peduncle,Vagus Nerve,Cerebellum
Which is the correct sequence of air passage during inhalation?,Nostrils → pharynx → larynx → trachea → alveoli,Nostrils → larynx → pharynx → trachea → lungs,Nasal passage → trachea → pharynx → larynx → alveoli,larynx → nostrils → pharynx → lungs
Anaerobic respiration in our body muscle produces,Lactic acid and energy,Oxygen and water,Formic acid and energy,Alcohol
Which of the following aquatic animals does NOT have gills?,Whale,Octopus,Squid,Clown fish
Which part of the Human lungs provide surface for the exchange of gases?,Alveoli,Diaphragm,Bronchioles,Bronchi
"During the ________ process, heat energy is formed.",Respiration,Circulation,Excretion,Digestion
"In the process of aerobic respiration, the final product is -",CO2 + H2O,O2+H2O,Lactic acid,None of the above
Lungs are enclosed in,pleural membrane,perichondrium,pericardium,peritoneum
"In Earthworms, the process of respiration is through ________.",Skin,Head,Lungs,Pores on its anterior end
The windpipe is also called the ________.,Trachea,Larynx,Lungs,Oesophagus
"In Aves, the exchange of gases occurs within the __________.",Lungs,Air sacs,Air sacs and Lungs,None of the above
Which of the following is the function of the trachea?,Filters the air we breathe,Gaseous Exchange,Exhales the air from the body,All of the above
Which one of the following is correct regarding larynx?,All of the above,It houses the vocal cords,It prevents the invading pathogens into the trachea,It is an organ made of cartilage and connects the pharynx to the trachea
The maximum volume of air contained in the lung by a full forced inhalation is called _________.,Total lung capacity,Tidal volume,Vital capacity,Ventilation rate
Which one of the following statements is false about the trachea?,None of the above,Has C-shaped rings,It is covered by epiglottis,It splits into the right and left lungs
The total number of alveoli present in the human lungs is estimated to be around ______.,500 million,1 billion,800 million,1500 million
Which of the following functions by filtering and keeping the mucus and dirt away from our lungs?,Cilia,Bronchioles,Hairs in the lungs,All of the above
Respiratory system is derived from,Endoderm,Ectoderm,Mesoderm,All of the above
