question,answer,wrong1,wrong2,wrong3
The graph plotted between acceleration and displacement in SHM will be a,straight line,Hyperbolic,parabolic.,Eclipse
Two bobs are simultaneously executed in S.H.M. The resultant amplitude of system is maximum if they have phase difference of,2π,π/2,π,π/4
The time period of simple pendulum is given by,\(T= 2π\sqrt{\frac{l}{g}}\),\(T= \frac{1}{2π}\sqrt{\frac{l}{g}}\),\(T= \frac{1}{2π}\sqrt{\frac{g}{l}}\),None
The SHM of a particle is given by an equation\( y =3 sin ωt + 4 cos ωt\). The amplitude is a =,5,7,1,12
Kinetic energy of a particle in SHM when its displacement is 1/3 of its amplitude is,\((1/2)mω^2r^2cos^2ωt\),\((1/6)mω^2r^2cos^2ωt\),\((1/18)mω^2r^2cos^2ωt\),\((1/3)mω^2r^2cos^2ωt\)
"If the kinetic energy of a body executing SHM is 1/3 of the potential energy, the displacement of the body is x percent of the amplitude, x must be (nearly)",87,33,50,67
The length of simple pendulum is given as 'I' then the value of g will be,\(4π^2l/T^2\),\(4π^2l/T\),\(2π^2l^2/T^2\),\(4π^2lT\)
"In a body executing SHM, in the mean position",Both (a) and (b),No force acts on the body,The velocity of the body becomes size maximum,None
"For a particle executing SHM, the KE is given by\(K= Kocos^2ωt\). The maximum value of PE is",Ko,0,Ko/2,2Ko
"A simple pendulum has a time period T1 when on earth's surface, and T2 when taken to a height 'R' above the earth surface, (where R is the radius of the earth) then the value of T2/T1 is",2,4,\(\sqrt{2}\),1
The time period of simple pendulum is double when,Length is increases by 4 times.,Length is increases by 2 times,Mass is increases by 2 times,Length is reduced to half.
The pendulum stops due to,Air friction,Gravity,lack of energy,Its mass
"In S.H.M, minimum particle velocity is at",Extreme position,Mean position,At a distance A/2,At a distance A/4
"A hollow sphere is filled with water through a small hole in it. It is hung by a thin thread and made to oscillate. As the water slowly flows out of the hole at the bottom, the period of oscillation will",first increases and then decrease,first decrease and increases,continuously increases,continuously decrease
A pendulum clock keeping correct time is taken to high altitudes,. its length should be decreased to keep correct time,It will keep correct time,its length should be increased to keep correct time.,it will not keep correct time even if its length is changed.
"If the period of oscillation of mass M suspended from a spring is 1s, then the period of the oscillation of mass 4 m will be",2 sec,1/2 sec,1/4 sec,4 sec
The differential equation of S.H.M. is given by \(\frac{d^2y}{dt^2}+100y=0\) .The frequency of motion is,10/2π,1,10,100/2π
The time period of a simple pendulum is doubled when,the length is made four times,its length is doubled,mass of bob is doubled,the mass of bob and length of pendulum are doubled
"A pendulum suspended from. the ceiling of a train has a period T when the train is at rest. When the train accelerates with a uniform acceleration a, the period of oscillation will:",decrease,increase,remains unaffected,becomes infinite
The maximum acceleration of a executing S.H.M. is ao and maximum velocity is vo. The amplitude is given,\(vo^2/ao\),\(vo.ao\),\(ao^2/vo\),\(1/ao.vo\)
The mass and diameter of a planet are twice those of earth. The period of oscillation of the pendulum on this planet will be (if it is a second pendulum on earth),\(2\sqrt{2} sec\),\(\frac{1}{\sqrt{2}} sec\),2 sec,1/2 sec
The time period of seconds pendulum is 2 sec. The spherical bob which is empty from inside has a mass 50g. This is now replaced by another solid bob of same radius but having a different mass of 100g. The new time period will be,2 sec,4 sec,1 sec,8 sec
The vertical extension in a light spring by weight of 1kg suspended from the wire is 9.8 cm. The period of oscillation is,2π/10 sec,20π sec,2π sec,200π sec
A particle is vibrating simple harmonically with an amplitude 'a'. The displacement of the particle when its energy is half kinetic and half potential is,\(a/\sqrt{2}\),a/2,a/4,zero
"A simple pendulum with a bob mass m swing with an angular amplitude of 40°. When its angular displacement is 20°, the tension in the string is:",greater than mgcos20°,mgcos20°,less than mgcos20°,mgcos40°
