question,answer,wrong1,wrong2,wrong3
The phylum name Molluscam means,Soft bodied animals,Shelled animals,Aquatic animals,Mantle bearers
Molluscans possesses,Schlzocoel,Pseudocoel,Enterocoel,No coelom
"In molluscs,blastopore gives rise to",Mouth,Anus,Both mouth as well as anus,None
Mollusca carry out oxygen transportation,Haemocyanin,Haemoerythrin,Haemoglobin,None
Haemocyanin the blue colouring pigment of molluscan blood contains,Copper,Iron,Magnesium,Manganese
Most molluscans are,Marine,Freshwater,Terrestial,None
A file-like rasping organ for feeding in mollusca is,Radula,Mantle,Dental plate,Osphradium
Heart of Mollusc is,Myogenic,Neurogenic,Neuro-myogenic,Transitional
Ctenidia in molluscs are,Respiratory organs,Excreatory organs,Protective organs,Reproductive organs
Excretory structures in mollusca is,Organ of Bojanus,Osphradium,johnston organ,Mantle
Kidneys of mollusca are,Metanephric,Pronephric,Mesonephric,None
"A mollusca, differs from others by:",Mantle and shell,Segmented body and shell,Mantle and gill,Segmented body and mantle
A mollusca which used as currency is:,Cypraea,Turbinella,Dentalium,Pila
"In mollusca, the cell is secreted by:",Mantle,Ctenidium,Operculum,Foot
Which of the following is a molluscan  larva?,Veliger,Bipinnaria,Parenchymula,Auricularia
Most primitive among the following mollusc is:,Neopilina,Nautilus,Chiton,Patella
Neopilina is a connecting link between:,Annelida ans Mollusca,Arthropoda ans Mollusca,Mollusca and Echinodermata,Mollusca and Helminthes
Locomotion in mollusca takes place with the help of:,Muscular feets,Tentacles,Tube feets,Body legs
Mollusc are classified mainly based on:,Both,Shell,Foot,None
The largest class of mollusca is:,Gastropoda,Pelecypoda,Cephalopoda,Polyplacophora
Which mammalian group is primarily used in pearl industry?,Pelecypoda,Monoplacophora,Cephalopoda,Gastropoda
Pearl is produced in the bivalve belong to the genus:,Pinctada,Pecten,Ostraea,Lamellidens
Pearl is obtained from:,Oyster,Sepia,Starfish,Whale
Neopilina belongs to the class:,Monoplacophora,Aplacophora,Polyplacophora,Gastropoda
Assymetric members of mollusca belong to class:,Gastropoda,Cephalopoda,Monoplacophora,Pelecypoda
Devil fish belongs to:,Cephalopoda,Pelecypoda,Gastropoda,Scahopoda
Which of the following animals is not mollusca?,Cat fish,Cuttlefish,Devil fish,Pila
In Sepia:,Inner shell is found,Shell us absent,A folded shell is found,Outer shell is found
The rasping organ radula is found in:,Pila,Unio,Octopus,Sepia
Which are the exclusive marine molluscs?,Cephalopoda,Gastropoda,Bivalvia,Univalvia
A mollusc without a shell is,Octopus,Pila,Sepia,Unio
Largest invertebrates or mollusc is:,Giant squid,Giant clam,Giant shell,Giant octopus
Which of the following has an ink gland?,Cuttle fish,Hydra,Snail,Oyster
Ink glands found in some mollusc are concerned with:,Protection,Excretory,Reproduction,All
An internal shell occurs in:,Both a and b,Sepia,Limax,Pila
Filter feeding occurs in:,Unio,Dentalium,Pila,Amoeba
The elephant tusk shell is:,Dentalium,Limax,Cyproaea,Nautilus
Which of the following is not a larval form of mollusca?,Pluteus,Trochophore,Veliger,Glochidium
The father of Pearl industry is:,Mikimoto,Johnston,Lamarck,Rosenhoff
Which of the following is not used in organic farming ?,Snail,Glomus,Earthworm,Oscillatoria
Ammonites are fossil shell remain of:,Cephalopods,Pelecypods,Gastropods,Scaphopods
Which of the following is an amphineuran mollusc?,Chiton,Cliona,Aplysia,Loligo
The intermediate host of Fasciola hepatica falls in which class of Mollusca?,Gastropoda,Scaphopoda,Pelecypoda,Siphonopoda
Filter feeder among them:,Unio,Dentalium,Pila,Amoeba
"In Mollusca, eye is present over a stalk called:",Ommatophore,Osphradium,Ostracum,Operculum
"Member of which of the following phyla exhibit adaptation so widely, varied environmental conditions?",Mollusca,Coelenterata,Porifera,Echinodermata
Largest Mollusca or Largest invertebrate is:,Giant squid,Giant clam,Giant snail,Giant octopus
"In Unio, respiratory organs are:",Ctenidia,Lungs,Pulmonary sac,Trachae
Glochidium is a:,Ectoparasite,Predator,Parasite,Pathogen
The water testing organ in Pila are:,Ospradium,Labial palp,Gill,None
