question,answer,wrong1,wrong2,wrong3
Reaction involving ions of opposite charges is accelerated by solvent of,Low dielectric constant,High dielectric constant,Independent of  dielectric constant,NONE
The SI unit of coefficient of viscosity is,Poiseulle,Poise,Millipoise,Centipoise
"With the risr of temperature,surface tension",Decreases,Increases,remains the same,Becomes zero
Glass is,Supercooled liquid,Crystalline solid,Amorphous solid,Organic Polymer
Which of the following is the unit of viscosity ?,dynes- cm-2 -sec,dynes- cm-sec,dynes-cm2,dynes - cm-1
Which of the following is the unit of surface tension?,dynes.cm-1,dynes.cm,dynes.cm2,dynes.cm-2
"A compund has high intermolecular attraction,then it has",Low vapour pressure,Low boiling point,Low surface tension,Low viscosity
A mixture of two liquids has boiling point lower than either of them. It shows,Positive deviation from Raoult's law,Negative deviation from Raoult's law,No deviation,Forms azeotropic mixture
Which gas can be liquefied more easily?,P2O5,SO2,NH3,Cl2
Surface tension of a liquid arises due to:,Cohesive force,Adtiesive force,Electrical in irigin,Intermolecular
Most viscous is,Glycerol,Water,Glucose,Alcohol
Osmotic pressure is increased by,Increasing temperature,decreasing temperature,increasing volume,decreasing no of moles
Glycerol is mixed with water in automobile engine,To lower freezing point,To facilitate evaporation,To increase viscosity,To heat the engine
The osmotic pressure in atmosphere of 10% solution of cane sugar at 69°C is,8.21,724,824,7.21
"The law stating that ""the relative lowering of vapour pressure is equal to the mole fraction of a solute in the solution"" is known as",Raoult's law,Henry's law,Van't Hoffs law,Ostwald's dilution law
Glass is a:,Supercooled liquid,Microcrystalline solid,Gel,Polymeric mixture
A non-ideal solution may be the mixture of :,Cyclohexane and ethanol,Chlorobenzene and bromobenzene,Ethylbromide and ethliodide,Hexane and heptane
Boiling point of a liquid depends on all of the following factors EXCEPT,Volume of the liquid taken,Viscosity of the liquid,External pressure,Vapour pressure of the liquid
All the macroscopic properties of the system of our daily life :,"Surface tension, Viscosity,Temperature","Molecular Weight,Viscosity ,Temperature","Viscosity ,Surface tension,Atomic weight","Temperature ,Surface tension,Atomic weight"
The pressure at which liquid and vapour exit in equilibrium is,Saturated pressure,Normal pressure,Standard pressure,Limiting pressure
"Ethanol boils at 78.5°C. If 34.2 gm of sucrose (Mw=342) is dissolved in 200 gm of ethanol, at which temperature will the solution boil?(Assume Kb=1.20°C/m for the alcohol)",79.1°C,80.5°C,0.60°C,77.9°C
The increasing vapor pressure caused by heating a liquid is due to,increasing kinetics energy  of molecules,increased intermolecular interactions,increasing potential energy of molecules,decreasing surface tension
The critical temperature of NH3 and N2 are 132°C and -147°C. NH3 can be liquified at room temperature but N2 can't be liquified at room temperature because,Critical temperature of NH3 is greater than critical temperature of N2.,Critical temperature of N2 is greater than ammonia.,N2 can Be liquified at room temperature by applying a pressure.,critical temperature of N2 is much less than room temperature.
The rate of diffusion of methane at given temperature is twice that of gas X. Molecular weight of X is,64,32,16,8
"If the rate of diffusion of hydrogen is 4 times that of given substance then, find the molecular mass of substance.",32,64,16,8
How many times is hydrogen more diffusible than oxygen?,4,2,8,16
The density of ice is 1 g/ml. What is volume of steam produced when 1 ml of ice heated to 596 k at pressure of 1 atm (one mole of water contains 24 l at 298K at STP),2.67,0.267,1.33,48
"four gases Hydrogen, Helium, Oxygen & nitrogen' is maintained at same temperature. Then maximum rms velocity is:",H2,He,O2,N2
