question,answer,wrong1,wrong2,wrong3
"Six different colors are placed in a circle facing the centre. The colors are blue, black, yellow, white, Red and Green. Blue is between Red and Green, Black is adjacent of Red and Yellow. White is adjacent of Green and Yellow. Then which color is in the opposite of blue?",Yellow,Black,White,Green
"Niva, Mina, Sita, Gita, Rita are five friends in circle in clockwise facing at the centre, Sita move to Mina and Mina move to Sita and also Gita move to Rita and Rita move to Gita place then:",Niva is right to Sita,Mina is right to Sita,Gita is second to the left of Sita,Rita is right to Niva
"A and B are brother, C and D are sister. A's son is D's brother. How is B related to C?",Uncle,Father,Brother,Grandfather
"A, B and C are sister. O is the brother of E and E is the daughter of B. How is A related to D?",Aunty,Sister,Cousin,Niece
"101, 105, 109, 113, ..... 18th term:",169,200,269,370
21:3::574:?,82,120,210,20
Choose the number which is difference from other in a group:,63,13,17,23
"Arrange the given words in a meaningful sequence and then choose the most appropriate from the alternatives provided belwo each question:

1. Honey 2. Flower 3. Bee 4. Wax","2,3,1,4","1,3,4,2","1,3,2,1","4,3,1,1"
Find the number opposite to 3:,4,5,6,7
Find the number of triangle,19,16,18,12
what will be correct answer:,11,0,2,13
"If 4 men or 6 days can finish a piece of work in 20 days,  in how many days can 6 men and 11 boys finish it ?",6,4,5,11
60% of a number is 24 less than 3/4th of that number. Find the Number:,160,180,70,80
"A mixture contains alcohol and water in the ratio 3:2 on adding 5 litre of water in it, the quantity of alcohol and water become equal. Find the quantity of alcohol in the given mixture?",15 l,10 l,5 l,20 l
"Robin is 6 times as old as his daughter. Three years ago, his age was 9 times his daughter age at the time. Find the present age of father:",48,84,21,12
"The average age of 34 students in a class is 13 years. If the age of the teacher is also included, the average increase by 1 year. What is the age of teacher?",48 years,84 years,38 years,28 years
In how many different wasys can the letters of the word FORMULATE be arrange?,362880,8100,40320,153420
"If HEALTH is written as GSKZDG, then how will NORTH be written  in that code ?",GSQNM,OPSUI,FRPML,IUSPO
Karun ranks seventh from top and twenty sixth from the bottom in a class. How many students  are there in the class?,32,31,33,34
,A,B,C,D
Find number of triangles,5,10,15,20
The angles of triangles  are in the ratio 1:2:3. The greatest angle of triangle is:,90°,60°,75°,30°
"If due 10% decrease in the price of sugar, Ram can buy 5kg more sugar in Rs 100. Then find actual price of sugar per kg ?",2.2,1.2,2.5,3.2
A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equla length into 10 pieces. He cut at the rate of  cuts a minute. How many rolls would be cut in  minutes?,120 rolls,32 rolls,54 rolls,108 rolls
"What should come next in the following number series?

9 8 7 6 5 4 3 2 1 8 7 6 5 4 3 2 1 7 6 5 4 3 2 1",6,9,8,7
"In a family, each daughter has the same number of brothers as she has sisters and each son has twice as many sisters as he has brothers. How many sons aret here in the family ?",3,2,4,5
,1,2,3,4
Find total Number of squares in above figure:,40,20,60,80
,1,2,3,5
Parliament' is related to 'Great Britain' in the same way as 'Congress' is related to:,USA,Japan,India,Netherland
Find the odd pair of words.,Saturn : Budha,Venus : Shukra,Uranus : Indra,Mars : Mangal
If PEACE is coded as RGCEG then how is MICKY coded in the code?,OKEMA,MOUSE,LHBJX,JDLJZ
"What comes in the place of question mark (?) in the following number series? 7200, 3600, 1200, 300, 60, ?",10,25,15,20
"Vinay is taller than Hanshika, Hanshika is taller than Abhay, Aalok is taller than Ashok and Ashok is taller than Vinay. Who is the shortest in the group?",Abhay,Vinay,Ashok,Hanshika
How many times in 24 hr. the hands of a clock are in straight line but opposite in direction?,22,20,24,48
"A river flows West to East and on the way turns left and goes in a semi – circle round a hillcock, and then turns left at right angle. In which direction is the river finally flowing?",East,West,North,South
"If first number is 10% of third and second number is 20% of third, then what percent is first of second?",50%,40%,60%,100%
If the C.P. of 10 articles is Rs. 5 and the S.P. of 5 article is Rs. 10. Find profit or loss percent.,300%,100%,200%,400%
If a certain sum of money amounts to Rs. 540 in 2 years at 4% p.a. Find the principle.,Rs. 500,Rs. 550,Rs. 400,Rs. 450
A does a work in 10 days and B does the same work in 15 days. In how days they together will do the same work?,6,5,8,9
"Statement: In a one – day cricket match the total runs made by a team were 200, out of which 160 runs were made by spinners. Conclusion: I) 80% of the team consist of spinners. II) The opening batsman were spinners.",None follows,Only I follows,Only II follows,Both follow
Statement: Many historians have done more harm than good by distorting truth. Assumption: I) People believe what is reported by the historians. II) Historians are seldom expected to depict the truth.,Only I is implicit,Only II is implicit,Either I or II is implicit,Both I and II are implicit
,37,33,38,32
,4,1,2,3
,2,1,3,4
,2,1,3,4
,1,2,3,4
,18,16,14,15
,2,1,3,4
,a,b,c,d
"P is twice as fast as Q. And Q is thrice as fast as R. The journey covered, by R in 42 minutes will be covered by P in.",7 minutes,14 minutes,28 minutes,63 minutes
,15 : 10 : 6,2 : 3 : 5,6 : 10 : 15,5 : 3 : 2
,16,6,12,14
,d,a,b,c
,D,F,A,C
,E,A,F,D
"1, 22, 2, 20, 4, 18, 8, 16, 16, 14, …, …","32,12","32,10","24,8","16,10"
,40,19,46,56
,a,b,c,d
Find the total numbers of chords that can be drawn through 16 points on the circumference of a circle.,120,80,100,140
"If a clock is 15 minutes slow for every hour. The clock showed the correct time at 12:00 PM and it currently shows 3 o’clock, what is the real time according to clock inaccuracy?",03:45 PM,02:45 AM,03:00 PM,04:00 PM
"Sanjeev walks 5 km facing towards north, turns left and walk 4 km, he again turns left and walk for 3 km. Then, he turns right and walk for 4 km and finally turns left and walk for 8 km. How far is he now from the starting point?",10km,5km,8km,12km
If VOWEL is coded as OVWLE then the code for MANGO is:,AMNOG,AMONG,NAMGO,GONMA
,3,1,2,4
"10 years, Sambida’s age was four times the age of her daughter. After 10 years Sambida’s age will be double the age of her daughter. What is the present age of her daughter?",20,22,24,26
"The average age of 10 students of a class is 18 years. If one more student join them, now the average becomes 19 years. What is the age of the new student?",29,21,25,31
"Two trains having length of 100 m and 80 m are moving in same direction, with speeds 51 m/s and 42 m/s respectively. In what time will they cross each other?",20 seconds,18 seconds,25 seconds,30 seconds
"A queue of 50 students is made placing all girls at first and then followed by the boys. If Sambridhi is ranked 36th from last and she is at the bottom place from the girls then, what is the number of boys in that queue?",35,14,15,36
,4,3,2,1
