question,answer,wrong1,wrong2,wrong3
Mammalian kidney is:,Metanephric,Mesonephric,Pronephric,None
Retroperitoneal organs are:,All,Kidney,Adrenal glands,Proximal ureters
"In human, right kidney is .....",Slightly lower than left,Slightly upper than left,Left kidney is not present,Very smaller than left kidney
Kidney of rabbit is:,Metanephric,Mesonephric,Pronephric,None
Main excretory organ of human is:,Kidney,Liver,GI tract,Skin
Accessory excretory organs of man are:,"Skin, lungs, liver and intestine",Only skin,Only skin and liver,Only skin and lungs
The gap between two renal pyramid is:,Renal colum of Bertini,Renal papillae,Renal pelvis,Major calyx
Excretion is the process of removal of:,Metabolic waste products,Excess water,Carbon dioxide,Unnecessary and harmful products
Metabolic wastes are:,All,Water,Carbon dioxide,Creatinine
Mictuaration is a process by which urine is:,Released,Retained,Formed,Reabsorbed
Which one of the following is the simplest excretory organ?,Epidermis,Alveoli,Lung,Tubule
The main function of sweat glands of skin:,Excretion,Digestion,Temperature and control,Respiration
Metabolic wastes in man is generally:,"Urea, uric acid and creatine",Urea,Uracil,"Urea, melanin and creatine"
The major excretory organ in rabbit/human is:,Kidney,Skin,Spleen,Liver
Which one of the following is not the excretory organ?,Spleen,Kidneys,Liver,Lungs
The work of kidneys is supplemented by:,Liver,Skin,Heart,Large intestine
Major excretory organ for CO2 removal is:,Lungs,Kidneys,Nephrostomes,Liver
Structural and functional unit of kidney is:,Both a and c,Nephron,Sarcomere,Uriniferous tubule
Which of the following is not a part of neohron in frog?,Loop of Henle,PCT,DCT,All
Which of the following is not a part of nephron?,Collecting duct,Bowman's capsule,Distal convulated tubule,Loop of Henle
Urine formation occurs in:,Kidney,Liver,Spleen,Heart
Characteristics property of metanephric kidney is:,Loop of Henle,Hypotonic urine,Urine formation,Hormone production
Which is concerned with formation of urea in rabbit?,Liver,Blood,Kidney,Spleen
"In liver, urea is formed by the process of:",Ornithine cycle,Glycolysis,Glycogenolysis,Cori's cycle
In man which blood vessels takes away blood from the kidney?,Renal vein,Afferent arterioles,Efferent arterioles,Renal portal vein
The capillaries in glomerulus is how many times more permeable than a normal capillary?,200 times,10 times,50 times,100 times
Which of the following occurs in glomerulus?,Ultrafiltration,Mictuaration,Reabsorption,Tubular secretion
Glomerular filtrate does not contain:,Proteins,Glucose,Amino acids,Hormones
"As compared to efferent arteriole, the afferent arteriole of kidney is:",Shorter and wider,Shorter and narrower,Longer and wider,Longer and narrower
Blood filtered per minute in kidney is:,125 ml,25 ml,180 l,300ml
The arount of urine per day is:,1.8 ltr,8 ltr,180 ltr,150 ltr
Glomerular filtrate is:,Deproteinised plasma,Blood plasma,Proteinised plasma,Urine stored on urinary bladder
The net glomerular filtrate pressure which causes filtration into the capusle is:,10 mm Hg,5 mm Hg,50 mm Hg,30 mm Hg
Glomerular filtrate occurs in:,Bowman's capsule,Glomerulus,PCT,Loop of Henle
Glomerulus receives the blood through:,Afferent arteriole,Efferent arteriole,Vasa rectae,Renal vein
Amiund of glomerular filtrate formed per day is:,180 ltr,50 ltr,250 ltr,100 ltr
How much percent of glomerular filtrate is ultimately reabsorbed?,99,25,50,90
Which of the following is totally reabsorbed from glomerular filtrate by active absorption?,Glucose,Urea,Na+,Water
The mechanism of urine formation in nephron involves:,Ultra filtration,Secretion,Diffusion,Osmosis
Human urine as compared to human blood is:,Hypertonic,Isotonic,Hypotonic,All
