question,answer,wrong1,wrong2,wrong3
The distance in between 2 point differing in phase by 60° having wave velocity 360 m/s and frequency of wave 500 Hz is:,0.12 m,0.18 m,0.30 m,0.48 m
Sound travels fastest in,Granite,Iron,Gold,Silver
"Oxygen is 16 times heavier than H2. Equal volumes of hydrogen and oxygen are mixed, the ratio of velocity of sound in mixture to O2 is",\(\sqrt{\frac{32}{17}} \),\(\sqrt{\frac{1}{8}} \),\(\sqrt{\frac{17}{32}} \),\(\sqrt{8} \)
The relation between phase difference and path difference is,\(Δϕ=\frac{2π}{λ}Δx\),Δϕ=2πλΔx,\(Δϕ=\frac{2πλ}{Δx}\),\(Δϕ=\frac{π}{λ}Δx\)
Phenomenon only associated transverse wave is,Polarization,Diffraction,Interference,Refraction
The frequency of sound audible to human is,> 20 Hz and < 20000 Hz,<20 Hz and > 2000 Hz,<20 Hz and > 200000 Hz,<20 Hz and < 20000 Hz
The intensity of sound increases because of:,Decrease in density.,Low temperature.,Increases in density.,Calmness.
Sound wave in rocks are,Longitudinal and transverse wave.,Longitudinal stationary.,Transverse stationary.,Wave in rock does not propagate.
"Velocity of sound in air at STP is 330 ms-1. The distance covered by sound in 2 second when atmospheric temperature is 30°C, will hearty be:",0.7 km,0.5 km,1 km,2 km
"If R is the radius of a resonance tube, the end correction to be applied is",0.6 R,0.3 R,0.4 R,0.5 R
"If distance between source of sound and a cliff is s. If the velocity of sound is V, the time taken to hear the 2nd echo is",4s/V,2V/s,s/2V,4V/s
The velocity of sound in water is 1400 m/s. The density of water is 1000 kg/m3. Bulk modulus of elasticity of water is,1.96 × 10^9 N/m2,5 x 10^11 N/m2,4 x 10^9 N/m2,1.96 x 10^11 N/m2
The Laplace's correction in the expression for the velocity of sound given by Newton is needed because sound waves,Propagate adiabatically.,Are longitudinal.,Propagate isothermally.,Are of long wavelengths.
Angle between particle and wave velocity in transverse wave is:,π/2,π,0,π/4
"The intensity of sound gets reduced by 10% on passing through a block. If it passes through two such blocks, then intensity of the outgoing sound is:",81%,19%,91%,18%
Sound waves are travelling in a medium whose adiabatic elasticity is E1 and isothermal elasticity is E2. The velocity of sound is proportional to,\(\sqrt{E1} \),E1,E2,\(\sqrt{E2} \)
A change in temperature affects which property of sound?,Wavelength,Frequency,amplitude,loudness
Which of the following is a mechanical wave?,Sound waves.,Radio waves,Light waves,X-rays
A radio station has a band 30 m. The frequency of electromagnetic waves from this station will be:,10 MHz,3 x 10^11 Hz,10 KHz,11 x 10^11 Hz
The increase in the velocity of sound for 1°C rise of temperature is (Vo = 332 m/s),0.61 m/s,0.16 m/s,0.1 m/s,61 m/s
"If 4g of Helium under STP has a of 22.4 litre, the speed of sound waves in an atmosphere of Helium of 0° and 1 atm pressure is",973 m/s,963 m/s,953 m/s,943 m/s
"If x = a sin (wt + π/6) and x1 = a cos wt, then what is the phase difference between the two waves.",π/3,π/6,π/2,π
"Two sound waves are given by

. \(y = a sin (wt - kx)\)

\(y1 = bcos (wt - kx)\) 

The phase difference between the two waves is",π/2,π/4,π,3π/4
"Two waves are represented by 

\( y1 = a sin (wt + π/6)\)

\(y2=coswt\)

 Their resultant amplitude is",√3 a,a,√2 a,2a
"Equation of progressive wave is given by

\(y= 4 sin(π(\frac{t}{5}-\frac{x}{9})+\frac{π}{6})\), then which of the following is correct?",λ=18 m,v=5 cm,a= 0.04 cm,f = 50 Hz.
"If the pressure amplitude in a sound wave is tripled, then by what factor the intensity of the sound wave is increased.",9,3,6,√3
The velocity of sound in air is independent of change in.,Pressure,density,Temperature,Humidity
Sound waves having the following frequencies are audible to human beings.,5000 c/s,5c/s,27000 c/s,"50,000 c/s."
The temperature at which the speed of sound in air becomes double of its value of 27°C is,927°C .,54°C,327°C,-123°C
"The speed of sound in air at N. T. P. is 300 m/s. If air pressure becomes four times, then the speed of sound will be",300 m/s,150 m/s,600 m/s,1200 m/s.
Velocity of sound is measured in Hydrogen and oxygen gases at a given temperature. The ratio of two velocities will be,4:1,1:4,1:1,32:1
The speed of sound in hydrogen at N. T. P. is 1270 m/s. Then the speed in a mixture of hydrogen and oxygen in the ratio 4:1 by volume will be.,635 m/s,317 m/s,830 m/s,950 m/s.
One of the following properties of sound is affected by change in air temperature.,wavelength,amplitude,frequency,intensity
What must be the minimum distance of reflecting boundary from in source of sound to hear the distinct echo? (speed of sound = 330 m/s),16.5 m,8.25 m,31m,62m
A string of length 'L' and mass 'M' hangs freely from a fixed point. Then the velocity of transverse wave along the string at a distance 'x' from the free end is.,\(\sqrt{gx} \),\(\sqrt{gh} \),gh,gx
A wave propagating along positive x- axis is given by y = A sin (wt - kx) The equation of the wave reflected from the rigid boundary is.,y=- A' sin (wt + kx),y = A' sin (wt + kx),y = A' sin (wt - kx),y = -A' sin (wt + kx)
Two sound waves having a phase difference of 60 have path difference of,λ/6,2λ,λ/2,λ/3
A pulse of a wave - train travels along the stretched string and reaches the fixed end of the string. It will be reflected back with.,A phase change of 180° with velocity reversed.,The same phase as the incident pulse but with velocity reversed.,The same phase as the incident pulse with no reversal by velocity.,A phase change of 180° with no reversal of velocity.
"A man standing symmetrically between two parallel cliffs claps his hands and starts hearing a series of echoes at intervals of 1 sec. If the speed of sound air is 340 m/s, then the distance between two parallel cliff is.",340 m,170 m,510 m,680 m
"When a sound wave goes from one medium to another, the quantity that remains unchanged is.",frequency,speed,amplitude,wave length
Speed of sound is maximum in,monoatomic gas,diatomic gas,polyatomic gas,equal in all.
"The and relation between time displacement for two progressive waves is

y1 = 0.06 sin 2л (0.04t+ 0.1x)

y2 = 0.03 sin 2л (0.08t+ 0.2x)

the ratio of intensities of two waves produced by the vibration of two particles will be",1:1,2:1,4:1,16:1
A man heard the thunder 6 seconds later he saw a lightning. The temperature of air is 27°C. How far was the flash of light from the man? (Velocity of sound in air at 0°C is 332 m/s),2088 m,1822 m,2332 m,2445 m
