question,answer,wrong1,wrong2,wrong3
A positively charged particles moving due east enters a region of uniform magnetic field directed vertically upwards. The particle will,move in a circular orbit with its speed uncharged,get deflected vertically upwards,move in a circular orbit with its speed increased,continue to move due east
A moving charged experiences forces if,All charge particle deflect in magnetic field,all charge particle do not deflect,charge particle move along magnetic field,charge particle move inclined to magnetic field
Two ebonite rods A and B of radii 1.5 cm and 2 cm respectively are rubbed together. The result will be,A&B both remain neutral,A will be charged positively,A will be charged negatively,Both A &B will be charged equally similar charge
A thin stream of water from a tap is attracted by placing a rod near it the rod is,Charged with static electricity,the south pole of magnet,the north pole of the magnet,any non magnetic substance
An electrically neutral metal is rubbed with wool. It is found that a charge of 32µC is developed on the metal. The no of electron transfer will be,2*10^14,12.5 * 10^11,2.5*10^12,5*10^13
What is the force of attraction between electron & proton seperated by 0.53Å,8.2*10^-6 N,8.2 * 10^-4 N,8.2*10^-5 N,8.2*10^-3 N
The strength of electric repulsion between electrons is larger than the gravitional attraction between them by an order of,10^42,10^39,10^36,10^9
Force between two charges 1µc each seperated by 1m is,9*10^-3 N,9*10^-4 N,9*10^-5 N,9*10^-2 N
"Two equal negative charged -q are fixed at the points (0,a) & (0,-a) on the y axis. A positive charge Q is released from rest at the point (2a,0) on x-axis. The charge Q will",execute oscillatory motion but not SHM,move to infinity,move to origin & remain at rest,execute SHM about the origin
"When glass rod is rubbed on the silk then glass acquires positive charge, this is due to",removal of electron,addition of electron,addition of proton,removal of proton
A charge particle is moved from one point to another is equipotential surface. Then work is,zero,q/4¶ε0r,q²/4¶ε0r,q²/r
What is specific charge of electron,1.76 *10^11 C/kg,1.76 *10^-11 C/kg,6.023 *10^-23 C,1.6 *10^-19 C
Metallic sphere 'A' of radius 'a'. Having charge Q is brought in contact with a uncharged sphere B of 'b'. Then charge remaining on 'A' is:,aQ/(a+b),aQ,bQ/a,bQ/(a+b)
If the electric field intensity is 10^6 V/m. Then find the distance between the plates kept at a potential difference at 10³V.,10^-3 m,10^9 m,10^15 m,10^39 m
Equipotential surface due to a point charge seen from a long distance appears as,spherical,plane,circular,elliptical
If the potential of metallic sphere 100V with respect to far away. Calculate the surface charge density if the radius of sphere 2cm,4.4*10^-8,4.4*10^-7,2.4*10^-6,2.4*10^-5
Identical charges are kept at each corner of a cube of length a. The net potential at the center of cube is,(3)^1/2*q / ¶ε0a,4q / (3)^1/2* ¶ε0a,2q / (3)^1/2* ¶ε0a,zero
Which is the only correct statement of the following?,A particle in motion whether charged or uncharged  is accompanied by matter wave,only a charged particle in motion is accompanied by matter wave,only a subatomic particle in motion is accompanied by matter wave,No particle whether at rest or motion is accompanied by matter wave
"On penetrating a uniformly charged sphere, the electrical field strength E",is zero at all points,remains unchanged,decreases,increases
"Five balls numbered 1 to 5 are suspended using separate threads. Pairs (1,2), (2,4),(4,1) show electrostatic attraction , while pairs (2,3) and (4,5) show repulsion. Therefore, ball 1 must be",neutral,positively charged,negatively charged,made of metal
The characteristics of electric lines of forces is,it's nature is same for a rectangular conductor & a point conductor,it emerges from negative to positive,it is more when electric intensity is less & lesser when electric intensity is more,it exists physically
"Two concentric spheres are carrying a charge Q and q. When the two spheres are joined by a wire, the charge on the outer surface of the inner sphere is",zero,Q-q,Q,Q+p
When two bodies are rubbed against each other they are electrified. Which one of the following is correct?,A glass rod becomes positively charged if rubbed with a ebonite,A glass rod becomes negatively charged if rubbed with a metal,A glass rod becomes positively charged if rubbed with a flannel,A glass rod becomes negatively charged if rubbed with a amber
Divergence of gold leaf is used to study,charge,potential,energy,none
"When a woolen sweater worm over a nylon shirt is removed, sparking is observed due to",static electricity,current electricity,none,both
A charge q is placed at the centre of the line joining two equal charges Q. The system of three charges will be in equilibrium if q is equal to,-Q/4,-Q/2,-4Q,Q/2
Where a charge Q is kept between +q and +nq (n>0) so that net force experienced by +Q charge will be zero. Assume distance  between charges is r,r / 1+ 1/(n)^½,r² / 1+ 1/(n)^½,r / 1+(n)^½,r / (1+n)^½
"Force between two identical spheres carrying charge +10µC and -20µC, kept at certain distance is F. If these two spheres are made in contact and then seperated to the distance , force is F'. The ratio of these two forces is",-8:1,8:1,16:1,-16:1
A charge Q=120µC is to be divided into two parts q and Q-q. These parts are kept at certain distance then for what value of q the force between them will be maximum?,60µC,40µC,30µC,10µC
The distance between two charges is increased by 25% then the percentage change in force is,36%,56%,65%,50%
"Coloumb force between two charges kept at certain distance is F. If half of seperation between them is filled with dielectric of constant εr = 4, Then the new Coloumb's force is",4F/9,F,3F/8,2F/9
There are two charges +1µC and +3µC. The ratio of the forces acting on them will be,1:1,1:3,3:1,1:25
A charge q1 exerts some force on a second charge q2. If third charge q3 is brought near the force q1 exerted on q2,remains constant,increases,decreases,depends on the sign of the charges
Two equally charged identical metal spheres A and B repel each other with a force 3*10^5N. Another identical unchanged sphere C is touched with A and then placed at the mid-point between A and B. Net force on C is,3*10^-5 N,1*10^-5 N,2*10^-5 N,1.5*10^-5 N
"A polythene piece, rubbed with wool is found to have negative charge of 4*10^-7 C. The number of electrons transferred from wool to polythene is",2.5*10^12,1.5*10^12,2.5*10^13,3.5*10^13
Two insulated metal spheres of radii 10cm and 15cm charged to a potential of 150V and 100V respectively are connected by means of a metallic wire. What is the charge on the first sphere?,4e.s.u,2 e.s.u,6e.s.u,8.e.s.u
Two identical metal spheres A and B are supported on insulating stands and placed in contact. What kind of charges will A and B develop when a negatively charged ebonite rod is brought near A?,A will have a +ve charge and B will have a -ve charge,A will have a -ve charge and B will have +ve charge,Both A and B will have +ve charges,Both A and B will have -ve charges
"Three charges each of +1µC are placed at the corners of an equilateral triangle.If the force between any two charges be F,then the net force on either charge will be",(3)^1/2 F,(2)^1/2 F,2F,3F
Two equally charged identical metal sphere A and B repel each other with a force F. Another identical unchanged sphere C is touched with A and then with B and finally removed.What is the new force of repulsion between A and B?,3F/8,F,F/8,5F/4
A positively charged balls hangs from a silk thread. We put a +ve test charge q0 at a point and measure F/q0 then it can be predicted that the electric field strength E,>F/q0,F/q0,<F/q0,cannot be estimated
Two point charges placed at a certain distance 'r' in air exert a force of F on each other. Then the distance at which these charge will experience the same force in a medium of dielectric constant K is,r/(K)^1/2,r,r/K,(K)^1/2 *r
"A charged particle q is shot towards another fixed charge particle Q with a speed 'v' . It approaches Q upto a closest distance 'r' and then returns.If q were given a speed 2v, the closest distance of approach would be",r/4,r,r/2,r/8
The ratio of the forces between two small spheres charged to constant potentials in air and in medium of dielectric constant K is,1:K,K:1,1:K²,K²:1
"Each of two small non conducting spheres is charged positively, the combined charge being 40µC. When the two spheres are 50cm apart, each sphere is repelled from the other by a force of magnitude 2.0N.The magnitude if the smaller of the two charges is",1.4µC,1.1µC,2.0µC,3.3µC
Two opposite corners of a square contain equal charges Q and other opposite corners contain charge q. The net force on Q is zero if:,Q=-2(2)^1/2 q,Q=-2q,Q=+2q,Q=2(2)^1/2 q
A neutral metal loses electron. The charge of metal sphere having number 10^14 is,16µC,-16µC,32µC,-32µC
