question,answer,wrong1,wrong2,wrong3
Which of the following is known as 'Natural pacemaker of the heart'?,SA Node,AV Node,Auricle,Bundle of HIS
Which of the following are NOT a part of the circulatory system?,Villi,Capillaries,Veins,Arteries
All arteries carry oxygenated blood except:,Pulmonary,Hepatic,Systematic,Cardiac
Which of the following has the thickest walis?,Left ventricle,Right ventricle,Right auricle,Left auricle
"Consider the following statements about veins

A. Veins carry CO2 rich blood from all parts of the body back to the heart

B. Veins have thick walls

C. Veins have valves which allow blood to flow only towards the heart The correct statement(s) is/are

The correct one is/are",A and C,Only A,Only B,A and B
Which of the following pairs has a double circulation pathway?,Birds and Mammals,Amphibians and Mammals,Reptiles and Mammals,Fishes and Birds
Which blood group has no antibody?,AB,O,A,B
Which one of the following is NOT true of WBCs?,Size – 18-25 μm,acts as soldiers and eat up the germs,Nucleus-Nucleated,Shape-Irregular shape
The blood vessels that carry blood from the heart to the various parts of the body are called ________.,Arteries,Veins,Septum,Capillaries
Which type of blood group is known as universal donor?,O negative,A,B,AB
Which vessels carry CO2 rich blood from all parts of the body back to the heart?,Veins,Areteries,Capillaries,Arterioles
Human heart is covered by a double membrane sac called ________,Pericardium,Pleura,Kura,Epicardium
Which is the largest artery in the body?,Aorta,Pulmonary artery,Coronary arteries,Pulmonary veins
________carry oxygen-rich blood from the heart to all parts of the body.,Arteries,Skeletal muscle,Veins,Plasma
Coagulation of blood in blood vessels is prevented by:,Heparin,Albumin,Globulin,Fibrinogen
"Name the blood cells whose reduction in number in cause clotting disorder, leading to excessive loss of blood from the body",thrombocytes,erythrocytes,Neutrophils,leucocytes
Serum differs from blood in lacking,clotting factors,antibodies,albumins,globulins
Blood pressure in the pulmonary artery is,more than that in the pulmonary vein,more than that in the carotid,same as that in the aorta,less than that in the venae cavae
This blood vessel in mammals would typically carry the largest amount of urea,Hepatic vein,Dorsal aorta,Renal vein,Hepatic portal vein
Which one of the following plasma proteins is involved in the coagulation of blood?,Fibrinogen,Serum amylase,Globulin,Albumin
