question,answer,wrong1,wrong2,wrong3
Capacity of single living plant cell to regenerate into whole plant is called,Cellular totipotency,Cell doctrine,Cytokinetics,Cytogenesis
A leucocyte is an animal cell because it has,Centriole,Plasma membrane,Irregular shape,Mitochondria
The continuity of nucleoplasm and cytoplasm is maintained through nuclear pores in,Eukaryotic cells,Prokaryotc cells,Both a and b,None
An eukaryotic cell contains,Both a and b,70 s Ribosomes,80 s Ribosomes,None
Prokaryotic genome differs from eukaryotic genome because it is,Non - repetitive,Linear,Single stranded,With histone
All are membrane bound cell organelles except,Ribosomes,Sphaerosomes,Mitochondria,Lysosome
All are membrane bound cell organelles except,All,Centriles,Chromosomes,Nucleolus
Organelle bound in triple membrane is,Transosomes,Lomasomes,Plastids,Golgi bodies
Largest cell organelle of a cell is,Chloroplast,Nucleus,Mitochondria,Ribosomes
Whostated that cell is basic unit of all plants?,Schleiden,Swanson,Schwann,Virchow
Which cell organelle is also known as 'Store house of cell'?,Vacuoles,Cell sap,Cytoplasm,Golgi bodies
Nucleolus is known as,Ribosomal factory of cell,Kitchen house of cell,Sucidal bag of cell,Control centre of cell
The strength and rigidity of a cell wall is due to the substance called,Lignin,Suberin,Cellulose,Pectin
Lignin is generally found in which layer of cell wall?,Secondary wall,Middle lamella,Primary wall,All
Which chemical substance is abundantly present in the middle lamellae?,Pectin,Lignin,Suberin,Cutin
Which chemical substance is abundantly present in the middle lamellae?,Both a andb,Calcium pectate,Magnesium pectate,Pectinase
Which chemical substance is abundantly present in the middle lamellae?,Calcium pectate,Magnesium pectate,Suberin,Lignin
"According to fluid mosaic model given by Nicolson and Singer, proteins in cell membrane are",Globular type,Fibrillar type,Both a and b,None
The structure present to plasma membrane but inner to cell wall is,Lomasome,Sphaerosome,Peroxisome,Dicotyosome
Which of the following is present in mitochondria?,Oxysome,Quantosomes,Thylakoids,Lamellae
Which of the following is present in mitochondira?,All,Cytochromes,Oxysomes,Cristae
Cell organelle which has electron transport system is,Mitocholdria,Centriole,Nucleus,Nucleolus
Which of the following of cell membrane helps in cell recognition?,Glycolipid and glycoprotein,Lipid,Protein,All
Which of the following of cell membrane helps in cell recognition?,Oligosaccharide,Lipid,Protein,Glycolipid and glycoprotein
Non - living substances of cell are collectively known as,Deutoplasm,Cytoplasm,Plasmagel,Mesoplas
Which organelle of plant cell secretes polysaccharides and protein to make cell walls?,Golgi bodies,ER,Mitochondria,Chloroplast
The golgi complex is involved in formation of,Zymogen granules,Protein,Spindle fibre,Carbohydrates
The major organic constituents of protoplasm are,Water,Carbohydrate,Nucleic acd,Proteins
pH of cytoplasm is,Slightly acidic,Acidic,Alkaline,Strongly basic
Protoplasm is actually as,Colloid,Solution,Compound,Mixture
"Protoplasm undergoes coagulation, which results in total stoppage of all physiological activity at",60 C,50 C,70 C,75 C
Monocytosis and phagocytosis are concerned with,Plasmalemma,Cell wall,Nucleus,None
Formation of Acrosome in sperms is helped by,Golgi complex,Lysosomes,Rough ER,Smooth ER
ATP formation occurs in,Both a and c,Mitocholdria,Nucleus,Chloroplast
Glycosidation and Glycosylation of lipids is done by,Golgi complex,Rough ER,Smoot ER,None
Protein tubulin does not occur in,Plasma membrane,Microtubules,Flagella,Cilia
Inulin and sucrose are stored inside cel in,Vacuole,Chloroplast,Leucoplast,Cytoplasm
Ribosome are also known as,Palade particles,Cytoplasmic granules,Baker's bodies,Kitchen house of cell
The most common element present in vacuole or cell sap is,K+,Na+,Ca2+,Mg2+
Most of the water in a young plant occur chiefly,In the vacuoles,In the nucleus,In the cytoplasm,In the mitochondrial matrix
Arrangement of microtubules in the centrioles as well as centrosome is,9+0,9+2,2+9,None
Nissl's granules are the modification of,RER,Golgi bodies,SER,Ribosomes
Chromosomes are made up of structural units called,Nucleosomes,Nucleoli,Endosomes,Centrosomes
Cilia and flagella both have,9+2 arrangement,9+0 arrangement,Symmetrical beats,100 µm length
What is the more plausible source for the origin of a single membrane bound structure?,ER,Nucleus,Cell wall,All
A pigment present in cell sap and also known as vegetable chamelion is,Anthocyanin,Xanthophyll,Carotene,Chlorophyll
Ribosoms attached to m-RNA form,Polyribosomes,Ribosomal complex,Protein ribosome complex,None of the above
Quinine is an alkaloid obtained from,Bark of Cinchona tree,Leaves of Cinchona tree,Root of Cinchona tree,Tuber of Cinchona tree
Reserpine is obtained from,Roots of Rouwolfia serpentina,Shoot of Ephedra,Leaves of Rouwolfia serpentina,Latex of Banana
The granular edoplasmic reticulum plays an important role in,Protein synthesis,Cell wall formation,Glycolysis,Lipid synthesis
Euchromatin is,More active weakly staining region of the chromatin,Less active darkly staining region of the chromatin,Less active lightly staining region of the chromatin,More active darkly staining region of the chromosome
The semi-autonomous nature of mitochondria is because,"It contains DNA,RNA and ribosomes",it contains oxysomes,it contains cristae,It contains all of the above
