question,answer,wrong1,wrong2,wrong3
The degree of dissociation of electrolyte,Increases with dilution,Decreases with dilution,May increase or decrease dilution,It is not affected by dilution
"For the reaction : N2 + O2 ↔ 2NO, the equilibrium constant K1 charge with the change  in:",Temperature,Total pressure,Amount of NO,Amount of N2 and O2
"For an elementary reaction 2A + B ↔ C + D, the molecularity of the reaction is?",3,1,2,4
"In which of the following reactions, the equilibrium will shift to the left when the pressure on the  system is increased.",CaCO3 ↔ CaO + CO2,C + O2   ↔   CO2,2Mg  + O2 ↔  2 MgO,H2 + O2  ↔ 2H2O
For the reversible reaction if the concentration of the reaction is double then the equilibrium constant will be:,Remains the same,Also be doubled,Be halved,Becomes one fourth
In lime kiln the reversible reaction: CaCO3 ↔ CaO  + CO2 proceeds to completion because,CaO removed,CO2 escape,of low temperature,of high temperature
In lime kiln the reversible reaction: CaCO3 ↔ CaO  + CO2 proceeds to completion because,CaO removed,CO2 escape,of low temperature,of high temperature
Equilibrium of the reaction 2SO3 + 45.2 Kcal will shift to left at:,High temperature and low pressure,Loe temperature & Low pressure,High temperature & high pressure,Low temperature & high pressure
For the reaction 450°C : N2 + 3H2 ↔ 2NH3;  Kp and Kc are related as:,Kp < Kc,Kp > Kc,Kp = Kc,No relation
"For the reaction 2NH3 ↔N2 + 3H2 - Q, the reaction shift is right by:",Decrease in pressure and increase in temperature,Increase in pressure and decrease in temperature,Increase in both,Decrease in both
Precipitation occurs when ionic product is:,Greater than solubility product,Less than solubility product,Equal to solubility product,Any of them
"In the given reaction which one favour the formation of product 2SO2 + O2 ↔ 2SO3, ΔH + -ve",Increase in pressure,Decrease in pressure,Increase in concentration SO3,Increase temperature
The synthesis of Ammonia from nitrogen and hydrogen proceeds with a decrease in volume the reaction will be favoured by:,Increase in pressure,Decrease in pressure,Addition of ammonia,Unaffected by pressure
"According to Le-Chatlier's principle, which of the following shifts the reaction of Haber's process for the formation of NH3 to right side?",Pressure is increased,Concentration of H2 is decreased,Temperature is decreased,Pressure is decreased
"In the equilibrium N2 + 3H2 ↔ 2NH3 + 22K, the formation of ammonia is favoured by:",Increasing the pressure,Increasing in temperature,Decreasing the pressure,Adding Ammonia
At equilibrium the equilibrium constant of a reaction is not affected by change in:,Catalyst,Temperature,Concentration of reactants,Concentration of products
At 20°C the solubility of 10 gm of saturated solution is 25. Find the mass of solute?,2 gm,2.5 gm,5 gm,12 gm
"A + 2B ↔ 2C + D. 1.1 mole of A combines with 2.2 moles of B, at equilibrium condition . 0.2 moles of C  is produced then the value of equilibrium constant will be?",0.001,0.002,0.003,0.004
"When NaCL is purified, HCL is used as a principle of",Common ion effect,Law of diffusion,Solubility product,Law of dilution
"175 gm of potassium nitrate solution contains 50 gm of KNO3, Then the solubility of solution is:",40,55,50,45
The heat of neutralization of strong acids and weak base is:,Greater than heat of neutralization of S.A and S.B,Equal to heat of neutralization S.A and S.B,Equal to heat of neutralization of W.A and W.B,Greater than heat of neutralization of W.A and W.B
A chemical reaction is in equilibrium if?,Rate of forward reaction = rate of backward reaction,Reactants are completely transformed into products,Formation of products is minimized,Equal amount of reactants and products are present
"For the given reaction : N2 + O2 ↔ 2NO¯ Heat, the forward reaction will be favoured by:",Increasing  temperature,Decreasing temperature,Increasing pressure,Decreasing pressure
The degree of ionization of electrolyte depends upon,All of the above,Nature of electrolyte,Temperature,Concentration of electrolyte if the electrolyte is weak
Which of the following will show common ion effect?,HCL + H2S,HCL + HNO3,HCL + NaCL,HCL + H2SO4
The spontaneous reaction the value of ΔG is,Negative,Positive,Zero,Any of the above
"N2 + 3H2 ↔ 2NH3 (ΔH = -92 kcal), the reaction proceed forward by:",Low temperature and high pressure,High temperature and high pressure,High temperature and low pressure,Low  temperature and low pressure
"25 mole of hydrogen reacts with 18 mole of iodine at equilibrium 30.8 mole of HI is formed, then the degree of ionization of HI is ?",9%,18%,24.5%,35%
"Ethyl alcohol and acetic acid are mixed in equal molecular proportions, their equilibrium is attached when 2/3rd of the acid and alcohol are consumed. The equilibrium constant of the reaction will be?",4.0,0.04,0.4,40
"For the reaction PCL3(g) + CL2(g) ,↔ PCL5, the value of Kc at 250°C is 26, then Kp at this temperature will be:",0.61,0.57,0.83,0.46
How many grams of water is required to make saturated solution of 100 grams of KNO3 at 100°c if the solubility at 100°c is 20 ?,500,100,200,300
If the pressure is applied to the equilibrium ice ↔ H2O what will happen ?,More water will be formed,More ice will be formed,Water will evaporate,No effect at all
"25 mole of hydrogen reacts with 18 mole of iodine, at equilibrium 30.8 mole of HI is Formed then the dissociation constant of HI is",24.5%,18%,9%,35%
"N2 + H2 ↔ 2NH3 (ΔH = -92 kcal), the reaction proceed forward by",Low temperature high pressure,High temperature high pressure,High temperature and low pressure,Low temperature low pressure
"Consider the reaction N2 + 3H2 ↔ 2NH3,  ΔH = -92KJ. Which of the following conditions would not increase the rate of forward reaction?",Increase in temperature,Addition of nitrogen gas,Use of suitable catalyst,Removal of ammonia from the system
"In the reaction, H2 + I2 ↔ 2HI, the equilibrium constant depends upon;",Temperature,Pressure,Concentration,Both A and B
"The equilibrium constant Kp for the reaction PCL5 ↔ PCL3 (g) + CL(g) is 16. If the volume of the container is reduced to half of it's original volume, the value of Kp for the reaction at the same temperature will be:",16,32,64,4
"During the esterification reaction, the equilibrium Kc is maintained by  CH3COOH + CH3OH is give to CH3COOCH3 + energy",Decrease of temperature,using conc H2SO4,increasing concentration of ethanol,Increase of temperature
