question,answer,wrong1,wrong2,wrong3
"If momentum is increased by 100%, then % increase in KE is",300%,100%,200%,400%
Escape velocity of body on earth surface is,11.2 km\s,20 km/s,80 km/s,240 km/s
The value of 'g' decreases in going from surface to deep down inside the earth. What happens to the value of 'g' in going to height h from earth surface ?,decreases,increases,remains constant,zero
"On doubling the product of mass and velocity, KE becomes",4 times of previous value,2 times of previous value,8 times of previous value,1 times of previous value
Which statement among the following is correct with respect to 'g' ?,g is maximum at poles and minimum at equator,g is same at all surface of earth,g is maximum at equator and minimum at poles,g is minimum at both poles and equator
A particle of force (F) is moving on horizontal path. The power is given by,P = mgv cosθ,P = mgv sinθ,P = mgv tanθ,P = mgv cotθ
When angular velocity of earth is increased then weight of the body is,decreases at equator and constant at pole,increases at equator and constant at pole,increases at both pole and equator,decreases at both pole and equator
If KE is increased by 4% what is % change in momentum?,2%,4%,8%,1%
If mass of body is M moving with velocity v collides with another body of mass m at rest and then they move together after collision. What will be the energy if initial energy is E,E/2,E,2E,4E
Four trucks of mass 'm' each stick and remain stationary. Another truck of mass '2m' moving with velocity 5m/s collides and stick together. Find the velocity of combined body,2m/s,4m/s,5/4 m/s,5/3 m/s
IF KE of body is increased by 19% then momentum of it is decreased by,10%,19%,20%,30%
Energy required to chew 1gm of ice is 80 cal. If man is chewing 60gm of ice in one minute then power of man is,336 watt,0.75 watt,1.33 watt,480 watt
A vessl is blasted into three pieces. Among them two similar pieces move perpendicularly with each other with equal velocity of 30m/s. If the third piece is 3 times the mass of other pieces find the velocity of third piece,14.4m/s,9.8m/s,10m/s,20m/s
Two bodies of masses 1m and 3m are moving opposite to each other with velocites 2v and v respectively. After collision their common velocity is,v/4,5v/4,v/2,3v/4
Escape velocity for satellite launched vertically from earth's surface is 11 km/s. Satellite is launched at 60° vertical. Escape velocity would be ?,11km/s,11√3 km/s,11/√3 km/s,22 km/s
Variation of gravity of height 10cm above sea level is equal to that of depth 'd' from sea level find the value of 'd',20,10,5,40
Starting from rest a car of mass 1000kg acclerates steadily to 20m/s in 10 sec. The average power developed in the time period is,20kw,40kw,4.0kw,0.2kw
The escape vellocity of earth is nearly 11 km/s. The escape velocity of earth is equal to velocity of light then radius of earth is,22 km/s,5.5 km/s,11 km/s,8 km/s
A body of mass 200gm is thrown upward at 30m/s. What is total energy of body at height 20m from ground,90j,50j,40j,100j
Which of the following is always conversed in collision,momentum,power,KE,torque
"Two masses 'm' and 4m are moving with equal KE, the ratio of magnitude of their momentum is",1:2,4:1,√ 2:1,√ 6:1
If the mass of earth is 6× 10 ^ 24 kg and escape velocity of earth is equal to velocity of light then radius of earth is,9 mm,200 cm,6.4 × 106 m,400 km
Two satellites at height R and 3R are orbiting around earth then the ratio of their velocities is,√2:1,1:√2,1:2,2:1
"A body of mass 'M' moving towards north with velocity 'V' m/s collides with another body of same mass and velocity moving towards. Afer collision, they coalese what is velocity of body after coalese?",v/√ 2m/s north east,√ 2 m/s north east,2v m/s north east,2√ 2 m/s north east
The difference in the value of acceleration due to gravity when a body of a certain mass is taken from a pole to the equator due to rotation of the earth shall be:,3.4 cm/sec2,7 cm/sec2,3.2 cm/sec2,32 cm/sec2
A body is projected with a velocity equal to twice the escape velocity from the earth. The velocity of the body in free space will be,√3Ve,Ve,1.5Ve,√2Ve
"At what height from earth, g becomes g/2?",0.414 R,R/2,0.7 R,R
"Rocket launched with the escape velocity follows
the path",Parabolic,Straight line,Circular,Elliptical
"Ball 'A' of mass 0.1 kg moving with a velocity of 6ms1collides with ball 'B' of mass 0.2 kg at rest. If ball 'A' rebounds with a velocity of 2ms-1 in opposite direction after collision, what would be the velocity of 'B'?",4 ms-1,2ms-1,6 ms-1,8 ms-1
Two bodies of masses m and 2m are moving with same K.E. The ratio of their linear momenta is,1:√ 2,1:1,√ 2:1,2:1
If V be the orbital velocity of a satellite then its escape velocity is,√2 V,V,√V,1/√V
