question,answer,wrong1,wrong2,wrong3
"If momentum is increased by 100%, then %
increase in KE is",300%,100%,200%,400%
"On doubling the product of mass and velocity, KE
becomes",4 times that of previous value,2 times that of previous value,8 times that of previous value,1 times that of previous value
"A particle of force (f) is moving on horizontal path.
The power is given by",P = mgv tane,P = mgv sine,P = mgv cose,P= mgv cote
"If KE is increased by 4%, what is the % change in
momentum?",2%,4%,8%,1%
If the mass of body is M moving with velocity v collides with another body of mass M at rest and then they move together after collision. What will be loss in energy if initial energy is E?,E/2,. E,2E,4E
Four trucks of mass 'm' each stick and remain stationary. Another truck of mass '2m' moving with velocity 5 m/sec collides and stick together. Find the velocity of the combined body.,5/3 m/sec.,2m/se,4 m/sc,5/4 sec
If KE of body decreased by 19% then momentum of it decreases by,10%,19%,. 20%,30%
"Energy required to chew 1 gm of ice is 80 cal if a
man is chewing 60 gm of ice in one minute then
power of the man is",336 Watt,0.75 Watt,1.33 Watt,480 Watt
A vessel is blasted into three pieces. Among them two similar pieces move perpendicularly with each other with equal velocity of 30 m/s. If the third piece is 3 times the mass of other pieces find the velocity of third piece.,14.4 m/s,9.8 m/s,10 m/s,20 m/s
Two bodies of masses 1m and 3m are moving opposite to each other with velocities 2v and v respectively. After collision their common velocity,v/4,5v/4,v/2,3v/4
Starting from rest a com rest a car of mass 10 car of mass 1000kg accelerates steadily to 20ms-1 in 10 seconds. The average power developed in the time period is,20kw,40 kw,4.0kw,0.2kw
A body of mass 200gm is thrown upwards at 30 m/s. What is its total energy of body at height 20 m from ground,90J,50J,40J,100J
Which of the following is always conserved in  collision?,Momentum,Power,Kinetic energy,Torque
"Two masses 'm' and '4m' are moving with equal kinetic energies, the ratio of magnitude of their momentum is:",1:2,4:1,√2:1,16:1
".A body of mass 'M' moving towards north with velocity 'v' m/s collides with another body of same mass and velocity moving towards east. After collision, they coalesce, what is the velocity of  body after they coalesce?",v/√2 north east,√2 m/s north east,2v m/s north east,2√2m/s north east
"Ball 'A' of mass 0.1 kg moving with a velocity of 6ms 'collides with ball 'B' of mass 0.2 kg at rest. If ball 'A' rebounds with a velocity of 2ms-1 in opposite direction after collision, what would be the velocity of 'B'?",4 ms-1,2ms-1,6 ms-1,8 ms-1
Two bodies of masses m and 2m are moving with same K.E. The ratio of their linear momenta is,1:√2,1:1,√2:1,2:1
A man weighing 70 kg carries a weight of 10 kg to the top of tower 100 metres high. The work done is:,78400 joules,18400 N,7000 ergs,58400 ft.lbs
".If two masses of 4 kg & 16 kg are moving with equal kinetic energy, what will be the ratio of their momentum?",1:2,4:1,1:4,1:√2
Two particles of masses 4 kg and 16 kg are 22momentum will be equal to moving with equal K. E. What is the ratio of their linear momenta ?,1/2,1/4,1/8,1/16
"A car is having mass of 100kg and frictional force applied to it is 200N. When the car is moving with velocity of 20m/sec, what will be the power om/sec, what will supplied?",4 KW,24 KW,20 KW,4000 KW
. A body of mass 'm' moving with velocity 'v' collides elastically head on with another body of mass '2m' which is initially of rest. The ratio of K.E of bodies before and after collision will be,9:1,1:3,1:1,4:1
Work done by a conservative force around closed path is,0,>1,<1,infinity
A force F = (10+ 0.5x) acts on a particle in x- direction where F is in Newton and x is in meter. How much work is done by the force for a displacement from x = 0 to x = 2 m?,21 joule,4 joule,8 joule,34 joule
"The power of a water pump is 3 kilowatt. The volume of water it can raise in one minute to a height of 10 m, assuming g = 10 ms-2 is",1.8 m3,2 m3,2.4 m3,4 m3
".If an automobile moves with constant power P, relation between velocity and time will be",v x t1/2,v  x t^3/2,v x t^2,v xt
Kinetic energy of a body of mass m is E Its linear momentum will be equal to,(2mE)^1/2,2mE,(mE/2)^1/2,2E/m
The graph between kinetic energy and momentum of body will be,parabola,straight line,Circular,Hyperbola
"The power of a water pump is 2 MW. The volume of water it can raise per minute to a height of 10 m assuming g = 10 m/s2, is",1200 L,600 L,800 L,1800 L
A machine lifts a block of mass 100 kg from the ground to a height of 5 m in 5 seconds. The average power in kilowatt of the machine is nearly,1,0.5,2,4
".If the momentum is increased two times, then the",4 times,2 times,√2,8 times
Two masses of 4 kgs & 16 kgs are moving with equal kinetic energy. What will be the ratio of their momentum?,1:2,4:1,1:4,1:12
".If unit of force & length are doubled, then unit of power becomes:",four times,six times,2 times,. none
".A bomb of 12 kg explodes into two pieces of masses 4 kg and 8 kg. The velocity of 8kg mass is 6m s-1, the K.E. of other mass is",288],48J,32J,24J
".When a spring is stretched through 'a', EPE = 100 J. rifle is: When stretched through 3a, new EPE = ?",900,90,150,200
.Power of water pump is 4 kW. Volume of water which can be raised to height 10 m in minute is (g = 10 ms-2),2.4 m3,0.4 m3,1.0 m3,None
If a body with K. E. E is projected at an angle with the horizontal. Then the potential energy at the highest point is,x √y,x∝ y,y∝ √x,x∝1/y
A body B is acted by a force given by F = CX from distance X = 0 to X = X1. What is the work done on the body?,1/2CX1^2,CX1,1/2 *CX1,CX1^2
".A block of mass m is hanging. If a body of mass M
with velocity v is thrown to the body, their collapsed and attained a velocity V given by mass",mv/ (m+M),Mv/(m+M),(m+M)/mv,(m+M) v/m
".A block of mass m is hanging. If a body of mass M
with velocity v is thrown to the body, their collapsed and attained a velocity V given by mass",mv/ (m+M),Mv/(m+M),(m+M)/mv,(m+M) v/m
".A block of mass m is hanging. If a body of mass M
with velocity v is thrown to the body, their collapsed and attained a velocity V given by mass",mv/ (m+M),Mv/(m+M),(m+M)/mv,(m+M) v/m
A body of mass 50kg is accelerated to 20m/s2 in 10s from rest. Find the work done.,10^6],2×104),4×104],5×106]
.A bullet is fired to a wooden plank resting on frictionless table. On this collision which among the following is conserved?,Only momentum,Only KE,Both KE and momentum,Neither KE and momentum
"A bullet is fired from a rifle, then the KE or the  rifle is",Less than that of bullet,More than that of bullet,Equal to that of bullet,Can be less or more than that of bullet
It is easier to roll a stone up a stroping than to lift it vertical upwards because:,Work done in rolling is less than in lifting,Work done in rolling is more than in lifting,Work done is same but the rate of doing work is less in rolling,Work done in rolling is equal to work done in lifting
.A person holds a box of weight 60N on his hand for 5 minutes. The amount of work done by him is:,Zero,300N,600N,900N
When K.E. of body increases by 36%. Then they decrease in momentum of the body,20%,25%,30%,33%
.Force is measured by,Dyanmometer,Speedometer,Technometer,Potentiometer
A bullet of 0.04kg is fired with the speed of 90m/s stops penetrating 60cm of the block. Then average force to stop the bullet will be,280N,275N,270N,285N
A man weighing 60N walks 10m horizontal for certain time and moves vertically 5m. Find the work done by the man.,300,600,200,100
Wind is moving with velocity V. Power obtained from wind energy is directly proportional.,V^3,V,V^2,V^4
If the linear momentum of a body increases by 50% then the percentage increase in its KE will be,125%,50%,100%,225%
"The human heart pumps 75cc of blood through aorta at each beat against a constant average pressure of mercury Assuming that the pulse frequency is 7 2 per minute, the power of human heart is, (g = 10 m/s2, p = 13.6 g/cm3, h = 100 mm).",1.225W,1.36W,7.2W,7.5W
"When momentum of body increases by 50%, K.E. increases by?",125%,50%,100%,150%
"A body of mass 0.5kg is moving with velocity 2 ms- 1, it collides with a body of mass 1 kg in elastically, then loss in energy is",0.67],0.5],0.34J,1J
When two identical body A and B with same mass approaching with +0.5 ms-1 and -0.3ms-1 from opposite direction. When they collide with each other their velocity will be respectively,. -0.3 ms-1 & +0.5 ms-1,-0.5 ms-1 & +0.3 ms-1,+0.5 ms-1& -0.3 ms-1,-0.4 ms-1 & -0.4 ms-1
.A substance is projected with a K.E. of K at an angle 45° with the horizontal. The K.E. at maximum height will be,K/2,0,K,2K
"When potential is increased by 4 times, the change in KE and velocity if charges & mass remains constant is","4 times, 2 times","4 times, 4 times","2 times, 2 times",None
".A body of mass 'm' moving with velocity v splits in
m 2- parts such that M/4 comes to rest instantly. What is the K.E. of other mass....",2/3 mv2,1/3mv2,4/3 mv2,mv2
".If 2 bodies A & B, being A lighter, having same linear momentum are moving, then the K.E. of A is",more than B,Less than B,Same as B,None
.If K.E. of a body is increased by 2 times then it's momentum increases by,√2 times,2 times,1⁄2 times,2√2 times
A bullet of mass 'm' moving with velocity 'u' passes through a wooden block of mass M = nm. The block is resting on smooth horizontal floor. After passing through the block the velocity of bullet is 'v'. It's velocity relative to block is,((1 + n) v-u)/n,nu- v/(1n+1),nu- v/(n+1),((n+1)u+v)/(2n+1)
Two blocks of masses m1 = 1 kg a and m2 = 2kg connected by a non-deformed light spring. They are lying on a rough horizontal surface. The coefficient of friction between the block and the surface is 0.4. What min constant force F has to be applied in horizontal direction to the block of mass m1 in order to shift the other block,8 N,15 N,10 N,25 N
A person bring a mass of 2 kg from A to B. The increase in kinetic energy of the mass is 4 J and the work done by the person on the mass is -10 J. The potential difference between B and A is,-7J/kg,4J/kg,7J/kg,-3 J/kg
"A block of mass 'm' is moving with const. acceleration on a rough horizontal plane. If the co- efficient of friction between the block and ground is μ, the power delivered by the external agent after a time t from the beginning is equal to",m(a +μg)at,ma^2 t,umgat,μm (a + μg)t
If the water falls from a dam into a turbine wheel 19.6 m below then velocity of water at the turbine is:,19.6m/s,39.2m/s,9.8m/s,98.0m/s
.A neutron makes a head on elastic collision with a stationary deuteron. The fractional energy loss of the neutron in the collision is,8/9,16/81,8/27,2/3
The potential energy of a certain spring when stretched through a distance s is 10 Joules. The amount of work (in Joules) that must be done on this spring to stretch it through an additional distance s will be,30,10,20,40
"When constant acceleration act on the body, then power of body varies:",t,t^2/3,t^1/3,t^3/2
0.4 μF charged capacitor operated at 30 KV is placed inside human body. The power delivered in body. When it is inside body for 2ms is,90kw,9kw,180 kw,360kw
During elastic collision of two bodies:,both momentum and kinetic energy are conserved,momentum alone is conserved,kinetic energy alone is conserved,neither momentum nor kinetic energy is conserved
Impact parameter of head-on collision is,1/2 fm,0,2.5fm,none
Flowing water has,both K.E. and P.E.,K.E. only,P.E. only,None
.A massive body collides elastically with a light body at rest then:,Massive body continue with same velocity & light body with double velocity of massive one,Massive body at rest and light body moves with velocity of massive body,Both at rest,Massive body continue to move with same velocity and light body at rest
A body moving toward east is acted by a force 80 N and frictional force act on it is 50 N. What is the gain in kinetic energy when it moves a distance of,240 J,280 J,840 J,380J
Power is best defined by,Work done ÷ time,Work done in direction of force,Force x velocity,Work done x time
Kinetic energy of a body of mass 10g and momentum 500 g cm/s is equal to,1.25 x 10^4 ergs,1.25× 10^3 ergs,1.25 × 10^3J,"50,000 ergs"
If KE of a body decreases by 10% then decrease in linear momentum of that body is,5%,2%,10%,15%
An engine is used to pump a liquid of density p continuously through a pipe of cross sectional area A. If the speed of flow of liquid in pipe is v then rate at which kinetic energy is being imparted to the liquid is,1/2 Aρv^3,1/2 Aρv^2,1/2Aρv,Aρv
Kinetic energy is measured in,joules,Meter/second,mgh,1/2 mv2
Which is true about conservative force?,Only K.E. is conserved,Only P.E. is conserved,Total mechanical energy gets conserved,work done in a closed path is infinity
"In perfectly elastic collision, K.E. after collision",is same as that of initial,greater than that of initial,smaller than that of initial,is zero
If an automobile moves with constant power 'P' relation between velocity and time will be,V ∝ t^1/2,v ∝ t^3/2,V∝t^2,V∝t
If the momentum increasedby two times kinetic,4 times,2 times,√2 times,8 times
