question,answer,wrong1,wrong2,wrong3
1 . Plasmodium belong to the class,a. Sporozoa,b. Sarcodina,c. Mastigophora,d. Ciliata
2. Relation between man and mosquito was discovered by,a. Ronald ross,b. Laveran,c. Grassi,d. Celli
"3. Who was awarded Nobel prize in 1902 for discovery of oocyst of plasmodium 

Or 

Who discovered oocyst in stomach of female Anopheles 

Or

Malaria was transmitted by ""Anopheles "" .This was discovered by",b. Ronald Ross,a. Golgi,C. Laveran,d. Shortt
4. Which one of the following pair is correctly matched?,b. Anopheles - malaria,a. Aedes- plague,C. House fly - yellow fever,d. Body louse - typhoid
5. Total parasite belong to the protozoans group .,a. Sporozoa,b. Ciliata,c. Sarcodina,d. Zooflagellata
6. Which one of the following class of protozoa is exclusively endoparasites,d. Sporozoa,a. Mastigophora,b. Sarcodina,c. Opalinata
7. Male mosquito ( Anopheles) doesn't transmit malarial parasite because,a. It lack blood sucking mouth part,b. It's catches fever,c. It is too small too carry parasite,d. The parasite is killed in it's stomach
8. Malarial parasite is,b. Digenetic,a. Polygenetic,c. Monogenetic,d. Monomorphic
9. The primary host of malarial parasite is,b. Female Anopheles mosquito,a. Man,C. Male Anopheles mosquito,d. None
10. The primary host of malarial parasite is,a. Female Anopheles mosquito,b. Male Anopheles mosquito,C. Curex mosquito,d. Plasmodium Anopheles
"11. The part of life cycle of Malarial parasite of plasmodium vivax , that is passed in female Anopheles mosquito is",a. Sexual cycle,b. Pre- erythrocytic schizogony,C. Exoerythrocytic schizogony,d. Post- erythrocytic schizogony
12. Infective stage of plasmodium for mosquito is,d. Gametocyte,a. Sporozoite,b. Schizont,C. Trophozoite
13. Infective stage of plasmodium is,a. Sporozoite,b. Schizont,C. Trophozoite,d. Gametocyte
14. Multiple fussion in plasmodium is,b. Schizogony,a. Gamogamy,C. Sporulation,d. None of the above
15. Quartan malaria is caused by,d. P. Malariae,a. P. Vivax,b. P. Flaciparum,C. P. Ovale
16. The time period between entry of sporozoite to the first appearance of parasites in the blood is called,C. Prepatent period,a. Incubation period,b. Latent period,d. Schizogony period
17. Which of the following is seen in p. Flaciparum infection?,d. All of these,a. Malignant tertian malaria,b. Black water fever,C. Pemicious malaria
18. Average incubation period for p. Vivax,a. 14 days,b. 10 days,c. 30 days,d.5 days
19. The chill and the fever recurring after 48 hours in benign tertian malaria is due to,a. P. Vivax,b. P.malariae,C. P. Flaciparum,d. None of these
20. Malarial species found in south America and west Africa is,d. P. Ovale,a. P. Flaciparum,b. p. vivax,C. P. Malariae
"21. In the diagnosis of malaria, which of the following stain is used",d. Both a and b,a. Wright stain,b. Giemsa stain,C. Gram's stain
22. In which of the following the size of RBC remain unaltered ?,C. P. Flaciparum,a. P. Vivax,b. P. Ovale,d. All of these
23. Rarest species of plasmodium is,d. P.ovale,a. P. Malaria,b. P. Flaciparum,C. P. Vivax
24.your patient show paroxysms of malaria after every 72 hour .which species of plasmodium is considered is responsible to cause the infection ?,d. P. Malariae,a.  p. Flaciparum,b. P. Vivax,c. P. Ovale
