question,answer,wrong1,wrong2,wrong3
1. ACCORDING TO AYURVEDA HEALTHY PERSON MUST BE,C. BOTH A AND B,A. EQUILIBRIUM OF ALL DOSHAS,B. EQUILIBRIUM STATE OF AGNI,D. NONE
2. ACCORDING TO AYURVEDA IMMUNITY (BALA) MEANS,A. BOTH VYAYAM SHAKTI AND VYADHIKSHAMATWA,B. VYAYAM SHAKTI ONLY,C. VYADHIKSHAMATWA ONLY,D. NONE
3. THE DISEASE WHICH IS UNDER INFLUENCE OF TIME IS CALLED,A. KALAJ,B. SAHAJ,C. SATWAJ,D. ALL
4. FAILURE OF INTELLIGENCE IS,C. PRAGYAPARADHA,A. MANAS ROGA,B. SHAREERA ROG,D. ALL OF THE ABOVE
5. YAPYA MEANS,B. INCURABLE DISEASE,A. CURABLE DISEASE,C. DISEASE WHICH IS DIFFICULT TO CURE,D. EASYLY CURABLE DISEASE
6. SHAT KRIYA KALA IS RELATED TO,A. DISEASE,B. HYGEIN,C. HEALTH,D. NONE
7. NIDANAAA MEANS,C. ETIOLOGY,A. DISEASE PROCESS,B. TRATMENT,D. CLINICAL FEATURES
8. AGANTUKA ROGA IS CAUSED BY,C. EXTERNAL TRAUMA,A. DISTUBANCE OF TRI-DOSHA,B. DISTURBANCES OF MANAS DOSHA,D. ALL
9. THERE ARE ...............METHODS OF ROGA PARIKSHA,A. 3,B. 4,C. 5,D. 6
10. AMOUNT OF OJA IN THE BODY IS,C. 8 VINDU (DROPS),A. 1/2 ANJALI,B. 1 ANJALI,D. 5 VINDU (DROPS)
11. AMOUNT OF SHUKRA IN HUMAN BODY,A. 1/2 ANJALI,B. 9 ANJALI,C. 8 ANJALI,7. ANJALI
12. THE AMOUNT IN OUR BODY IS,B. 8 ANJALI,A. 1 ANJALI,C. 5 ANJALI,D. 10 ANJALI
13. THE AMOUNT OF RASA IN OUR BODY,B. 9 ANJALI,A. 8 ANJALI,C. 10 ANJALI,D. 11ANJALI
13. THE TYPE OF DISEASE ACCORDING TO DOSHA ARE,B. 7,A. 6,C. 8,D. 9
14. THE DISEASE IS PASSING FROM PARENT TO CHILD IS,C. JATAJA,A. GARVAJANYA,B. SAHAJA,D. KALAJA
15. PITTAJA NADI IS FELT AS MOVEMENT OF,B. FROG,A. SNAKE,C. SWAN,D. NONE OF THE ABOVE
