question,answer,wrong1,wrong2,wrong3
"A person use a concave lens for his eye. If he removes his concave lens,the image is formed,",in front of retina,at retina,behind retina,at conjunctiva
"Focal length of lens of simple microscope is 15cm, then the angular magnification of image when it is formed at the least distance of vision is?",2.67,2.25,1.67,2.89
"A travelling microscope is focused on a mark.A glass slab off thickness 18cm and refractive index 1.5 is placed in on marks. To get the mark again in foucus, the microscope had to be displaced",6cm upward,3cm upward,3 cm downward,6cm downward
The hypermetropic person has minimum distance of distinct vision of 40 cm. Then the lens used to correct defect is,1.5 D,-1.5D,0.5 D,1D
Distance of distinct vision is 25cm. The focal length of the convex lens is 5cm .It can act as a magnifier of magnifying power,6,less than 5,5,more than 6
F number of an optical instrument is defined as,ratio of focal length to diameter of the aperture,product of focal length and diameter of the aperture,ratio of diameter to focal length of the aperture,none
A man wears spectacles of -2 diopters .The minimum distance he could see by not wearing spectacles is,50cm,100cm,20cm,150cm
Our eye is most sensitive to which colour?,green,red,blue,black
"To produce an achromatic combination, a convex lens of focal length 42cm and dispersive power 0.14 is placed in contact with a concave lens of dispersive power 0.21.The focal length of the concave lens is",63cm,21cm,42cm,84cm
"To produce an achromatic combination, a convex lens of focal length 42cm and dispersive power 0.14 is placed in contact with a concave lens of dispersive power 0.21.The focal length of the concave lens is",63cm,21cm,42cm,84cm
A person can see no nearer then 1m then the focal length of lens to be used is,33.33cm,66.66cm,25cm,10cm
Myopic eye of a person having far point 75cm can be cured by using,concave lens of focal length 75cm,convex lens of focal length 50 cm,concave lens of focal length 25cm,convex lens of focal length 37.5cm
"A short sighted person can see clearly up to 60 cm , then what is the power of his lens?",-1.65 D,-1.25 D,-1.35 D,-1.75 D
An astronomical telescope has a magnifying power 10.The focal length of objective is,200cm,2cm,1/200cm,0.5cm
An object is placed at a distance 'u' from a simple microscope of focal length 'f'. The angular magnification obtained depends,on 'f' but not on 'u',on 'f' as well as 'u',on 'u' but not on 'f',neither on 'f' nor on 'u'
The person which cannot see near 25cm have,focal length cannot be decreased upto certain limit,size of eyeball increases,size of eyeball decreases,distance between eye lens and retina cannot be decreases
A person cannot see more nearer than 75cm.Find the power of lens to be used to have normal vision,2.67 D,8.67 D,3.67 D,7.67 D
Resolving power of the human eyes is nearly,1/3420,342,1/342,3420
A person can't see object lying above 50 cm from the eyes. What is the focal length of lens to be used to correct the defect of vision?,-50 cm,+50cm,+100 cm,-100cm
The far point of a defective eye is 1.5m. The lens needed to correct this defect is a,Diverging lens of focal length 1.5m,Converging lens of focal length 1.5m,Converging lens of focal length 0.3m,Diverging lens of focal length 0.3
An old man cannot see the object nearer than 150cm.If he wishes to see objects up to 50cm he sholud put,Converging lens of f =75cm,diversing lens of f =150cm,diversing lens of f =30cm,Converging lens of f =150cm
A person cannot see an object beyond 100cm. The lens to be used to remove this defect will be of the power,-1D,-2D,2D,1D
A long-sighted person has a minimum distance of distinct vision of 50cm .He wants to reduce it to 25cm.He should use a,convex lens of focal length 50cm,concave lens of focal length 50cm,convex lens of focal length 25cm,concave lens of focal length 25cm
A person can't see object beyond 50cm.Then focal length of the lens required to correct his defect and enable to see to infinity is,-50cm,50cm,100cm,75cm
Chromatic aberration in the formation of images by a lens arise because:,the focal length varies with wavelength,of non- paraxial rays,radii of curvatures of the two sides are not same,of the defect in grinding
The magnification of compound miscroscope increases when focal length of eye piece is,small,large,same as object,as great as infinity
Find the magnifying power of a telescope with focal length of eye piece 25cm and that of object lens 100cm,4,40,44,20
"If ω1 and ω2 are dispersive power of lens of focal length f1 and f2 respectively,then the condition for chromatic aberration of two lenses in contact is:",ω1/ω2 = -f1/f2,ω1/ω2 = f1/f2,ω1/ω2 = -f2/f1,ω1/ω2 = f2/21
The magnifying power of telescope can be increased by,by fitting eye-piece of high power,By increasing focal length of both lens,by fitting eye-piece of low power,by increasing the distance of object
"The chromatic combination of lenses if we use two lenses of focal f and f',dispersive power ω and ω' respectively then","ω=ω0, ω' = 2ω0,f'=-2f","ω=ω0, ω' = 2ω0,f'= 2f","ω=ω0, ω' = 2ω0,f'=f/2","ω=ω0, ω' = 2ω0,f'= -f/2"
An achromatic combination is to be obtained using a convex and a concave lens. The two lenses chosen should have,the product of their power and dispersive powers equal,their power equal,their refractive indices equal,their dispersive power equal
A convex lens has mean focal length 20cm. The dispersive power of the material of the lens is 0.02 . The longitudinal chromatic aberration for an object at infinity is:,0.40,0.20,0.80,10^3
Two lenses in contact form an achromatic doublet. Their focal lengths are in the ratio 2:3 . Their dispersive power must be in the ratio:,2:3,1:3,3:1,3:2
Two lenses of focal lengths 20cm and 30cm will form an achromatic combination if they are seperated by,25cm,5cm,10cm,50cm
A person wears glasses of power -2.0D . The defect of the eye and the far point of the person without the glasses will be,"nearsighted,50cm",farsighted 50cm,"nearsighted,250cm",astigmatism 50cm
Which of the following forms erect image?,Galilean telescope,compound microscope,astronomical telescope,eye
"A parallel beam of white light falls on a convex lens. Images of blue, yellow and red light are formed on the other side of the lens at distance 20cm, 20.5cm, and 21.4 cm respectively .The dispersive power of the material of the lens is",14/205,619/1000,9/200,5/214
The f number of camera lens is 4.5. Which of the following statements is correct?,the ratio of focal length to the aperture is 4.5,"the focal length of the lens is 4,5 cm",it is the reciprocal of the focal length expressed in meter,the aperture of the lens is 4.5cm
"You are given four convergent lenses of focal length 0.3cm,4cm,10cm and 100cm. Which two would you prefer for telescope for maximum magnification?",0.3cm and 100 cm,0.3cm and 4cm,10cm and 100cm,4cm and 10 cm
The resolving power of a microscope is maximum for,elctron beam,infrared,yellow,ultraviolet
If the focal length of a simple magnifier is 5cm. Then magnifying power of lens for relaxed and strained eye are,"5,6","6,6","5,5","6,5"
"In compound microscope, focal length of objective and eye lens are 1.5cm and 6.25 cm respectively.If object is placed at 2cm from objective and final image is formed at least distance of distinct vision , the length of the compound microscope is",11cm,7cm,9cm,13cm
If the focal length of objective and eye lens are 0.5cm and 1cm respectively and the length of compound microscope 10cm.Then the magnifying power of the microscope is,500,200,300,400
The length of a telescope is 36cm.The focal length of its lenses can be,"30cm ,6cm","-30cm,-6cm","30cm,-6cm","-30cm,6cm"
"The minimum magnifying power of a telescope is M. If the focal length of its eye lens is halved , the magnifying power will become",2M,M/2,3M,4M
An astronomical telescope has an angular magnification 5 for distant objects. The seperation between the objective and eye- piece is 36cm and the final image is formed at infinity .The focal length f0 of objective and focal length fe the eye piece are,"f0=30cm,fe=6cm","f0=4.5cm, fe=-9cm","f0=7.2cm , fe=5cm","f0=50cm, fe=10cm"
