question,answer,wrong1,wrong2,wrong3
"When-OH group is linked with benzene, the compound formed is",Phenol,Benzaldehyde,Benzyl alcohol,Acetophenone
Which of the following compound when reacted with water produces Phenol ?,\(C_6H_5N_2Cl\),\(C_6H_5Cl\),\(C_6H_5CH_2Cl\),\(C_6H_5CHO\)
Phenol on distillation with zine dust gives,Benzene,Benzaldehyde,Benzoic acid,Cyclohexane
Phenol reacts with \(PCl_5\) to give mainly,triphenylphosphate,p-chlorophenol,chlorobenzene,o-and p-chlorophenols
Phenol reacts with Br₂ in \(CCl_4\) at low temperature gives,o-and p-bromophenol,m-bromophenol,p-bromophenol,"2, 4, 6-tribromohenol"
Which of the following reagent will convert >CO group into \(> C(C_6H_5)OH\) ?,Phenyl magnesium bromide,Phenol,Benzyl alcohol,Phenyl chloride
Which of the following compound contains intramolecular H-bonds?,o-Nitrophenol,Phenol,Ethanoic acid,Resorcinol
Cumene is the compound used for commercial preparation phenol .Chemically cumene is,Isopropyl benzene,Ethylbenzene,n-propylbenzene,Methyl benzene
,Benzenediazoniumchloride,Chlorobenzene,Bromobenzene,Aniline
Oxygen when passed through an ethereal solution of phenyl magnesium iodide followed by acid hydrolysis gives,Phenol,Benzene,Benzoic acid,Salicylaldehyde
Decarboxylation of sodium salicylate with soda lime forms,Phenol,Salicylic acid,Benzene,None of these
When salicylic acid is heated with Zn dust. What is the main product?,Benzoic acid,Benzene,Phenol,Toluene
,Lederer-Manasse reaction,Dakin-reaction,Ittar reaction,None of these
,"2,4,6-Tnnitrophenol",Benzene,Catechol,Only p-Nitrophenol
Which of the following reactions will produce anisole ?,Sodium phenoxide and methyl chloride,Phenol and methyl chloride,Benzyl alcohol and sodium chloride,None of the above
,Benzene,Toluene,Cresol,Benzol
Which of the following reagents can react with Phenol to produce phenolphthalein ?,Phthalic anhydride / \(H_2SO_4\),Ethanoic anhydride / \(H_2SO_4\),"\(CO_2 , CCl_4\)",Potassium phthalimide
When ethyl lodide is allowed to react with sodium phenolate the product formed is,Phenetole,Phenolate,Ethylbenzene,Ethylphenol
"In order to get 2-hydroxybenzaldehyde from phenol, which of the following reagents required ?",\(CHCl_3/NaOH\),Chloroformic acid,"\(CO_2, NaOH\)",\(CCl_4/NaOH\)
"When phenol is made to react with in presence of pyridine, the resulting product contains",Both A and B,\(C_6H_5Cl\) only,\((C_6H_5O)_3P=O\) only,None of the above
Which compound is predominantly formed when phenol is allowed to react with bromine in aqueous medium?,"2,4,6-Tribromophenol",Picric acid,Salicylic acid,p-Bromophenol
,Phenol,Benzyl alcohol,m-Bromophenol,Salicylaldehyde
The most acidic compound among the following is,Picric acid,Phenol,m-Cresol,p-Nitrophenol
One among the following compounds will give effervescence with sodium carbonate,\(C_6H_5OH\),\(C_6H_5CO_2H\),,
