question,answer,wrong1,wrong2,wrong3
Hess law deals with ...,Change of heat of reaction,Order of reaction,Equilibrium constant of reaction,stability of reaction
For melting of ice ...,Gice = Gwater  ≠ 0,Gice > Gwater,Gice < Gwater,Gice = Gwater =0
90J of work is done on system in adiabatic process then change in internal energy is,+90J,-90J,+180J,0J
When the solid melts there is,Increase in enthalpy,Decrease in enthalpy,No change in enthalpy,None
10 mole of ideal gas at 27°C undergoes isothermal expansion resulting in doubled volume. The work done by the gas (R=1.98 cal) is,4.13* 10^3 cal,41.3* 10^3 cal,4.13* 10^5 cal,41.3* 10^5 cal
The third law of thermodynamics helps in calculation of,ABsolute entropy,Enthalpy changes,Internal energy changes,Free energy changes
the mixing of gases is generally accompained by,Decrease in free energy,Change in heat content,Decrease in entropy,Increase in free eneergy
Which of the folling is correct according to first law of thermodynamics?,ΔE=q-w,ΔE = q+w,w=q+ΔE,w=q+PV
For spontaneous reaction the value of ΔG,Negative,Positive,zero,both a and b
"According to the equation ΔG = ΔH - TΔS, spontaneous reaction will occur when the value of ΔG will be?",Negative,Positive,Zero,Infinitive
Which of the folling relatioins is correct?,ΔG = RTlnK,ΔGo = RTlnk,ΔGo = RTlogK,ΔG= RTlogk
"Gibbs free energy G, enthalpy H and entropy S are related to one another by",G=H-TS,G= H+TS,G-TS=H,S=H-GT
A chemical reaction will be spontaneous if,Free  energy decreases,Activation  energy for the reaction is low,Entropy decreases during a reaction,Free energy increases
The heat of neutralisation of strong acid and weak base is,Greater than heat neutralisation of SA and SB,Equal to heat neutralisation S.A and S.B,Equal ro heat neutralization of WA and WB,Greater than heat of neutralization of WA and WB
A process is spontaneous at all temperature if,ΔH<0 ΔS>0,"ΔH<0 , ΔS<0",ΔH=0 ΔS<0,ΔH>0 ΔS<0
Which is not correct?,S=q/T,G= H+TS,H=E+PV,q=E+W
The enthalpies of all elements in their standart stater (at 298K and 1 atmo) are,Equal to Zero,Equal to one,Negative,Of different values
Which of the following equation is incorrect?,ΔS=ΔH/ΔT,ΔG = ΔH-TΔS,ΔH = ΔE + PΔV,ΔE=q-PΔV
Entropy of the universe is always,Increasing,Decrease,Zero,COnstant
In an adiabatic process,There is perfect heat insulation,P is constant,Gas is expanded isothermally,System exchanges heat with surrounding
