question,answer,wrong1,wrong2,wrong3
pH of \(10^{-12}\) M HCl is,7.0,12.0,2.0,-12
"The pH value of a solution of NaOH is 10. Assuming complete dissociation, the value of concentration of \(OH^-\) ion is",\(10^{-4}\),10⁴,\(10^{-2}\),None of above
Why is precipitate of AgCl obtained when a drop of \(AgNO_3\) is added in aqueous NaCl solution?,lonic product of AgCl > solubility product,Solubility product > ionic product of AgCI,Solubility product = ionic of AgCl,Solubility product ≠ ionic product of AgCI
Ionic product of water is,\(10^{-14}\),10⁷ moles/litre,\(10^{-14}\) gm/litre,\(10^{-7}\) moles/litre
pH of 0.02 M NaOH is,12.3,1.7,10.3,13.3
pH of 50 cc of 0.01 N HCl is decreased by,Adding 50 cc of 0.1 N HCI,Adding 50 cc of 0.01 N HCI,Adding 50 cc of water,Adding 10 cc of 0.0001 N HCI
4 ml of 0.5 N HCl is mixed with 1 ml of 2N KOH. The pH of resulting solution is,7,0,3.5,10
Solubility \(A_3B_2\) is x. Then the solubility product will be,108 x⁵,27 x³,218 x⁵,525 x⁵
The solubility product of a sparingly soluble salt \(AB_2\) 1.08 × \(10^{-13}\) at 25 ⁰C Its molar solubility is,3 × \(10^{-5}\) M,3 × \(10^{-4}\) M,3 × \(10^{-6}\) M,3 × \(10^{-7}\) M
pH of a solution containing 2 gm of sodium hydroxide per litre of water will be,12.7,2,10,10.7
The highest pH value is shown by 0.1 M,NaOH,\(H_2SO_4\),\(Ca (OH) _2\),\(Na_{2}CO_{3}\)
pH of 0.1% solution of NaOH is,8.6,1.6,10.4,12.4
The degree of ionization of a compound depends on,nature of solute,size of solute,nature of vessel,quantity of electricity passed
The value of ionic product of water at 393 K is,greater than 1 × \(10^{-14}\),less than 1 × \(10^{-14}\),equal to 1 × \(10^{-14}\),equal to 1 × \(10^{-7}\)
The degree of ionization of an electrolyte does not depend on,The size of the solvent molecules,The nature of the solute and solvent,The temperature,Concentration of the solution
Molten sodium chloride conducts electricity due to the presence of,Free ions,Free electrons,Free molecules,Atoms of sodium and chlorine
"To which of the following, Ostwald's dilution law is applicable?",\(CH_{3}COOH\),HCl,\(HNO_3\),\(H_2SO_4\)
"For a salt of strong acid and weak base, hydrolysis constant (\(K_h\)) is given by the expression",\(K_h=K_w/K_b\),\(K_h=K_w/K_a\),\(K_h=K_b\),\(K_h=√(K_w/K_b)\)
The acid with maximum strength has \(pK_a\) value equal to,1.0,30,4.5,2.0
"If a 0.1 M solution of HCN is 0.01% ionised, the ionization constant for HCN is",\(10^{-9}\),\(10^{-7}\),\(10^{-5}\),\(10^{-3}\)
The ionic product of water will increase if,Temperature is increased,Pressure is decreased,\(H^+\) ions are added,\(OH^-\)ions are added
"The dissociation constant of a weak acid is 1 × \(10^{-5}\) , the equilibrium constant for the reaction with strong base is",1.0 × 10⁹,1.0 × \(10^{-5}\),1.0 × 10⁷,1.0 × \(10^{14}\)
The hydrogen ion concentration in weak acid of dissociation constant K  and concentration c is nearly equal to,\(√(K_ac)\),\(√(K_a/c)\),\(c/K_a\),\(K_ac\)
A monoprotic acid in a 0.1 M solution ionizes to 0.001%. Its ionization constant is,1.0 × \(10^{-11}\),1.0 × \(10^{-3}\),1.0 × \(10^{-6}\),1.0 × \(10^{-8}\)
"At infinite dilution, the percentage ionization for both strong and weak electrolytes is",100%,1%,20%,50%
pH of a solution is defined by the expression,\(log [1/ (H^ +)]\),\(log( H ^ + )\),\(1/[log(H^+)]\),\(-log [1/ (H^ + )]\)
"If pH of a solution is 4, then \([H^ + ] \) is",\(10^{-4}\),10⁴,\(10^{10}\),\(10^{-10}\)
An aqueous solution whose pH = 0 is,Acidic,Neutral,Basic,Amphoteric
"In solution, the hydrogen ion exists as",\(H_3O^+\),\(H^+\),Either \(H^+\) or \(H^-\),\(H^+\)surrounded by several water molecules
pH of \(10^{-10}\) molar HCl solution is approximately,7,10,1,14
The pH of a \(10^{-8}\) molar HCI solution of HCI in water is,Between 6 and 7,8,–8,Between 7 and 8
pH of 0.1 N HCl solution is,1.0,4.0,7.0,14.0
Concentration of hydrogen ion in water is,1 × \(10^{-7}\),8,7,1
The pH value of 0.1 M HCl is approximately 1. What will be the approximate pH value of 0.05 M \(H_2SO_4\),1,0.05,0.5,2
The pH of a 0.001 M solution of HCI is,3.0,1.0,10.0,11.0
The pH of normal KOH is,14,1,0,7
pH value of N/10 NaOH solution is,13,10,11,12
The pH of 0.05 M solution of \(H_2SO_4\) is,1,3,0.1,5
40 mg of pure NaOH is dissolved in 10 litres of distilled water. The pH of the solution is,10,9,11,12
"The pH of a solution, having \([OH^-]=10^{-7}\) is",7,14,0,-7
An aqueous solution of 0.1 M \(NH_4Cl\) will have a pH close to,5.1,9.1,8.1,7.1
Which has minimum value of pH?,M/10 \(NH_4Cl\) solution,M/10 \(NH_4OH\) solution,M/10 \(CH_3COONa\) solution,M/10 \(Na_2SO_4\) solution
The addition of solid sodium carbonate to pure water causes,an increase in pH,an increase in hydronium ion concentration,no change in pH,a decrease in hydroxide ion concentration
"Given that the value of \(K_w\) for water is 1 × \(10^{-14}\) , what is the pH of a 0.001 molar KOH solution ?",11,\(10^{-11}\),\(10^{-3}\),3
The pH of a solution obtained by dissolving 0.4 gm of solid NaOH in one litre of water will be,12,2,10,11
The pH of a solution is 5.0. To this solution sufficient acid is added to decrease the pH to 2.0. The increase in hydrogen ion concentration is,1000 times,100 times,2.5 times,10 times
"The pOH of a solution is 6.0, its pH will be",8,6,0,14
"When a 0.1 N solution of a monoprotonic acid at room temperature has a degree of ionization of 10%, the concentration of hydroxyl ions in g ion/litre would be",\(10^{-12}\),\(10^{-2}\),\(10^{-11}\),\(10^{-9}\)
The hydroxyl ion concentration in a solution having pH value 3 will be,\(10^{-11}\),\(10^{-7}\),\(10^{-3}\),\(10^{-14}\)
An aqueous solution of \(CuSO_4\) is,Acidic,Basic,Neutral,Amphoteric
A solution of \(MgCl_2\) in water has pH,<7,>7,7,14
Aqueous solution of sodium acetate is,Alkaline,Neutral,Weakly acidic,Strongly acidic
An aqueous solution of aluminium sulphate would show,An acidic reaction,A neutral reaction,A basic reaction,Both acidic and basic reaction
An aqueous solution of ammonium acetate is,Almost neutral,Faintly acidic,Fairly acidic,Faintly alkaline
The aqueous solution of aluminium chloride is acidic due to,Cation hydrolysis,Anion hydrolysis,Hydrolysis of both anion and cation,Dissociation
Correct statement is,\(CH_3COOH\) is a weak acid,\(NH_4Cl\) gives alkaline solution in water,\(CH_3COONa\) gives acidic solution in water,\(NH_4OH\) is a strong base
The compound whose 0.1 M solution is basic is,Sodium acetate,Ammonium acetate,Ammonium chloride,Ammonium sulphate
Which one of the following is acid salt ?,\(NaHSO_3\),\(Na_2S\),\(Na_2SO_3\),\(Na_2SO_4\)
Which of the following salts when dissolved in water undergo hydrolysis?,\(NH_4Cl\),NaCI,KCI,\(Na_2SO_4\)
Which of the following salts when dissolved in water undergo hydrolysis?,\(NH_4Cl\),NaCI,KCI,\(Na_2SO_4\)
Which one will not be hydrolysed ?,Potassium nitrate,Potassium cyanide,Potassium succinate,Potassium carbonate
"In which of the following acid-base titration, pH is greater than 8 at the equivalence point?",Acetic acid versus sodium hydroxide,Acetic acid versus ammonia,Hydrochloric acid versus ammonia,Hydrochloric acid versus sodium hydroxide
The aq. solution of a salt is alkaline. This shows that salt is made from,a weak acid and strong base,a strong acid and strong base,a strong acid and weak base,a weak acid and weak base
The aq. solution of sodium cyanide is,Basic,Acidic,Amphoteric,Neutral
The salt hydrolysis of the salt of strong acid and weak base is called,cationic hydrolysis,anionic hydrolysis,amphoteric hydrolysis,none
Which has the highest pH?,\(Na_{2}CO_{3}\),\(CH_{3}COOK\),\(NH_{4}Cl\),\(NaNO_3\)
Which of the following aqueous solutions will have a pH less than 7.0 ?,\(FeCl_3\),\(KNO_3\),NaOH,NaCN
Addition of which chemical decreases the hydrogen ion concentration of an acetic acid solution?,NaCN,\(NH_{4}Cl\),\(Al _2 (SO_{4})_ 3\),\(AgNO_3\)
A buffer solution changes its pH,Does not change at all,Very rapidly,Very slowly,None of the above
Which solutions are mixed to form a buffer solution?,Weak acid and its salt of a strong base,Strong acid and its salt of a weak base,Weak acid and its salt of a weak base,Strong acid and its salt of a strong base
Which is a buffer solution?,\(CH_{3}COOH + CH_{3}COONa\),\(CH_{3}COOH + CH_{3}COONH_{4}\),\(CH_{3}COOH + NH_{4}Cl\),NaOH + NaCl
pH of blood is,greater than 7 and less than 8,less than 6,greater than 8 and less than 9,greater than 10
The product of ionic concentration in a saturated solution of an electrolyte at a given temperature is constant and is known as,Solubility product,Ionic product of the electrolyte,Ionization constant,Dissociation constant
1M NaCl and 1M HCl are present in an aqueous solution. The solution is,not a buffer solution with pH < 7,not a buffer solution with pH > 7,a buffer solution with pH < 7,a buffer solution with pH > 7
What is the correct presentation for the solubility product of \(SnS_2\) ?,\([ S n^ {4+} ][S^{ 2-} ]^ 2\),\([Sn^{ 2+} [S ^{ 2-}] ^ 2\),\([ S n^ {2+} ][2S^ {2-} ]\),\([ S n^ {4+} ][2S^ {2-} ]^ 2\)
The solubility product of \(Hg_2I_2\) is equal to,\([ H g _2 ^{ 2+} ][I^ - ]^ 2\),\([ H g^ {2+} ][1^ - ]\),\([ H g_ 2 ^{ 2+} ][I^ - ]^ 3\),\([ H g^ {2+} ]^ 3 [1^ - ]^ 2\)
"When HCl gas is passed through a saturated solution of common salt, pure NaCl is precipitated because",The ionic product of \([Na^+] [Cl^-]\) exceeds the solubility product of NaCl,HCI is highly ionised in solution,HCI is highly soluble in water,The solubility product of NaCI is lowered by HCI
Solubility of a salt \(M_2X_3\) is x gm mole \(L^{-1}\) . The solubility product of the salt will be,108x⁵,x⁵,16x²,96x⁵
Solubility product of \(A_2B\) is 4 × \(10^{-9}\) (mol/lit)³ . Its solubility is,\(10^{-3}\) M,\(4^{1/3} × 10^{-3}\) M,\(10^{-4}\) M,\(2 × 10^{-5}\) M
If the solubility of \(Ca (OH) _2\) is √3 What will be the solubility product?,12√3,3,27,√3
\(K_(sp)\) of \(Ca _3 (PO_{4}) _2\) will be,\([ C a^ {2+} ]^ 3 [PO_ 4 ^ {3- }]^ 2\),\([ C a^ {2+} ]^ 3 [PO _4 ^ {3- }]\),\([ C a^ {2+} ][PO_ 4 ^ {3-} ]\),\([ C a^ {2+ }]^ 3 [PO _4 ^{ 3- }]^ 3\)
Solubility of AgCl will be minimum in,0.01 M \(CaCl_2\),0.01 M NaCI,pure water,0.001 M \(AgNO_3\)
"Which one of the following is true for any diprotic acid, \(H_2X\) ?",\(Ka_{1} > Ka_{2}\),\(Ka_{1} = Ka_{2}\),\(Ka_{2} > Ka_{1}\),\(Ka_{2} = 1 / K  a_{1}\)
Which pair will show common ion effect?,\(NH_{4}OH + NH_{4}Cl\),\(BaCl_2 + Ba(NO_3)_2\),NaCl + HCl,AgCN + KCN
Addition of \(CrO_4^{2-}\) ions to a solution of \(Ag_2CrO_4\) results in,decrease in \(Ag^+\) ion concentration,increase in \(Ag^+\) ion concentration,increase in solubility product,shifting of \(Ag^+\) ions from the ppt. into solution
"When HCl gas is passed through a saturated solution of NaCl, the solubility of NaCI",decreases,increases,does not change,NaCl is decomposed
When \(NH_4Cl\) is added to a solution of \(NH_4OH\),The concentration of \(OH^-\) ions decreases,The dissociation of \(NH_4OH\) increases,The concentration of \(OH^-\) ions increases,The concentration of both \(OH^-\) and \(NH_4^+\) ions increase
pH of 0.05 M \(M(OH)_2\) is,13,10,1,Zero
What will be the pH of the solution obtained by mixing 100 c.c. of N/10 HCl and 100 c.c..of N/10 KOH?,7,0,4,14
The dissociation constant of a weak monobasic acid is 1 × \(10^{-5}\) . The pH of 0.1 M of that acid would be,3,2,4,5
