question,answer,wrong1,wrong2,wrong3
Mechanial digestion of food in pheretima occurs in,Gizzard,Pharynx,Intestine,Stomach
Locomotion in pheretima is directly facilitaxed by,Setae,Parapodia,Citellum,Contraction of body segments
Which part of earthworm is also called forest of nephridia ?,Cingulum,Pygidium,Gizzard,Stomach
"In earthworm, opening of spermathecal pores are located in the segments:","5/6,6/7,7/8,8/9","6/7,7/8,8/9,9/10","4/5,5/6,6/7,7/8",All
Excretion in earthworm is assisted by:,Chloragogen cell,Amoeboid cell,Flame cell,Choanocyte
Parasite found in seminal vesicle of Earthworm,Monocystis,Nystagmus,Nosema,Amphibians
Nephridiopores is found in,Integumentary nephridia,Pharyngeal nephridia,Stepal nephridia,None of the above
Type of nephridia not found in earthworm is,Macronephridia,Pharyngeal nephridia,Integumentary nephridia,Septal nephridia
Earthworm have/has..................,No eyes,Single eye,A pair of eyes,2 pair of eyes
Earthworm hides in burrow.........,To get moisture,To escape from enemies,To get food,To copulate
A closed vascular system is found in,Pheretima,Cuttlefish,Cockroach,
Which of the following organism has red blood but doesn't have red blood cells?,Earthworm,Cockroach,Pigeon,Insect
How many spermathecae are found in Pheretima?,4 pairs,8 pairs,6 pairs,2 pairs
The function of the clitellum in earthworms is:,Cocoon formation,Fertilization,Nutrition,Copulation
The nerve cord of earthworms is,Vental and solid,Dorsal and hollow,Vental and hollow,Dorsal and solid
Earthworm appears brown due to the presence of,Porphyrin,Chromatophores,Chloragogen cells,Melanin
"In earthworms, chromophil cells serve to",Secrete saliva,Secrete mucus,Provide coloration,Pepsin
Ture about earthworms is,Fertilization occurs externally in a cocoon,It has no locomotory organ,It doesn't have a brain,It has an open circulatory system
The male genital aperture in Earthworm is found in,18th segment,14th segment,17th segment,19th segment
The oviducal aperture Pheretima lies on the mid-ventral side of the..........segment,14th,13th,15th,16th
Latero-oesophageal and supra-esophageal blood vessels in earthworms are joined by,Anterior loops,Lateral hearts,Lateral-oesophageal heart,Dorsointestinals
Hameglobin dissolved in plasma found in,Earthworm,Cockroach,Tapeworm,Mollusca
"In earthworms,septa are absent in segments",1-4,8-12,17-21,14-26
Pharyngeal nephridia are present in,"4,5,6 segments","3,4,5 segments",All except the first three,All segments
Pharyngeal nephridia in earthworms are present in,"4th,5th and 6th segments","3rd,4th and 5th segments","5th,6th and 7th segments",Behind the 15th segments
"During copulation of earthworms, sperm is received through",Spermatheca pore,Nephridial pore,Female genital pore,Dorsal pore
The number of hearts in earthworms is,4 pairs,1 pair,2 pairs,3 pairs
Pharyngeal nephridia are found around the,Pharynx & oesophagus,Pharynx & buccal cavity,Oesophagus & gizzard,Pharynx
A number of sub-pharyngeal ganglia in earthworms are:,One pair,Two pairs,Three pairs,Only one
Which of the following are found in all segments of earthworms?,Chloragogen cell,Ganglia,Nephridia,Setae
"In earthworms, the ovaries are attached to septa between the segments:",12 and 13,13 and 14,11 and 12,12 and 16
The number of lymph glands in earthworms in the 26th segment is,1,5,15,18
"If the skin of the earthworm becomes dry, it dies due to :",Asphyxia,Starvation,Intoxication,Dehydration
"Through the earthworm is hermaphrodite, self-fertilization doesn't occur because:",Sperm mature earlier than ova,Fertilization is external,Ova mature earlier than sperms,Of cocoon formulation
Seminal vesicle in earthworm is present in segments:,11-12,9-10,10-11,12-13
In pheretima Posthuma the setae are absent in,14th to 16th,10th to 14th,2nd to 5th,10th to 14th
The female genital aperture in earthworms is present ventrally in the segment:,14,18,12,10
"In pheretima, mesonephric excretion takes place in :",Integumentary nephridia,septal nephridia,Pharyngeal nephridia,Septal and pharyngeal nephridia
Gizzard in an earthworm serves for:,Crushing food,Excretion,Secreting slime,Absorbing digest food
The intestinal caecum of earthworms is present along the segments,26,24,28,30
