question,answer,wrong1,wrong2,wrong3
Which is not reduced by H₂?,Al2O3,CuO,SnO2,Fe2O3
Flow of electric current in electrolytic solution is due to,Ions,Free electrons,Holes,Atoms
Solution of AgNO3 and CuSO4 are present in voltameter connected in series. When equal quantity of electricity is passed then the ratio of mass of Ag and Cu liberated is,108/31.75,108/63.5,54/63.5,54/31.75
Which of the following is not used in salt bridge?,Na2CO3,NH4Cl,NH4NO3,KCI
Zn displaces Cu because of,Zn value is more negative than Cu value,Zn value is more positive than Cu value,Ionization energy of Zn is less,None
If 16A of current is passed for 10 min in electrolysis of fused NaCl then amount of Na produced is,2.3 gm,0.023 gm,1.15 gm,11.5 gm
KNO3 is used in salt bridge due to,Velocity of K+ = NO3–,Velocity of K+ > NO3–,Velocity of K+ < NO3–,No relation with velocity
Depolariser in dry cell is,MNO2,HgO,NH4Cl,Pb
"NaCl is disssolved in water, then Na+ ion is",Hydrated,Hydrolysed,Oxidised,Reduced
An electric current 0.25 Ampere was passed through acidified water for 2 hours. What will be the volume of H2 produced at NTP? (1 coulomb of electricity produces 10^(-5) gm of H₂0),0.216 litre,0.108 litre,0.408 litre,0.36 litre
"In which one of the following, 1 Faraday of electricity will liberate 1/2 gram atom of the metal:",CuSO4,AlCl3,FeCl3,NaCl
"In the electrolysis of CuSO, solution between Pt-electrodes:",O2 is liberated at anode,H2 is liberated at cathode,SO2 is liberated at anode,Cu++ is discharged at anode
Which of the following doesn't displace hydrogen?,Hg,Pb,Sn,Al
Unit of specific conductance is,1/(ohm cm),ohm cm,cm/ohm,ohm/cm
You have four vessels containing different salts.To these solutions you add Cu. The blue colour is obtained in a vessel containing,AgNO3,NaCl,ZnSO4,Cd(NO3)2
The unit of electrochemical equivalent is,grams/coulomb,coulombs/amp,grams/amp,coulomb/gram
The number of coulombs of electricity required to deposit 0.3 mole of Cu++ is,6×9650,9650,2x9650,4×9650
The number of coulombs of electricity required to deposit 1.5 mole of Cu++ is,3F,0.75F,2F,4F
The chemical reaction takes place at cathode during electrolysis Is,reduction,Oxidation,dissolution,Ionisation
A equation used for calculating the EMF of an electrochemical cell is,Nernst's equation,Henderson's equation,Ostwald's equation,Huckel's equation
Which of the following statements is not true?,The standard electrode potential of electrodes do not change with change in electrolyte concentration,The equivalent conductance of strong electrolytes do not change with change in concentration,The degree of ionization of a weak electrolyte increases with increasing dilution,Ohm's law is valid for solutions of electrolyte
The conductance of one centimeter cube of solution is its,specific conductance,equivalent conductance,molar conductance,resistance
By passing 0.50 A current to an aqueous solution half gram of an element is liberated. The time of passing the current in seconds is,1000s,100 s,500s,2000s
Which one of the following statements is not correct?,IUPAC convention expresses half -cell potential only as reduction potential,absolute value of half -cell potential of a half cell can not be measured,half -cell potential of a half cell is determined by combining it with a standardized half-cell,the direction of a redox reaction can only be determined experimentally
Electricity can be passed through molten lead(II) bromine because of the presence of,moveable ions,free electron,moveable atoms,lead in molten state
"In Faraday's law, the relation between electrochemical equivalent (ECE) and chemical equivalent (CE) is",CE = F x ECE,ECE = F x CE,ECE = F/CE,CE = F/ECE
The standard electrode potential of Cr+++/Cr and Ag++/Ag is +0.5293 and -0.625 respectively. The electrode potential of the cell is,1.1543,-1.1540,0.05293,-0.625
The electrode reaction on the left hand side electrode of an electro-chemical cell with positive cell potential is,oxidation reaction,displacement reaction,reduction reaction,decomposition reaction
The degree if ionization of an electrolyte does not depend upon the,size of the solvent molecules,temperature,nature of the solute,concentration of the solution
What weight of copper will be deposited by passing two faradays of electricity through solution of cupric salt? (At. wt. of Cu = 63.5),63.5 g,31.75 g,2.00g,4.00g
In the electrolysis of water 224 liters of pure hydrogen was liberated at NTP. The weight of oxygen liberated will be,160 gm,320 gm,32 gm,16 gm
In the electrolysis of water 224 liters of pure hydrogen was liberated at NTP. The weight of oxygen liberated will be,160 gm,320 gm,32 gm,16 gm
The amount of energy required to deposit 0.2 mole of Ag+ is,2 x 9650,3 × 9650,2 x 96500,96500
One Faraday of electricity is equivalent to:,96500 coulombs,1602 x 10^(-12) coulombs,95.5 coulombs,22400 coulombs
The heating of pyrites to remove sulphur is known as,Roasting,Bessemerisation,Calcinations,Smelting
"In a cell, oxidation takes place in",anode,cathode,electrolyte,none of these
Electrochemical equivalent refers to mass  deposited in which of the following cases?,1 Coulomb,1 Faraday,1 ampere of current for 1 minute,96500 couloumb charge
CuSO4 is electrolysed by passing 1 faraday of current. At anode there is,loss of 32 gram,gain of 32 gm,loss of 64 gm,gain of 64 gm
Which of the following is reduced by H₂,CuO,SnO2,Al2O3,Fe203
Electrolysis of molten NaCl produces,Na and Cl₂,Na and H₂,Cl2 and O2,Na and O2
In electrolysis amount of silver deposited equivalent of 112 ml of hydrogen is,1.08 gm,108 gm,10.8 gm,0.108 gm
Which of the following can't remove Cu from solution?,Ag,Pb,Zn,Fe
"How many Faradays of electricity are required to deposit one mole of AgNO3, CuSO4 and Al2O3 each?",1:2:3,1:1:1,3:2:1,1:2:2
Spontainity of cell occur if,AG =-ve & AE =+ve,AG=+ve & AE=+ve,AG=-ve & AE= -ve,AG=+ve & AE= -ve
When Pb storage battery is discharge then,H2SO4 is consumed,lead dioxide dissolves,sulphuric acid is regenerated,the lead formed
"Increasing order of thermal conductivity of Al, Cu, Ag",Ag>Cu>Al,Cu>Ag>Al,Cu>Al>Ag,Al>Cu>Ag
"In a electrolytic solution, iron rod has to be coated by cupper. for this, the formed solution is",CuSO4,CaSO4,H2SO4,PbS04
The reaction is spontaneous: If the cell potential is,Positive,Negative,zero,Infinite
Which of the following metallic oxides can be reduced by H₂ Except,Al2O3,ZnO,CuO,CaO
Number of coulombs of charge required to convert 1 mole of Cr2O7 to Cr(3+) is,579000 coulombs,193000 coulombs,386000 coulombs,482500 coulombs
"4 elements A, B,C, D have standard electrode potential of -1.25V, +1.01V, -1.66V & +1080V respectively. The strongest reductant of all is;",C,A,B,D
No. of charge present in 1 mole of e- is,96500 C,9650 C,96.5 C,965 C
"In which cell, free energy directly changes into electric energy:",Fuel cell,Leclanche cell,Dry cell,Lead storage cell
Photovoltaic effect is used in,Solar cell,Voltameter,Galvanic cell,Leclanche cell
When lead storage battery is discharged then,H2SO4 is consumed,H2SO4 is regenerated,H2O is used,PbO2 is used
An electric current of 0.5 A was passed through acidulated water for one hour. Calculate the volume of hydrogen at NTP produced 1C of electricity deposits 0.00001 gm of hydrogen?,0.2016 L,0.1 L,0.5 L,0.6 L
The emf of a galvanic cell can situating the couples of Zn/Zn(2+)  [0.76] & Cu/Cu(2+) [–0.34v] is,1.1 v,–1.1 v,0.42 v,–0.42 v
The device which converts chemical energy of fuel directly into electrical energy is:,Fuel cells,Galvanic cell,Concentration cell,Both (b) and (c) are correct
Which of the following is reduced by hydrogen,Ag,Mg,Al,Fe
A smuggler couldn't carry gold in iron box because,Reduction potential of gold is higher than of iron,Iron forms rust,Gold is denser,Reduction potential of iron is higher than of gold
During discharge of lead storage battery,H2SO4 is consumed,H2SO4 is formed,PbO2 is formed,H2SO4 conc. remains constant
The number of electrons passing per second through cross-section of copper wire carrying 10^(-6) amperes of current is found to be:,6 x 10^12,1.6 x 10^19,6 × 10^35,6 x 10^16
On passing 3 amperes of electricity for 50 minutes 1.8 gram metal is deposited. The equivalent mass of metal is?,19.30,20.533,25.80,30.70
"If a salt bridge is removed bet"" two half cells, the voltage will:",Drops to zero,Does not change,Increase gradually,Increase rapidly
Reference electrode is,Hg2Cl2,MgSO4. 7H20,CaSO4. ½H₂O,CaSO4
Saturated solution of KNO3 is used to make salt bridge because,Velocities of both K(+) and NO3 are nearly the same,Velocity of K(+) is greater than that of NO3,Velocity of NO3 is greater than that of K(+),KNO3 is highly soluble in water
As lead storage battery is charged,Sulphuric acid is regenerated,Lead dioxide dissolves,Lead electrode becomes coated with lead sulphate,The concentration of sulphuric acid decreases
"In the electrolytic cell, flow of electrons is from",Anode to cathode through internal supply,Cathode to anode in the solution,Cathode to anode through external sypply,Cathode to anode through internai supply
"Saturated solution of KNO3 is used on ""Salt-bridge"" because:",Velocity of both K+ and NO3– are nearly the same,KNO3 is highly soluble in water,Velocity of K+ is greater than NO3–,Velocity of NO3– is greater than K+
"An aqueous solution of Na2SO4 is electrolysed by using inert electrodes, the products at cathode and anode are respectively:",H2 and O2,O2 and H2,O2 and Na,O2 and SO2
"If the electricity cost of deposit of 1 gm of Mg is Rs. 5, then how much will it cost to deposit 10 gm of Al?",Rs. 66.66,Rs. 44,Rs. 44.44,Rs. 55.55
Reference electrode is:,calomel electrode,H-electrode,Pt-electrode,All of the above
What happen when secondary cell is discharged?,PbSO4 is formed,H2SO4 is formed,PbSO4 is consumed,None
True about Electrochemical cell:,Electrons flow from cathode to anode,Salt bridges provide cations and ions as replacement,Oxidation occurs at cathode,Reduction occurs at anode
Passage of electric current through plasma is possible because,Na+ and Cl– the carriers of charge are free to move,"Na+ , Cl– and albumen are restricted in movement",Albumen and prothrombin are free to move,Na+ and Cl– the carriers of change are not free to move
True about conductance:,Less viscosity results in more complete dissociation into ions and therefore more conductance,Metallic conductance depends upon movement of ions and it increases with the rise of temperature,Less solute results in less interionic attractions therefore less conductance,Electrolyte conductance depends upon electron movement and decreases with the rise of temperature
In electrolysis when the terminals of battery are interchanged then,electrolysis is stopped,the rate of evolution of gas increases,the rate of evolution of gas decreases,the rate of evolution of gases remains same
When 1.5 faraday is passed through NiCl2 solution during electrolysis no. of gram equivalent of Nickel found,1.5,3,1,0
"If same amount of charge is passed through two electrolytes of ZnCl2 and AICI3 and the weight of Al deposited is 13.5 gm, what weight of Zn is deposited ?",47.25 gm,63.5 gm,26 gm,13.5 gm
"If the reduction potential is in the order Ca>Al>Cu and a solution of Al(NO3)3 is stirred with copper rod, what will happen?",Nothing will appear,Al and Cu both dissove,Copper will precipitate out,Silver will precipitate out
"If the reduction potential is in the order Ca>Al>Cu and a solution of Al(NO3)3 is stirred with copper rod, what will happen?",Nothing will appear,Al and Cu both dissove,Copper will precipitate out,Silver will precipitate out
Faraday constant,Universal constant,Depend on the current,Depend on the temperature,Depend on charge
Hydrolysis of dilute aq. NaCl was carried out by passing 10 mA current: The time taken for the discharge of 0.01mole of hydrogen at cathode is : (1F = 96500C),19.5×10^4 sec,9.65×10^4 sec,28.95×10^4 sec,38.95×10^4 sec
Why the Zn is galvanized over Fe?,It prevents corrosion by the formation of basic zinc,It's oxidation potential is high,It's reduction potential is high,None
5 faraday of charge is supplied to Aluminum metal. Amount of Al deposited is,45 gm,30 gm,20 gm,50 gm
In Electrolytic cell,Electrons flow from cathode to anode internally,Chemical energy is converted into electrical energy,A non-spontaneous reaction occurs,Electron flows through salt bridge
1 Faraday deals with deposition of 1...... of substance,gm equivalent,Mole,Molecular weight,gm mole
Weight of Cu deposited by 0.5F of electric current through CuSO4 solution is,15.875 gm,31.75 gm,63.5 gm,127 gm
96500 C will liberate,1 gram equivalent of substance,1 mole of substance,1 gram of substance,6 x 10^20 electrons
"When CuSO4 solution is electrolysed, between two electrodes then at anode",Dissolution of Cu takes place,O2 gas is evolved,Metallic copper is deposited,SO2 gas is evolved
Electrolysis of H2O produces 114 ml of O2 at NTP then mass of Hydrogen gas produced is,0.02 g,0.01 g,2g,1g
