question,answer,wrong1,wrong2,wrong3
"Grignard reagent is not prepared in aqueous medium but prepared in ether medium, because",the reagent reacts with water,the reagent is highly reactive in ether,the reagent is insoluble in ether,the reagent becomes inactive in water
Which of the following does not have a metal-carbon bond?,\(Al (OC_{2}H_{5})_ 3\),\(C_{2}H_{5}MgBr\),\(K[Pt(C_{2}H_{4})  Cl_{3}]\),\(Ni (CO) _4\)
"In Grignard reagent, the C-Mg bond is",covalent,dative,electrovalent,hydrogen bonding
Phenyl magnesium bromide reacts with methanol to give,a mixture of benzene and \(Mg(OCH_{3})  Br\),a mixture of phenol and \(Mg(CH_{3}) Br\),a mixture of anisole and Mg(OH)Br,a mixture of toluene and Mg(OH)I
Ethyl alcohol cannot be used as a solvent for methyl magnesium iodide because,methyl magnesium iodide reacts with alcohol giving methane,the reaction between them is explosive in nature,methyl magnesium iodide is converted to ethyl magnesium iodide,alcohol is immiscible with methyl magnesium iodide
Grignard reagents do not show any reactions with,ethers,ketones,water,acid halides
Which of the following compounds will react with Grignard reagent to give primary alcohol?,Methanal,Ethanal,Propanone,Ethyl acetate
Which metal is used in a Grignard reagent?,Mg,Ca,Li,Zn
What type of alcohol is generated in the reaction between ketone and Grignard reagent?,Tertiary alcohol,Primary alcohol,Secondary alcohol,None of these
Grignard reagent reacts with sulphur and forms,Thioalcohol,Hypo,Methyl alcohol,Formic acid
Grignard reagent undergoes,both,nucleophilic addition,nucleophilic substitution,none of the above
Grignard reagents adds to,all of these,> C = 0,-C ≡ N,> C = S
What is the product of the reaction of ethyl magnesium bromide with water?,Ethane,Methane,Propane,Butane
Victor Grignard received Nobel prize in Chemistry in,1912 A.D,1900 A.D,1908 A.D,1916 A.D
Which of the following gives secondary alcohol when treated with Grignard reagents?,\(CH_3CHO\),\(CH_{3}COCH_{3}\),HCHO,\(CH_{4}\)
Which of the following statements is not correct?,The carbon magnesium bond in Grignard reagent is ionic in nature,Organomagnesium halides are called Grignard reagents,"Grignard reagents are non volatile, colourless solids",Tetraethyl lead is an important organometallic compound
Which of the following compounds will react with methyl magnesium bromide to give tert-butyl alcohol?,Acetone,Acetaldehyde,Acetyl chloride,Isopropyl alcohol
,\(C_{6}H_{5}CH_{3}\),\(C_{6}H_{5}CH_{2}OCH_{2}C_{6}H_5\),\(C_{6}H_{5}CH_{2}OH\),\(C_{6}H_{5}CH_{2}CH_{2}C_{6}H_{5}\)
Which of the following compounds gives a ketone with Grignard reagent?,Methyl cyanide,Formaldehyde,Ethyl alcohol,Methyl iodide
\(CO_2\) on reaction with ethyl magnesium bromide gives,Propanoic acid,Ethane,Acetic acid,None of these
"In which of the following organometallic compounds, there is most ionic bond?",RNa,RLi,RMgX,\(R_{2}Cd\)
Which of the following organometallic compound is used as antiknocking agent?,\((C_{2}H_{5}) _4 Pb\),\((CH_{3}) _3 Al\),\((CH _3 ) _2 CuLi\),\((C_{2}H_{5}) _2 Cd\)
The solvent used during preparation of Grignard reagent is,Ether,Alkyl halide,Ester,\(H_{2}O\)
"When two equivalents of Grignard reagent reacts with acid chloride, it gives",3° alcohol,Methyl alcohol,1° alcohol,2° alcohol
Which out of the following is Gilman's reagent?,R₂CuLi,RMgX,\(R_{2}Cd\),RLi
"In Grignard reagent, alkyl part acts as",both a & c,nucleophile,electrophile,base
THF is,an ether,an ester,an acid,an alcohol
Which of the following is not true regarding preparation of Grignard reagent?,Moisture is necessary,Reagents must be dry,Mg turnings should be kept,Alkyl halide is dried with \(P_2O_5\)
,RCH₂CH₂OH,RCHOHR,\(RCHOHCH_3\),\(R_2CHCH_2OH\)
The addition of the Grignard reagent \(CH_{3}MgBr\) to acetaldehyde is a nucleophilic addition to the carbonyl group. The nucleophile in this reaction is,\(^ - : CH_{3}\),\(CH_{3}CHO\),\(^+CH_3\),\(Br^-\)
Most ionic bond with carbon is of,K,Na,Li,Mg
Carbonation of Grignard reagent gives,Carboxylic acid,Ketone,Alcohol,Alkane
,,,,
Ferrocene is,\(Fe (C_{5}H_{5})_ 2\),\([Fe (CN) _6 ]^{ 3-}\),\([Fe (CN) _6 ]^ {2-}\),\(Fe (CO)_ 4\)
Compound used in cancer treatment,cis-platin,trans-platin,Grignard reagent,TEL
"Carbonyl chloride is changed to acetone, the organic metallic compound used is",Lithium dimethyl cuprate,Lithium diethyl cuprate,Sodium ethyl chloride,Sodium dimethyl chloride
