question,answer,wrong1,wrong2,wrong3
In Schottky defect:,equal no of cations and anions are missing from interstitial spaces,equal no of cations and anions occupy interstitial space,density decreases,unequal no of cations and anions are missing from interstitial spaces
A saturated solution of sodium chloride on heating becomes,unsaturated,supersaturated,saturated,no changes takes
"A solid has a very high melting point,is very hard, and its liquid is non-conducting. The solid is",a covalent network solid,a molecular solid,a metallic solid,an ionic solid
A substance has very high melting point and generally very hard and does't conduct electricity in liquid state is,Covalent crystal,Molecular crystal,Metallic crystal,Ionic crystal
The crystal for which a=b=c and a=ß=¥ is,Cubic,Monochlinic,Hexagonal,Orthorhombic
"The crystal system for which a=b≠c 

α=ß=90°,Γ=120° is",hexagonal system,cubic system,triclinic system,monoclinic system
If a ≠ b ≠ c and α=β=Γ then in which type of crystal it represents,Orthorhombic,Cubic,Monoclinic,Triclinic
"NaCl is ionized by the following method 

NaCl→Na+ +Cl-. Each Na+ ion is surrounding by .........Cl- ion",6,4,8,12
The perfect crystal should have,Zero entropy at room temperature,Minimun free energy,Particles vibrating only at their specific position in crystal lattice,Particles at rest perfectly in their crystal lattice
Which one is not crystalline solid?,Polyurethane,Copper,Benzoic acid,KNO3
Diamond is an example of,terahedral crystal,octahedral crystal,decahedral crystal,hexagonal crystal
The coordination no of hexagonal closed packing is,8,6,12,3
Diamond has,Tetrahedral geometry,Octahedral geometry,Hexagonal geometry,Linear geometry
Which of the following pairs of salts are isomorphous ?,"MgSO4 , ZnSO4","ZnSO4 , CaSO4","CaSO4 , FeSO4","FeSO4 , CaSO4"
A solid cube crystal has ionic form A+B- having ionic radius of A+ = 1cm and that of B- = 2cm. The volume of cubic crystal is:,216cm3,64cm3,125cm3,27cm3
How many four folds axes are three fold are there in cubes respectively?,"3 , 3","1 ,1","2 , 3","4 , 3"
"In a crystal of NaCl, sodium ion is surrounded by",6 Cl-,6 Cl atom,12 Cl atom,12 Cl-
In which of the following defects electrical conductivity decreases?,Schotty defect,Frenkel defect,Metal excess defect,F-Center
Density of a crystal remains unchanged as a result of,Frenkel defect,Ionic defect,Schottky defect,Crystal defect
Schkotty defect is shown by the compound having following characters EXCEPT,compounds having high C.N.,compounds having low C.N.,generally found in strong ionic compounds,examples are NaCl and CsCl
Schkotty defect is shown by the compound having following characters EXCEPT,compounds having high C.N.,compounds having low C.N.,generally found in strong ionic compounds,examples are NaCl and CsCl
Description and coordination number of NaCl structure :,"CCP arrangement of Cl, Na in all octahedral sites and coordination number Na=6, Cl=6","CCP arrangement of Cl, Na in all tetrahedral sites and coordination number Na = 6, Cl=3","CCP arrangement of Cl, Na in all octahedral sites and coordination number Na=3, Cl=6","CCP arrangement of Cl, Na in all tetrahedral sites and coordination number Na=6, Cl=6"
The proof for the phenomena of crystals dissociating into the ions when dissolved in water:,Molecular forces are weakened by solvent,Ionisation also takes place in some others solvents then water,Electrostatic forces play a role in case of compounds with tetrahedral configuration,Property of solvents  differs as far as solubility is concerned
The metal crystallizes in ABCABC packing in unit cell is:,Face-centered cube,Hexagonal,Tetragonal,Body-centered cube
Which of the following is a covalent crystal?,Quartz,Dry ice,Rock salt,Ice
An ionic compound has a unit cell consisting of A ions at the corners of a cube and B ions on the centeres of faces of the cube. The emprical formula of the compund would be :,AB3,AB,A2B,AB2
Body-centered cubic lattice has C.N. of,8,4,6,12
"In face centered cubic crystal, the coordianation number is",12,4,6,8
"In face centered cubic crystal, the coordianation number is",12,4,6,8
Diamond is,Covalent Crystal,Metallic crystal,Electrovalent crystal,Ionic crystal
A convex lens of focal length f produces a virtual image n time the size of the object then the distance of the object from the lens is,{(n-1)/n}f,(n-1)f,(n+1)f,{(n+1)/n}f
A convex lens of focal length f produces a virtual image n time the size of the object then the distance of the object from the lens is,{(n-1)/n}f,(n-1)f,(n+1)f,{(n+1)/n}f
"A concave lens of focal length f produces an image 1/n th of the size of the object , the distance of the object from the lens is",(n-1)f,(n+1)f,{(n-1)/n}f,{(n+1)/n}f
"The plane face of a plano-convex lens is silvered. If µ be the refractive index and R the radius of curvature of the curved surface, then the system behaves like a concave mirror of radius :",R/(µ-1),R/µ,Rµ,R(µ-1)
The distance between the convex lens and a plane mirror is 10cm. The parallel rays of light are incident on the convex lens.After reflection from the plane mirror the final image is formed at the optical centre of the lens. The focal length of the lens is,20cm,10cm,40cm,5cm
A convex lens of focal length 20cm is placed co-axially with a concave lens of focal length 5cm. A parallel beam of light is incident on convex lens leaves the concave lens as parallel beam. Then the separation in between the two lenses is,15cm,5cm,10cm,20cm
A thin lens of focal length f has its aperture of diameter d. It forms an image of intensity I. Now the central part of the aperture upto diameter (d/2) is blocked by an opaque paper. The focal length and image intensity would change to,"f, 3I/4","f/2 , I/2","f , I/4","3f/4 , I/2"
An object is placed at a distance of 20cm from a convex lens of focal length 10cm. The image is formed at a distance,20cm on the other side of lens,20cm on the same side of lens,20/3 cm on the same side of lens,20/3 cm on the other side of lens
"Two thin lenses of focal length f1 and f2 are placed at distance 'd' between them. For the power of the combination to be zero, the seperation d is",f1+f2,f1-f2,f1/f2,(f1f2)^1/2
A concave lens of focal length f1 is placed in contact with concave lens of focal length f2. The combination will act as a convergent lens if,f1<f2,f1>f2,f1=f2,f1>2f2
A convex lens of power +6D is placed in contact with a concave lens of power -4D. What is the nature and focal length of the combination ?,convex 50cm,concave 25cm,concave 20cm,convex 100cm
"If a plano-convex lens of radius of curvature of convex surface is 10cm and the focal length of the lens is 30 cm , the refractive index of the material of the lens will be",1.33,1.5,1.66,3
A double convex thin lens made of glass of (refractive index µ= 1.5) has both radii of curvature of magnitude 20cm. Incident light rays parallel to axis of the lens will converge at a distance L from the lens such that :,L= 20cm,L= 10cm,L=40cm,L=20/3 cm
If a lens of focal length f made of glass of refractive index 5/3 is placed in a liquid of refractive index 10/7 then focal length of the lens becomes,4f,f,2f,-4f
"fv and fr are the focal lengths of a convex lens for violet and red light respectively and Fv and Fr are the focal length of concave lens for violet and red light respectively, then we must have",fv<fr and Fv<Fr,fv<fr and Fv>Fr,fv>fr and Fv>Fr,fv>fr and Fv<Fr
An equiconvex lens of glass of focal length 0.1m is cut along a plane perpendicular to principal axis into two equal parts. The ratio of focal lengths of new lenses formed is,1:1,1:2,2:1,2 : ½
"A symmetric double convex lens is cut into two equal parts by a plane perpendicular to the principal axis. If the power of the original lens is 4D , the power of a cut lens will be",2D,3D,4D,8D
The focal length of a plano-convex lens is equal to radius of a curvature of its curved surface. Then refractive index of lens material is,2,1.33,1.5,1.6
"The rays of light from a luminous object are focused at a point A. If a convex lens of focal length 30cm is put at a distance 30cm from the point A such that the rays fall upon the lens before focusing at the point A. If now, the rays are focused at point B,what is the distance AB?",15cm,45cm,22.5cm,30cm
"A convex lens make a real image 4cm long on a screen.When the lens is shifted to a new position without disturbing the object and the screen, a real image is again formed on the screen , which is 16cm long. The length of the object must be",8cm,64cm,10cm,6cm
"An object and a screen are fixed at certai distance. When a convex lens is moved from object to the screen , real image of magnification 2 and 1/2 are formed on the screen for two positions of lens seperated by 30cm. Then focal length of the lens will be",20cm,10cm,30cm,60cm
"A lens forms a real image of an object on a screen placed at a distance of 100cm from the object. If the lens is moved by 20cm towards the screen, another image of the object is formed on the screen.The focal length of the lens is",24cm,12cm,50/3 cm,46cm
If R1 and R2 are radius of curvature of a convex lens. Then maximum power will be when,R1=R2=5cm,"R1 =10cm , R2 = ∞","R1 = ∞, R2 =10cm",R1=R2=10cm
"An object ofo height 1.5cm is placed on the axis of a concex lens of focal length 25cm. A real image is formed at a distance of 75cm from the lens, the size of the image will be",3.0cm,4.5cm,0.75cm,0.5 cm
A concavo-convex lens has radii of its faces 40cm and 20cm.It is made of material of refractive index 1.5 .The focal length of lens is:,80cm,40cm,-80cm,80/3 cm
"An aeroplane is fitted with a camera containing a lens of 5cm focal length. In order to photograph a strip of 5ccm. terrain 1km long on a film strip, the aeroplane would fly at an approximate height of",1km,2km,3km,4km
An aeroplane is flying at a height of 1500m. It has a camera having convex lens of focal length 45cm with photographic plate 30cm* 30cm. How much area on the ground can be photographed at one time?,10^6 m²,10³ m²,10^4 m²,10^5 m²
