question,answer,wrong1,wrong2,wrong3
pH of 0.25% NaOH solution is,a,b,c,d
Atmosphene pressure at 100° Celsius is,760,750,c,d
Bohr model couldn't explain,Stark and Zeeman effect,Atomic spectra,c,d
Lindlar catalyst convert alkyne to,Cis alkene,Trans alkene,Alkane,d
Which of the following has zero dipole moment?,CCl4,CHCl3,CH2Cl2,CH3Cl
"The experimental data for the reaction 

2P + Q2 →2 PQ",a,b,c,d
The carbon having sph hybrized connected each other by,2 bonds,3 bonds,4 bonds,5 bonds
Oxidation no. of H2SO4 is,+6,+5,+4,+7
If the air pollution then the concentration in ppm is,10 ppm,100 ppm,1000 ppm,10000 ppm
Which one of the fillowing is correct?,I > I(-) > I(+),I(-) > I > I(+),I(+) > I > I(-),I > I(+) > I(-)
"Removal of oxygen is called""",Reduction,Oxidation,Dehydration,Decarboxylation
