question,answer,wrong1,wrong2,wrong3
Which one of the following belongs to the family Muscidae?,House fly,Fire fly,Grasshopper,Cockroach
Succus entericus is referred to as:,Intestinal juice,Pancreatic juice,Gastric juice,Chyme
"Persons with 'AB' blood group are called as ""Universal recipients"". This is due to :","Absence of antibodies, anti-A and anti-B, in plasma",Absence of antigens A and B on the surface of RBCs,Absence of antigens A and B in plasma,"Presence of antibodies, anti-A and anti-B, on RBCs"
Which enzyme is responsible for the conversion of inactive fibrinogens to fibrins?,Thrombin,Renin,Epinephrine,Thrombokinase
The partial pressures (in mm Hg) of oxygen (O2 ) and carbon dioxide (CO2 ) at alveoli (the site of diffusion) are:,pO2 = 104 and pCO2 = 40,pO2 = 40 and pCO2 = 45,pO2 = 95 and pCO2 = 40,pO2 = 159 and pCO2 = 0.3
"In a cross between a male and female, both heterozygous for sickle cell anaemia gene, what percentage of the progeny will be diseased?",25%,50%,75%,100%
". Chronic auto immune disorder affecting neuro muscular junction leading to fatigue, weakening and paralysis of skeletal muscle is called as:",Myasthenia gravis,Arthritis,Muscular dystrophy,Gout
Which of the following RNAs is not required for the synthesis of protein?,siRNA,mRNA,tRNA,rRNA
"If Adenine makes 30% of the DNA molecule, what will be the percentage of Thymine, Guanine and Cytosine in it?",T : 30 ; G : 20 ; C : 20,T : 20 ; G : 30 ; C : 20,T : 20 ; G : 20 ; C : 30,T : 20 ; G : 25 ; C : 25
Receptors for sperm binding in mammals are present on :,Zona pellucida,Corona radiata,Vitelline membrane,Perivitelline space
"Read the following statements

(a) Metagenesis is observed in Helminths.

(b) Echinoderms are triploblastic and coelomate animals.

(c) Round worms have organ-system level of body organization.

(d) Comb plates present in ctenophores help in digestion.

(e) Water vascular system is characteristic of Echinoderms.

Choose the correct answer from the options given below.","(b), (c) and (e) are correct","(c), (d) and (e) are correct","(a), (b) and (c) are correct","(a), (d) and (e) are correct"
Erythropoietin hormone which stimulates R.B.C. formation is produced by:,Juxtaglomerular cells of the kidney,Alpha cells of pancreas,The cells of rostral adenohypophysis,The cells of bone marrow
