question,answer,wrong1,wrong2,wrong3
Paramecium belongs to class:,Ciliata,Sarcodina,Sporozoa,Rhizopoda
Paramecium occurs in:,Fresh stagnant water,Fresh running water,Moist land,Marine water
Food of Paramecium is:,Bacteria,Amoeba,Euglena,Phtoplanktons
Locomotory organ in Paramecium is:,Cilia,Flagella,Trichocysts,All
Food vacuole in Paramecium are:,Numerous,One in number,Two in number,None
Paramecium is covered by:,Pellicle,Cilia,Cell wall,Cell membrane
Mode of nutrition and digestion in Paramecium are:,Holozoic and intracellular respectively,Saprozoic and intercellular,Intracellular and holozoic respectively,None
Trichocysts help in:,Both b and c,Osmoregulation,Offence,Defense
Osmoregulation in Paramecium is performed by:,Contractile vacuole,Micronuclei,Cytopyge,Radiating canals
Nuclear dimorphism is found in:,Paramecium,Amoeba,Plasmodium,Earthworm
Contractile vacuoles in Paramecium are:,Two in nunber,One in number,Numerous,None
Excretion in Paramecium:,Takes place through general body surface but done by contractile vacuole,Takes place by general body surface but done through contractile vacuole,Both,None
Vegetative or metabolic activity in Paramecium is controlled by:,Macronucleus,Micronucleus,Trichocysts,Idiochromatin
Macronucleus is:,Large and polyploid,Small and haploid,Round and haploid,None
Iodochromatin and trophochromatin are found in:,Micro and macro nuclei respectively,Macro and micro nuclei respectively,Both,None
Streaming movement of cytoplasm of Paramecium is termed as:,Cyclosis,Rotation,Obliteration,Homeostasis
In Paramecium cyclosis is associated with:,Digestion,Circulation,Locomotion,Excretion
Genetic information in Paramecium is stored in:,Micronucleus,Macronucleus,Both,Mitochondria
Asexual reproduction in Paramecium takes place by:,Transverse binary fission,Longitudinal binary fission,Oblique binary fission,Multiple binary fission
In favorable condition Paramecium divides by:,Binary fission,Conjugation,Fragmentation,All
Which species of Paramecium contains 3 nuclei:,P.aurelia,P.caudatum,P.polycaspum,None
Which one of the following involve exchange of genetic material?,Conjugation,Binary fission,Endomixis,Encystment
Conjugation in Paramecium occurs for:,Both a and b,Sexual reproduction,Rejuvenation,Multiplication
Which of the following corresponds to self fertilization?,Autogamy,Cytogamy,Endomixis,Hemixis
Contractile vacuole of Paramecium are analglogous to:,Uriniferous tubules,Sweat glands of mammals,Gastrovascular cavity of hydra,Typhlosole of earthworm
Which protist reproduces both by binary fission and conjugation?,Paramecium,Amoeba,Euglena,Plasmodium
Egestion in Paramecium occurs through:,Cytoproct,Mouth,Anus,General body surface
Respiration occurs through:,General body surface,Contractile vacuole,Both,Vacuoles
Which is a filter feeder?,Paramecium,Spider,Euglena,Amoeba
Paramecium swims in:,Spiral path,Zigzag path,Circular path,Straight path
Paramecium is distinguish into:,Oral or ventral surface and an aboral or dorsal surface,Oral or dorsal surface and an aboral or ventral surface,Not divisible into ventral and dorsal surface,None
Food is digested in Paramecium in medium:,First acidic than alkaline,First alkaline than acidic,Neutral medium,Only acidic
Oral groove is found placed:,Ventrolaterally,Ventrally,Dorsally,Dorsolaterally
Paramecium contains two types of nuclei which are:,One macro and one or more micronuclei,Two micronuclei,One micro nuclei and one or more  macronuclei,Two macronuclei
During binary fission in Paramecium:,Both a and b,Micronucleus divides mitotically,Macronucleus divides amitotically,Micronucleus divides amitotically and macronucleus divides mitotically
Conjugation in Paramecium involves the change of:,Micronuclei,Macronuclei,Both,None
During conjugation macronucleus:,Degenerates,Divides mitotically,Divides amitotically,None
In Paramecium:,Posterior contractile vacuole works faster than anterior,Anterior contractile vacuole works faster than posterior,Both works equally,None
Which of the following corresponds to parthenogenesis?,Endomixis,Autogamy,Cytogamy,Amphixis
