question,answer,wrong1,wrong2,wrong3
Technique of growing plant cells or tissues in an artificially prepared nutrient medium is,Tissue culture,Protoplast culture,Gene transfer,Hybridoma technology
The first product of ancient biotechnology was,Alcohol,Vinegar,Acetic acid,Yoghurt
Which of the following is used in developing transgenic plants?,Agrobacterium tumefaciens,Rhizobium sp.,Bacillus subtilis,Pseudomonas
Yeast is an important source of,Riboflavin,Vitamin C,Sugars,Proteins
Baker's yeast is,S. cerevisae,S. ludwingii,S. octosporus,Schizosaccharomyes
Citric acid is obtained from,Aspergillus niger,Rhizobium nigricans,Penicillium citrinum,Lactobacillus vulgaricus
Pasteurization is heating at,60° - 70° for 30 minutes,120° for 60 minutes,80° for 30 minutes,70° for 60 minutes
Which of the following is used in  blood transfusions?,Dextran,Insulin,Lactic acid,Cheese
Germinating barley seeds are used in preparation of,Beer,Lactic acid,Wine,Cheese
A molecule of insulin contains amino acids,51,21,30,60
Strains of Bacillus thuringiensis (Bt)are used in producing,Bioinsecticidal plants,Biomineralisation,Biometallurgical techniques,Biofertilizers
First antibiotic isolated was,Penicillin,Streptomycin,Erythromycin,Neomycin
Penicillin is commercially produced from,P. chrysogenum,P. notatum,P. griseofulvin,P. roqueforti
Most of the antibiotics are obtained from,Actinomycetes,Fungi,Algae,Virus
Interferons are,Glycoproteins,Carbohydrates,Proteins,Lipids
Vaccine developed through recombinant DNA technology are,Second generation vaccines,First generation vaccines,Third generation vaccines,All of these
Typhoid vaccine is an example of,Killed vaccine,Toxoid,Attenuated living vaccines,Antibodies
Amniocentis is used for determining,Herediatry disease of embryo,Heart disease,Brain disease,All of these
Aquatic fern which is an excellent biofertilizer is,Azolla,Salvinia,Marsilea,Pteridium
VAM is important for,Phosphate nutrition,Water uptake,Yield decrease,Retards flowering
Which one is a free living aerobic non photosynthetic nitrogen fixing bacterium?,Azotobacter,Anabaena,Azospirillium,Rhizobium
The material of biological origin used for maintaining and improving soil fertility is,Green manure,Fertilizer,Bionutrient,Biopesticide
Nitrogen fixation is,Nitrogen - Ammonia,Nitrogen - Nitrates,Nitrogen - Amnio acids,Both a and b
Which element plays an important role in nitrogen fixation ?,Mn,Mo,Zn,Cu
The most common endomycorrhiza is,Aspergillus niger,Syntritium endobioticum,Claviceps purpurea,Ustilago
Rejection of transplanted organ is due to,T-cell,B-cell,Eosinophils,Neutrophils
Which one of the graft is most successful?,Corneal graft,Heart graft,Skin graft,Lung graft
Polyethyleneglycol (PEG) is used in,Protoplast culture,Tissue culture,Mutation,Haploid culture
Heterosis is,Hybrid vigour,Hybrid sterility,Hybrid incompatibility,Hybrid inviability
Triticum aestivum is,Hexaploid,Allopolyploid,Heteropolyploid,Autopolyploid
"For producing protoplasts from plant cells, which of the following are required?",Cellulase and pectinase,Amylase and pectinase,Cellulase and proteinase,Cellulase and amylase
Haploid plants are obtained by culturing,Pollen grain,Root tip,Endosperm,Young leaves
Axenic culture is,Culture without contamination,Culture without a nutrient,Culture of a gene,Culture of tissue
PCR stands for,Polymerase chain reaction,Polymerase cyclic reaction,Polyethyl cytosine reaction,Polymerization chain reaction
Advancement in genetic engineering has been possible due to,Endonucleases,Oncogenes,Exonucleases,Transposons
Two bacteria found to be very useful in genetic engineering experiments are,Escherichia and Agrobacterium,Nitrosomonas and Klebsiella,Nitrobacter and Azotobacter,Rhizobium and diplococcus
"'Molecular Scissors"" used in genetic engineering is",Restriction endonuclease,DNA polymerase,DNA ligase,Helicase
Which microorganism is used in the preparation of dextran?,Leuconostoc,Torulopsis,Rhizopus,Lactobacillus
Plasmids are used in genetic engineering because they are,Able to replicate,Easily available,Able to integrate,Inert
Morphine from opium is,Alkaloid,Tannin,Resin,Gum
Margarine is prepared from,Coconut,Almond,Groundnut,Cashewnut
Chilgoza is got from,Pinus,Cycas,Brassica,None of these
Drug ephedrine is got from which part of ephedra plant,Leaves,Flowers,Roots,Stems
Belladona is obtained from,Atropa,Rauwolfia,Papaver,Aconitum
