question,answer,wrong1,wrong2,wrong3
Heart beat rate is maximum in a normal,Fetus,New born,Adults,Old age
The pH of blood ranges from,7.35 - 7.45,6.35 - 6.45,7,7.25 - 7.35
The strongest buffer system of blood is,Bicarbonate buffer,Protein buffer,Haemoglobin buffer,None
Albumin is one of the plasma proteins synthesized in,Liver,Adrenal gland,Spleen,Pancreas
Blood colloidal osmotic pressure is mainly maintained by which plasma protein:-,Albumin,Globulin,Fibrinogen,Prothrombin
Blood proteins connected with antibodies are,Gamma globulins,Albumins,β-globulins,α-globulins
Formation of bloods cells is known as,Haemopoiesis,Erythropoiesis,Haemolysis,Haemostasis
Squeezing of leucocytes out from the capillary wall to fight foreign agents in known as,Diapedesis,Diapause,Diaphysis,Diakinesis
The largest phagocytic cells of the blood are,Monocyte,Lumphocyte,Neutrophil,Basophil
Phagocytic cells of connective tissue is,Histiocytes,Microglia,Mesangial cells,Langerhans cells
Which of the following is not phagocytic?,Lymphocytes,Neutrophils,Monocytes,Eosinophils
Micropolice man of blood:-,Neutrophil,Basophil,Eosinphil,Lymphocyte
Eosinophilia is caused by:-,All of above,Teniasis,Ascariaris,Hay fever
Ratio WBC / RBC in human blood:-,1 : 500,1 : 100,1 : 200,500 : 1
In the embryonic stage develops in,Liver and spleen,Liver and pancreas,Spleen and kidney,Liver and Kidney
Human RBC are,"Biconcave, plate-like and non-nucleated",Nucleated and biconvex,"Round, nucleated",Ovalnon-nucleated
What is the size of the RBC?,7u,20u,15u,2u
"At high altitude, the RBC's in human blood will",Increase in number,Increase in size,Decrease in size,Decrease in number
Which is not the true cell?,Platelets,RBC,WBC,Neuron
Which is needed for hemostasis?,All of the above,Platelets,Vitamin K,Calcium
Lymph is,Both b & c,Blood-RBC-clotting factors,Blood-RBC,Serum + Clotting factors
Serum is,Blood minus corpuscles and fibrinogen,Blood minus fibrinogen,Lymph minus corpuscles,Lymph
The blood group in man was discovered  by,Landsteiner,Mendel,Francis Melton,S.Milton
Blood group are named because of the antigen A and B present in/on,RBC,Plasma,WBC,Platelets
Which of the following is universal donor,O -ve,O,A,AB
'O' blood group is a universal donor because the blood has,No antigens,Antigen A,Antigen B,Both A & B antigens
Blood group B means the person,Can not form antibody for B,Can form antibody for B,Can receive blood AB group,Can not receive blood group O
Rh factor is named after,Monkey,Drosophila,Rat,Man
"If a man is Rh+ and lady is Rh-, then","The first child will survive, second will die",The first child die,No child will be born,All will die
Which of these has a closed type of circulatory system:-,Fish,Cockroach,Mollusca,Scorpion
Single heart circuit occurs in:-,Fishes,Frog,Reptiles,Man
Heart of man is,Myogenic,Cardiogenic,Neurogenic,Digenic
Heart is present in as anatomical location called,Mediastinum,Thorax,Left hypochondriac,Right hypochondriac
Heart is covered by,Pericardium,Peritoneum,Pleura,Visceral
Heart wall is made up of,All,Myocardium,Epicardium,Endocardium
Which has the thickest wall?,Left ventricle,Right atrium,Right ventricle,Left atrium
Fossa linata is present in . .,Left atrial wall,Right atrial wall,Right ventricular wall,Left ventricular wall
Ventricles are found in,Both heart and brain,Heart,Lungs,Spleen
The thick muscular projections on the walls of the ventricle are called,Columnae carnage,Truncus arteriosus,Conus arteriosus,Chrodae tendinae
Chordae tendinae are found in,Ventricles of heart,Ventricles,Joints,Ventricles of brain
Haversian valve guides .,SVC,IVC,Coronary Sinus,Pulmonary Veins
Pacemaker of Hearts is situated,In the wall of right atrium,On the interventricular septum,On the inter auricular septum,In the wall of left atrium
Pathway of myogenic impulse conduction is,SAN→AVN→Bundle of HIS→Purkinje fibres,SAN→AVN→Purkinje fibres→Bundle of HIS,AVN→SAN→Bundle of HIS→Purkinje fibres,None
Velocity of impulse is maximum in,Purkinje fibers,SA node,AV node,Bundle of HIS
Heart beat rate is maximum in a normal,Foetus,New born,Adults,Old age
Find the wrong match . . ..,Q wave- Ventricular Repolarization,P wave-Atrial Depolarization,QRS Complex- Ventricular Depolarization,T wave- Ventricular Repolarization
The duration of the ventricular diastole in a normal cardiac cycle is,0.5 second,0.3 second,0.4 second,0.1 second
The amount of stroke volume is,70 ml,70 l,6 l,50 ml
Cardiac output is the bloods,Pumped by each ventricle per minute,Received by heart per minute,Pumped by ventricle per sec,Pumped by left ventricle per hour
Which one is the first heart sound?,Lubb during closure of atrioventricular valves,Lubb during closure of semilunar valves,Dub during closure of atrioventricular valves,Dub during closure of semilunar valves
Which blood vessel carries maximum urea?,Hepatic vein,Hepatic portal vein,Hepatic artery,Renal vein
A single artery connecting pulmonary aorta and systemic aorta during the embryonic stage is,Ductus arteriosus,Fossa ovalis,Inter aortic artery,Ligamentum artery
To which organ does femoral artery supply blood?,Dorsal part of thigh,Rectum,All parts of hind limb,Ventral part of hind limb
A portal system is one in which,None,A vein starts from an organ and ends up in hearts,A vein starts from an organ and ends up in another organ,A vein starts from heart and ends up in lungs
pH of blood is,More in arteries than in veins,More in veins than in arteries,Same in both arteries and veins,Variable
