question,answer,wrong1,wrong2,wrong3
1. HUMAN SCLERA IS ................,A. OPAQUE,B. TRANSLUCENT,C. TRANSPARENT,D. NON OF THE ABOVE
HUMAN SCLERA IS DERIVED FROM,A. MESODERM,B. SURFACE ECTODERM,C. NEUROECTODERM,D. ALL
3. COLOUR OF SCLERA IN ADULT HUMAN BEING IS,A. WHITE,B. BLUE,C. YELLO,D. GREEN
4. HOW MANY LAYER ARE PRESENT IN SCLERA,C. 3,A. 1,B. 2,D. 4
5. INFLAMMATION OF SCLERA IS,A. SCLERITIES,B. EPISCLERITIEIS,C. STAPHYLOMA,D. KERATITIS
6. IN WHICH CONDITION SCLERA SEEN BLUE COLOUR,B. OSTEGENESIS IMPERFECTA,A. ALKAPTONURIA,C. LOWES SYNDROME,NON OF THE ABOVE
7. STAPHYLOMA REFERS,A. BULGING OF UVEAL TISSUE,B. BULGING OF LENS,C. BULGINGOF RETINA,D. ALL OF THE ABOVE
8. SCLERA  COVERS......... PART OF THE EYEBALL,b. 5/6 th,A. 6/6 th,c. 4/6th,1/ 6 th
9. in childre sclera is ...... in colour?,B. BLUE,A. WHITE,C. YELLOW,D. RED
10. SCLERA IS THINNEST AT,D. ALL THE REGION OF EXTRAOCULAR MUSCLE INSERTION,A. POSTERIOR POLE,B. EQUATOR,C. CORNEOSCLERAL JUNCTION
11. VASCULAR LAYER OF SCLERA IS.........,A. EPISCLERA,B. SCLERA PROPER,C. LAMINA FUSCA,D. ALL OF THE ABOVE
12. INNERMOST LAYER OF SCLERA IS,A. LAMINAL FUSCA,B. SCLERA PROPER,C. EPISCLERA,D. CHOROID
13. ALL ARE TRUE SCLERA EXCEPT,C. SCLERA IS THINNER IN THE OPTIC NERVE,A. SCLERA IS THICKER IN MALES THSN FEMALES,B. SCLERA COVER 5/6 th PART OF THE EYEBALL,D. SCLERITIS IS THE INFLAMMATION OF SCLERA PROPER
