question,answer,wrong1,wrong2,wrong3
"A convex lens 'A' of focal length 20 cm and a concave lens 'B' of focal length 5 cm are kept along the same axis with a distance 'd' between them. If a parallel beam of light falling on 'A' leaves 'B' as a parallel beam, then the distance 'd' in cm will be",15,25,50,30
"The effective resistance of a parallel connection that consists of four wires of equal length, equal area of cross-section and same material is 0.25 Ω. What will be the effective resistance if they are connected in series?",4 Ω,0.25 Ω,0.5 Ω,1 Ω
"A cup of coffee cools from 90°C to 80°C in t minutes, when the room temperature is 20°C. The time taken by a similar cup of coffee to cool from 80°C to 60°C at a room temperature same at 20°C is",13/5 t,13/10 t,10/13 t,5/13 t
"The number of photons per second on an average emitted by the source of monochromatic light of wavelength 600 nm, when it delivers the power of 3.3 × 10–3 watt will be (h = 6.6 × 10–34 J s)",10^15,10^18,10^17,10^16
An infinitely long straight conductor carries a current of 5 A as shown. An electron is moving with a speed of 105 m/s parallel to the conductor. The perpendicular distance between the electron and the conductor is 20 cm at an instant. Calculate the magnitude of the force experienced by the electron at that instant.,8 × 10–20 N,4 × 10–20 N,8π × 10–20 N,4π × 10–20 N
"A body is executing simple harmonic motion with frequency 'n', the frequency of its potential energy is",2n,n,3n,4n
"If force [F], acceleration [A] and time [T] are chosen as the fundamental physical quantities. Find the dimensions of energy",[F][A][T2],[F][A][T],[F][A][T–1],[F][A–1][T]
"A nucleus with mass number 240 breaks into two fragments each of mass number 120, the binding energy per nucleon of unfragmented nuclei is 7.6 MeV while that of fragments is 8.5 MeV. The total gain in the Binding Energy in the process is",216 MeV,0.9 MeV,9.4 MeV,804 MeV
A lens of large focal length and large aperture is best suited as an objective of an astronomical telescope since,All of the above,A large aperture contributes to the quality and visibility of the images.,A large area of the objective ensures better light gathering power,A large aperture provides a better resolution.
A spring is stretched by 5 cm by a force 10 N. The time period of the oscillations when a mass of 2 kg is suspended by it is,0.628 s,0.0628 s,6.28 s,3.14 s
"The escape velocity from the Earth's surface is v. The escape velocity from the surface of another planet having a radius, four times that of Earth and same mass density is",4v,v,2v,3v
"The velocity of a small ball of mass M and density d, when dropped in a container filled with glycerine becomes constant after some time. If the density of glycerine is d/2 , then the viscous force acting on the ball will be",Mg/2,Mg,3/2 Mg,2 Mg
"In a potentiometer circuit a cell of EMF 1.5 V gives balance point at 36 cm length of wire. If another cell of EMF 2.5 V replaces the first cell, then at what length of the wire, the balance point occurs?",60 cm,21.6 cm,64 cm,62 cm
"A parallel plate capacitor has a uniform electric field '  E ' in the space between the plates. If the distance between the plates is 'd' and the area of each plate is 'A', the energy stored in the capacitor is (Eo = permittivity of free space)",1/2EoE^2Ad,1/2EoE^2,EoEAd,All of the above
". Consider the following statements (A) and (B) and identify the correct answer.

(A) A zener diode is connected in reverse bias, when used as a voltage regulator.

(B) The potential barrier of p-n junction lies between 0.1 V to 0.3 V.",A is correct and B is incorrect,A and B both are correct,A and B both are incorrect,A is incorrect but B is correct
The electron concentration in an n-type semiconductor is the same as hole concentration in a p-type semiconductor. An external field (electric) is applied across each of them. Compare the currents in them,Current in n-type > current in p-type,Current in n-type = current in p-type,Current in p-type > current in n-type,"No current will flow in p-type, current will only flow in n-type"
Polar molecules are the molecules,Having a permanent electric dipole moment,Having zero dipole moment,Acquire a dipole moment only in the presence of electric field due to displacement of charges,Acquire a dipole moment only when magnetic field is absent
Water falls from a height of 60 m at the rate of 15 kg/s to operate a turbine. The losses due to frictional force are 10% of the input energy. How much power is generated by the turbine?,8.1 KW,10.2 KW,12.3 KW,7.0 KW
