question,answer,wrong1,wrong2,wrong3
Winged pollen are found in,Pine,Rose,Ferns,Eucalyptus
Turpentine oil is obtained from,Pinus,Cycas,Ficus,Fern
mature ovule of Cyeas circinalis found in Nepal is,orthotrpous,Anatropous,Campylotropus,Amphitropous
Corolloid roots are found in,Cycas,Pinus,Rhodendron,Ficus
Seed of Pinus has,Many cotyledons,One cotyledon,Two cotyledons,Three cotyledons
Which of the following has the largest ovule?,Cycas,Pinus,Funaria,Pteridium
The ovuliferous scale in pinus contains how many ovules,2,1,3,4
The antherozoids in Cycas is,Multiflagellated,Uniflagellated,Biflagellated,Quadriflagellated
Which of the following is a living fossil?,Ginkgo,Gnetales,Pinus,Ephedra
Trifuison tissue is present in,Both,Cycas,Pinus,None
Higher Gymnosperm were predominat in,Mesozoic era,Cenozoic,Archezoic,Paleozoic era
In dwarf shoot of Pinus roxburghii(chirpine)the number of needles present :,three,one,five,ten
The endosperm of cycas is,Haploid,diploid,Triploid,Polypoidy
Spermatozoids large enough to be seen by naked eye are produced in,Cycas,Maize,Pinus,Dalbergia
Endosperm of Cycas is,haploid,diploid,triploid,none
Megasporophylls in Cycas are arranged as,loose female cone,compact male cone,compact female cone,loose male cone
Compact cone is found in,Male cone of Pinus,Female cone of Pinus,Male cone of Angiosperm,Female cone of Angiosperms
Endosperm in Gymnosperm is,Haploid,diploid,triploid,polypoidy
Gymnosperms is characterized by,Naked ovule,Vascular bundle,ovary,No seed
Gymnosperms are called naked seeded plant because they lack,Ovary,Seed,Vascular tissue,Root
Coralloid root of cycas helps in,Absorption and N2 fixation,Absorption of water,Anchorage,Space of mycorrhiza
Gymnosperms are regraded as naked seeded plants because they lack,Ovary,Ovule,Seed coat,sporophylls
Gymnosperms are regraded as naked seeded plants because they lack,Ovary,Ovule,Seed coat,sporophylls
Ovary is absent in,Gymnosperms,Angiosperms,Both,None
The wood of gymnosperms exclusively consists of,Tracheids,Tracheae,Wood fibres,Wood parenchyma
Chilogza ................is the name of seed given to the plant.,monocots,dicots,Conifers,False fruits
"In the phloem of gymnosperms ,the element that is present is",companion cell,sieve tube,Parenchyma,Sclerenchyma
Ovary is absnet is,gymnospemrs,angiopserms,monocot,dicot
The green leaf of Cycas plant is,unipinnately compound,palmately compund,bipinnately compound,decompound
The coralloid root of cycas is concerned with,Aeration,Respiration,Reproduction,Absoprtion
Zojo grains are obtained from,cycas,Pinus,Triticum aestivum,Banyan tree
Pollination in Cycas is carried out by,water,wind,insect,man
Which of the following species of gynosperms is not native to Nepal?,Pinus wallichiana,Pinus roxburghii,Cycas pectinata,Cycas revoluta
The dwarf shoot of the pinus roxburghii contains how many needles?,7,3,5,1
Apogamous sporophytes formed in ferns are :,Haploid,Dilploid,Tetraploid,Triploid
Where do gametangia produced in ferns ?,Prothallus,Sorus,Leaves,Ramenta
Apogamous sporophytes formed in ferns are,Haploid,Dilpoid,Triploid,Tetraploid
Antherozoids in pteridium is,Multi flagellate,Aflagellate,Bi flagellate,glycogen
Independent alternation of generation is found in,Pteridophyta,Bryophyta,Gymnosperms,Angiosperms
The neck canal cell in the archegonium of the fern is,Binucleate,Uninucletaed,Trinucleated,Tetranucleated
In pteridium circinate-vernation is found in,Leaf,Rhizome,Rachis,Fruit
Which structure protects a group of sporangium is a fern,Indusium,Perichateium,Stomium,Annular
Gametophyte of fern is,Independent body,parasite on sporophyte,partial parasite on sporophyte,none
Male gamete in fern is,multiflagellated,monoflagellated,biflagellated,none of the above
Male gamete in fern is,multiflagellated,monoflagellated,biflagellated,none of the above
Walking fern is,Adiantum,Isoetes,Equistem,Dryopteris
Gameotophyte of fern is,Independent body,Parasite on sporophyte,Partial parasite on sporophyte,None
Which is found in pteridophytes but absent in bryophytes ?,Vascular tissue,Peristome teeth,Seed,Ovary
Which is found in pteridophytes but absent in bryophytes ?,Vascular tissue,Peristome teeth,Seed,Ovary
Independent alternation of generation is present in,Pteridophyta,Monocotyledons,Gymnosperms,Dicotyledons
Vascular cryptogams is,Pteridophyta,Bryophyta,Algae,Fungi
Pteridophytes differ from bryophytes in possesing,Vascular bundle,Alternation of generation,Archegonia,Spores
The sporongia of fern develop on :,Leaves,Roots,Stems,Rhizoids
Vascular cryptogams are,Pteridophytes,Bryophytes,Gymnosperms,Angiosperms
Frond is the name of leaves of,Ferns,Moss,Conifer,Cycas
The vascular cryptogams is,pteridophytes,bryophytes,thallophytes,fungi
Sporangia in Fern are found in,Leaves,Rhizome,Stem,Roots
A plant which has vascular tissue but lacks seed is placed in,Pteridophyte,Thallophyte,Bryophyte,Gymnosperms
Stele in fern is,Dicotyostele,Protostele,siphonostele,Voleastele
"Plants that produces spores,vascular tissue but lacks seeds belongs to",Pteridophyte,Thallophyte,Bryophyte,Gynosperms
Association in lichen is,Symbiotic,Parasitic,Saprophytic,heterotrophic
So2 pollution is determined by,Lichen,Algae,Bryophyta,Ferns
So2 pollution is determined by,Lichen,Algae,Bryophyta,Ferns
Lichen represent symbiosis between,Algae and fungi,Viruses and algae,Algae and bacteria,Viruses and bacteria
Epilepsy is controlled by,Parmelia,Peltigera,Usnea,Rocella tincotoria
Usnea is a,Fruticose lichen,Crutose lichen,Foliose lichen,Fungi
Rocella tinctoria is the ............................yielding lichen.,litmus paper,tincture iodine,fungicide,food material
Lichens are ecologically imporatant because they,are earliest settlers of barren rocks,are associated with mycorrhizal roots,are associated with Algae and Fungi,can grow in polluted areas
Which one of the following is a fructose lichen ?,Cladonia,Graphis crustose,Parmelia,Rhizocarpon
Lichen is association of,Green alage & fungi,blue green algae and fungi,red algae & fungi,brown algae and fungi
Saxicolous lichens are found growing on,stones,leaves,stems,walls
Lichens are ecologically important because,All of the above,They are primitive inhabitants of rocks,are the association of algae and fungi,can't grow in So2 polluted areas
The mode of life of Lichen is,symbiont,obligatory parasite,saprophyte,none
Lichen are indicator of,air pollution,soil pollution,water pollution,sound pollution
Which is wrong about lichens ?,they live in basic areas,reproduce by fragmentation,early inhabitants of rocks,help in soil formation
