question,answer,wrong1,wrong2,wrong3
If a lift of mass 1000 kg moves upward with acceleration of 1 m/s2 then tension is:(g=10 m per second square),"11,000","6,000","10,800","20, 00"
"A boy started his journey from home to school which 16 km far at uniform speed 2.5 Km/hr and while returning, he returned with 4km/hr. What is his average speed?",3 km/hr,4 km/hr,6 km/hr,8 km/hr
"A person on a moving train throws upwards a coin, and if it falls behind him, then train is",Accelerating.,Decelerating.,Moving with constant velocity,All
A boat was crossing the river with velocity 40 m/s and river flowing with velocity 30 m/s. Then resultant velocity was,50 m/s,60 m/s,100 m/s,120 m/s
If a lift of mass 500 Kg moves upward with acceleration 2 ms-2 then the tension is:,5900,5800,6100,None
A vehicle climbs a hill at speed of 40 km/hr and returns to same place at speed 60 km/hr. What is the average speed for whole journey?,48 km/hr,50 km/hr,32 km/hr,52 km/hr
"A man intends to cross a river on a boat with velocity 4 m/s, If resultant velocity of boat is 5 m/s. Then velocity of river is",3 m/s,3√2 m/s,4 m/s,5√2 m/s
The slope of a velocity-time graph gives,Acceleration,Displacement,Uniform speed,Stationary object.
"Two bodies, one held 1 m above the other directly, are released simultaneously and fall freely under gravity. After 3 second their relative separation will be",1m,0.98 m,4.9 m,9.8 m
Time taken by a train of length 150 m and traveling with a uniform velocity of 60 km/hr to cross completely a bridge of length 1.5 km will be:,99 s,9s,9.9 s,90 s
A body is thrown vertically upward and attains a velocity 15 m/s at half the maximum height. The maximum height up to the body can reach will be:,22.9 m,45.8 m,34.5 m,17.8 m
A body A is moving in north with 3 km/s and B with 4 km/s east. What is the relative velocity of a body A with respect to B.,5 km/s west of north,5 km/s east of north.,5 km/s toward north.,5 km/s toward west.
"A body moves 30m due north, 20m due east and 30√2 due south west. The total displacement covered by body from the inital position is",10 m west,14mS-W,28 m south,18 m south
Two bodies of mass '2 m' and 'm' are released from height '2H' and 'H respectively. The ratio of time taken by them to reach the ground is,√2,1/4,1,2
"Two ships A and B are 4 km apart. A is due west of B. If A moves with uniform velocity of 8 km/h due east and moves with uniform velocity of 6 km/h due south, calculate the magnitude of the velocity of A relative to B.",10km/hr,5 km/hr,15 km/hr,20 km/hr
A body of mass 200 gm is thrown upwards with initial velocity of 30 m/s. What is total energy of body at height of 20 m form ground?,90J,50J,100J,40J
A body travels with velocity 30 m/s for 1st half of time and with velocity 40 m/s for 2nd half of time then what would be average velocity,35 m/s,50 m/s,40 m/s,30 m/s
A body cover 1/3 rd  distance with V1 velocity 2/3 rd next distance with V2 velocity then average velocity is,\(\frac{3V1V2}{2V1+V2}\),\(\frac{2V1V2}{V1+V2}\),\(\frac{2V1+V2}{2}\),\(\frac{V1V2}{2V1+3V2}\)
A person weighting 80 kg is standing on a lift moves upward with a uniform acceleration of 4.9 m/s2 then apparent wt. of the person is:,120 Kg,80 kg,60 kg,40 kg
Two stones A and B are thrown from 120 N the top of a tower. The stone A is thrown vertically upward while the stone B is thrown vertically downward + with the same speed. Which one of the following statements is true?,Both A and B strike the ground with same velocity.,Stone A strikes the ground with higher velocity than B.,Stone B strikes the ground with higher velocity than A.,A reaches the ground earlier than B.
A meter rod pivoted at its one end is rotated through 120°. Then displacement of its free end will be,√3 m,2m,2π/3 m,√2 m
A person turns left or right by 90° after travelling each 20m in straight line. What is his maximum displacement after three successive turns?,40√2 m,20√5 m,40√5 m,80 m
A person travels 3km towards north then 2km towards east and finally 2√233. south-west. What is his displacement?,1km north,√2km north east,√2km south east,zero
A flying kite travels 24m east then 8m south and finally 6m upward. What is its displacement from initial position?,26 m,30 m,16m,40m
A racing car moving along circular track of radius R at constant speed v has described angle θ about centre of the track in certain time. What is the average velocity for the interval of time?,\(\frac{2vsinθ/2}{θ}\),v,v/θ,\(\frac{vsinθ/2}{θ}\)
A car travelling along circular track at constant speed 20m/s has completed half revolution on the track. Its average velocity will be,40/π m/s,10π m/s,20/π m/s,20 m/s
The length of a second hand in a watch is 1cm. The change in velocity in 15sec is,\(\frac{π√2}{30}cm/s\),\(\frac{π}{30√2}cm/s\),\(\frac{π}{30}cm/s\),0
If the displacement of a body is proportional to square of time. Then body has,constant acceleration,constant velocity,increasing acceleration,decreasing acceleration
The displacement of a particle moving in a straight line at any instant time t is given as \( x = t^2 +20\) (in metre). What is its average velocity for first four seconds?,4 m/s,6 m/s,8 m/s,10 m/s
"In the above question, what is its velocity at 4 second?",8 m/s,4 m/s,6 m/s,10 m/s
The acceleration of a particle at any instant of time t which starts from origin at initial velocity 2m/s is a = 2t (in m/s2). What is its velocity in 5 seconds?,27 m/s,52 m/s,50 m/s,25 m/s
A train of 150 meter length is going towards north direction at a speed of 10 m/sec. A parrot flies at the speed of 5m/sec towards south direction parallel to the railway track. The time taken by the parrot to cross the train is,10 sec,12 sec,8 sec,15 sec
