question,answer,wrong1,wrong2,wrong3
1. WHICH MUSCLE ARE RESPONSIBLE FOR DILATATION OF PUPIL,B. DILATOR PUPILLAE,A. SPHINCTER PUPILLAE,C. PIGMENTED LAYERT,D. NON PIGMENTED LAYER
2. FINGER LIKE PROCESS OF CILIARY BODY ARE CALLED,B. PARS LICATA,A. PARS PLANA,C. CILIARY MUSCLES,D. CILIARY ZONULES
3. MAIN ROLE OF CILIARY BODY IS,C. BOTH OF THEM,A. HELP IN ACCOMMODATION,B. AQUEOUS PRODUCTION,D. NONE OF THEM
1. SITEOF AQUOUS PRODUCTION IS,C. CILIARY PROCESSES,A. CILIARY MUSCLES,B. CILIARY STROMA,D. ZONULES
5. CHORIOCAPILLARIES OF CHOROID GIVES NOURISHMENT TO,C. BOTH OF THEM,A. PIGMENT EPITHELIUM,B. OUT LAYER OF SENSARY RETINA,D. NONE OF THEM
6. UVEAL TRACT IS SUPPLIED BY,D. ALL OF THE ABOVE,A. SHORT POSTERIOR CILIARY ARTERIES,B. LONG POSTERIOR CILIARY ARTERIES,C. ANTERIOR CILIARY ARTERIES
7. AQUEOUS HUMOR CONSIST OF,D. ABOVE ALL,A. GLUCOSE,B. ASCORBIC ACID,C. AMINO ACID
8. HIGHLY VASCULARIZED STRUCTURE IN UVEA IS,D. ALL OF THE ABOVE,A. IRIS,B. CILIARY BODY,C. CHOROID
9. PROVIDE COLOUR TO THE EYE,A. IRIS,B. CILIARY BODY,C. CHLOROID,D. ALL OF THE ABOVE
10. ANTERIOR MOST AND CIRCULAR PART OF UVEA IS,C. IRIS,A. CILIARY BODY,B. CHOROID,D. LENS
11. TRIANGULAR STRUCTURE OF UVEAL TISSUE IS,C. CILIARY BODY,A. IRIS,B. CHOROID,D. NONE
12. CILIARY BODY CONSIST OF,A. 2 LAYERS,B. THREE LAYERS,C. 4 LAYERS,D. 5 LAYERS
13. FRESHLY FORMED AQUEOUS HUMOR IS POURED IN TO,B. POSTERIOR CHAMBER,A. ANTERIOR CHAMBER,C. PUPIL,D. POSTERIOR SEGMENT
14. RATE OF A AQUEOUS PRODUCTION IS,B. 2.00 ul/ min,A. 1.2 ul/ min,C. 5 ul/ min,d. 7 ul/min
15. it controls of the amount of light entering the eye and its depth of focus,C. IRIS,A. CILIARY BODY,B. CHOROID,D. ALL OF THE ABOVE
16. DILATATION OF PUPIL IS KNOWN AS,B. MYDRIASIS,A. MIOSIS,C. SYNCHIASIS,D. ACCOMMODATION
18. DIVIDES THE EYE IN TO ANTERIOR AND POSTERIOR CHAMBER,A. IRIS,B. CILIARY BODY,C. CHOROID,D. ALL OF THE ABOVE
19. TOTAL AQUEOUS VOLUME CHANGE OVER,B. 200 min,A. 50 MIN,C. 60 min,d. 100 min
