question,answer,wrong1,wrong2,wrong3
Which one of the following pairs of compounds illustrate the law of multiple proportions?,CuO and Cu2O,H2S and SO2,NH3 and NCl3,FeCl2 and FeCl3
The hydrogen phosphate of certain metal has formula MHPO4. The formula of metal chloride would be,MCl2,MCI,M2Cl2,MCI3
Modern atomic weight scale is based on,C-12,H-1,C-14,0-16
I amu is equal to,1/12 of C-12,1 g of H,1/14g of O-16,1.66 × \(10^{-23}\) kg
The ratio of the rates of diffusion of a given element to that of helium is 4. What will be the molecular weight of the element?,0.25,4,2,7
The law of reciprocal proportions can be used to determine,equivalent weights,atomic weight of a gas,molecular weights of gases,none of the above
"The specific heat of a metal is 0.16, its approximate atomic weight would be",40,16,64,32
"If the equivalent weight of a trivalent metal is 32.7, the molecular weight of its chloride is",204.6,68.2,103.7,32.7
Vapour density of a gas is 22. Its molecular weight will be,44,33,22,11
"In the reaction: 2Na2S2O3 + I2 → Na2S4O6+2Nal , the equivalent weight of Na2S2O3 (mol. wt. - M) is equal to",M,M/2,M/3,M/4
A metallic oxide contains 60% of the metal. The equivalent weight of the metal is,12,24,40,48
"The equivalent weight of KMnO4 (in acid medium) is (At. wt. of K = 39, Mn=55)",31.6,158,15.8,3.16
M is the molecular weight of KMnO4. The equivalent weight of KMnO4 when it is converted into K2MnO4 is,M,M/3,M/5,M/7
"In the following reaction, which choice has value twice that of the equivalent weight of the oxidising agent

3S+ 2H2O → SO2+ H2O",16,48,64,32
"Equivalent weight of an acid whose basicity is 3, is",Mol. wt. / 3,Mol. wt. / 2,Mol. wt. / 4,Mol. wt. / 1
The number of water molecules in 1 litre of water is,55.55 NA,18,18 x 1000,NA
The number of water molecules present in a drop of water (volume = 0.0018 ml) at room temperature is,6.023 x \(10^{19}\),1.084 x \(10^{18}\),4.84 x \(10^{17}\),6.023 x \(10^{23}\)
Which has maximum molecules?,2 g H₂,7g N₂,16 g O₂,16 g NO₂
Volume of 4.4 g of CO2 at STP is,2.24 litres,22.4 litres,4.48 litres,44.8 litres
"The empirical formula of an acid is CH2O2, the probable molecular formula of the acid may be",CH2O2,C2H4O2,C3H6O4,C2H2O4
The percentage of nitrogen in urea is about,46,85,18,28
1.25 g NH3 contains how many atoms?,2x \(10^{23}\),\(10^{23}\),6 x \(10^{13}\),4 x \(10^{23}\)
1 gm atom of nitrogen contains?,11.2 litre of N2 at STP,6.02 × \(10^{23}\) N2 molecules,22.4 litre of N2 at STP,28g of Nitrogen
"If isotopic distribution of C-12 and C-14 is 98% and 2% respectively, then the number of C-14 atoms in 12 g of carbon is:",1.032 x \(10^{22}\),3.01 x \(10^{22}\),5.88 x \(10^{23}\),6.02 × \(10^{23}\)
Which one of the following gases contains the same number of molecules as 16g of oxygen?,32g SO2,16g O3,16g SO2,all of the above
At wt. of some elements are not whole no. because,Of existence of isotopes,Of existence of allotropes,Eq. wt. is not a whole no.,Valency may vary
Which property of element is always a whole number?,Atomic number,At. wt.,Equivalent wt.,At. volume
Which pair among the following crystals are isomorphous?,"FeSO4, ZnSO4","FeSO4, SnSO4",CaSO4. FeSO4,"PbSO4, NiSO4"
Law of definite proportion does not apply to nitrogen oxide because,Equivalent weight of nitrogen is variable,Atomic weight of nitrogen is not constant,Molecular weight of nitrogen is varable,Atomic wt. of oxygen is variable
The simplest formula of a compound containing 50% of element X (atomic wt. 10) and 50% of element Y (atomic wt. 20) is,X2Y,XY,X2Y3,XY3
